ts,wh,
1650193200,1807,2022-04-17 11:00
1650194100,1749,2022-04-17 11:15
1650195000,1501,2022-04-17 11:30
1650195900,1624,2022-04-17 11:45
1650196800,648,2022-04-17 12:00
1650197700,0,2022-04-17 12:15
1650198600,0,2022-04-17 12:30
1650199500,0,2022-04-17 12:45
1650200400,1465,2022-04-17 13:00
1650201300,2460,2022-04-17 13:15
1650202200,2412,2022-04-17 13:30
1650203100,2006,2022-04-17 13:45
1650204000,1487,2022-04-17 14:00
1650204900,1439,2022-04-17 14:15
1650205800,1414,2022-04-17 14:30
1650206700,1428,2022-04-17 14:45
1650207600,1814,2022-04-17 15:00
1650208500,1850,2022-04-17 15:15
1650209400,1928,2022-04-17 15:30
1650210300,1547,2022-04-17 15:45
1650211200,1670,2022-04-17 16:00
1650212100,1598,2022-04-17 16:15
1650213000,2163,2022-04-17 16:30
1650213900,1743,2022-04-17 16:45
1650214800,1652,2022-04-17 17:00
1650215700,1877,2022-04-17 17:15
1650216600,1877,2022-04-17 17:30
1650217500,1774,2022-04-17 17:45
1650218400,2052,2022-04-17 18:00
1650219300,1746,2022-04-17 18:15
1650220200,1743,2022-04-17 18:30
1650221100,1817,2022-04-17 18:45
1650222000,1611,2022-04-17 19:00
1650222900,1956,2022-04-17 19:15
1650223800,1683,2022-04-17 19:30
1650224700,1872,2022-04-17 19:45
1650225600,1844,2022-04-17 20:00
1650226500,1737,2022-04-17 20:15
1650227400,1800,2022-04-17 20:30
1650228300,2114,2022-04-17 20:45
1650229200,2066,2022-04-17 21:00
1650230100,2113,2022-04-17 21:15
1650231000,2016,2022-04-17 21:30
1650231900,1997,2022-04-17 21:45
1650232800,2287,2022-04-17 22:00
1650233700,2033,2022-04-17 22:15
1650234600,2365,2022-04-17 22:30
1650235500,1981,2022-04-17 22:45
1650236400,1891,2022-04-17 23:00
1650237300,2167,2022-04-17 23:15
1650238200,1970,2022-04-17 23:30
1650239100,2334,2022-04-17 23:45
1650240000,1999,2022-04-18 00:00
1650240900,2542,2022-04-18 00:15
1650241800,2270,2022-04-18 00:30
1650242700,2315,2022-04-18 00:45
1650243600,2435,2022-04-18 01:00
1650244500,1983,2022-04-18 01:15
1650245400,1917,2022-04-18 01:30
1650246300,1735,2022-04-18 01:45
1650247200,1841,2022-04-18 02:00
1650248100,1625,2022-04-18 02:15
1650249000,1998,2022-04-18 02:30
1650249900,2077,2022-04-18 02:45
1650250800,1930,2022-04-18 03:00
1650251700,2723,2022-04-18 03:15
1650252600,2202,2022-04-18 03:30
1650253500,1761,2022-04-18 03:45
1650254400,1861,2022-04-18 04:00
1650255300,1784,2022-04-18 04:15
1650256200,1922,2022-04-18 04:30
1650257100,2105,2022-04-18 04:45
1650258000,2334,2022-04-18 05:00
1650258900,2142,2022-04-18 05:15
1650259800,2037,2022-04-18 05:30
1650260700,1685,2022-04-18 05:45
1650261600,1787,2022-04-18 06:00
1650262500,1492,2022-04-18 06:15
1650263400,2314,2022-04-18 06:30
1650264300,2014,2022-04-18 06:45
1650265200,2102,2022-04-18 07:00
1650266100,2570,2022-04-18 07:15
1650267000,3586,2022-04-18 07:30
1650267900,3535,2022-04-18 07:45
1650268800,3661,2022-04-18 08:00
1650269700,3818,2022-04-18 08:15
1650270600,3353,2022-04-18 08:30
1650271500,3503,2022-04-18 08:45
