,index,DeviceSerial,Timestamp,Wh,kWH,KW,gmt_timestamp,month,week,day_of_month,day_of_week,time,timeslot_mean,timeslot_median,Wh_Outlier,KVA Rating,EOR,LOR
0,6,00980B1E,1671085800,31,0.031,0.124,2022-12-15T06:30:00+00:00,12,50,15,thursday,06:30,6304.558823529412,6478.5,0,100,482.8709677419355,
1,7,00980B1E,1671086700,5194,5.194,20.776,2022-12-15T06:45:00+00:00,12,50,15,thursday,06:45,6663.029411764706,6287.0,0,100,1.887947631882942,
2,8,00980B1E,1671087600,7359,7.359,29.436,2022-12-15T07:00:00+00:00,12,50,15,thursday,07:00,6510.771428571428,6665.0,0,100,1.0383204239706483,
3,9,00980B1E,1671088500,7620,7.62,30.48,2022-12-15T07:15:00+00:00,12,50,15,thursday,07:15,6225.184210526316,6277.5,0,100,0.968503937007874,
4,10,00980B1E,1671089400,8105,8.105,32.42,2022-12-15T07:30:00+00:00,12,50,15,thursday,07:30,6784.4473684210525,6621.5,0,100,0.8507094386181369,
5,11,00980B1E,1671090300,8022,8.022,32.088,2022-12-15T07:45:00+00:00,12,50,15,thursday,07:45,7187.972222222223,7095.0,0,100,0.8698578908002991,
6,12,00980B1E,1671091200,8218,8.218,32.872,2022-12-15T08:00:00+00:00,12,50,15,thursday,08:00,7261.555555555556,7261.0,0,100,0.8252616208323194,
7,13,00980B1E,1671092100,9283,9.283,37.132,2022-12-15T08:15:00+00:00,12,50,15,thursday,08:15,7066.72972972973,7158.0,0,100,0.6158569427986643,
8,14,00980B1E,1671093000,8777,8.777,35.108,2022-12-15T08:30:00+00:00,12,50,15,thursday,08:30,7393.333333333333,7461.5,0,100,0.709012190953629,
9,15,00980B1E,1671093900,9271,9.271,37.084,2022-12-15T08:45:00+00:00,12,50,15,thursday,08:45,7421.166666666667,7857.0,0,100,0.6179484413763346,
10,16,00980B1E,1671094800,8902,8.902,35.608,2022-12-15T09:00:00+00:00,12,50,15,thursday,09:00,7206.4324324324325,7776.0,0,100,0.6850146034598968,
11,17,00980B1E,1671095700,8405,8.405,33.62,2022-12-15T09:15:00+00:00,12,50,15,thursday,09:15,7407.055555555556,7772.5,0,100,0.7846519928613922,
12,18,00980B1E,1671096600,8565,8.565,34.26,2022-12-15T09:30:00+00:00,12,50,15,thursday,09:30,7181.444444444444,7744.0,0,100,0.7513134851138354,
13,19,00980B1E,1671097500,8646,8.646,34.584,2022-12-15T09:45:00+00:00,12,50,15,thursday,09:45,7372.305555555556,7725.0,0,100,0.7349063150589866,
14,20,00980B1E,1671098400,8322,8.322,33.288,2022-12-15T10:00:00+00:00,12,50,15,thursday,10:00,6836.948717948718,7184.0,0,100,0.8024513338139873,
15,21,00980B1E,1671099300,8158,8.158,32.632,2022-12-15T10:15:00+00:00,12,50,15,thursday,10:15,7161.289473684211,7435.0,0,100,0.8386859524393235,
