,index,DeviceSerial,Timestamp,Wh,kWH,KW,gmt_timestamp,month,week,day_of_month,day_of_week,time,timeslot_mean,timeslot_median,Wh_Outlier,KVA Rating,EOR,LOR
0,90,00980DCD,1698114600,2994,2.994,11.976,2023-10-24T02:30:00+00:00,10,43,24,tuesday,02:30,3224.5,3224.5,False,150,6.51503006012024,
1,91,00980DCD,1698115500,3380,3.38,13.52,2023-10-24T02:45:00+00:00,10,43,24,tuesday,02:45,3457.5,3457.5,False,150,5.656804733727811,
2,92,00980DCD,1698116400,3600,3.6,14.4,2023-10-24T03:00:00+00:00,10,43,24,tuesday,03:00,3507.5,3507.5,False,150,5.249999999999999,
3,93,00980DCD,1698117300,3275,3.275,13.1,2023-10-24T03:15:00+00:00,10,43,24,tuesday,03:15,3502.0,3502.0,False,150,5.870229007633588,
4,94,00980DCD,1698118200,3263,3.263,13.052,2023-10-24T03:30:00+00:00,10,43,24,tuesday,03:30,3363.0,3363.0,False,150,5.895494943303709,
5,95,00980DCD,1698119100,3083,3.083,12.332,2023-10-24T03:45:00+00:00,10,43,24,tuesday,03:45,3012.0,3012.0,False,150,6.298086279597794,
6,96,00980DCD,1698120000,2915,2.915,11.66,2023-10-24T04:00:00+00:00,10,43,24,tuesday,04:00,3062.0,3062.0,False,150,6.718696397941681,
7,97,00980DCD,1698120900,2380,2.38,9.52,2023-10-24T04:15:00+00:00,10,43,24,tuesday,04:15,2492.5,2492.5,False,150,8.453781512605042,
8,98,00980DCD,1698121800,2722,2.722,10.888,2023-10-24T04:30:00+00:00,10,43,24,tuesday,04:30,2727.0,2727.0,False,150,7.2659808963997055,
9,99,00980DCD,1698122700,2489,2.489,9.956,2023-10-24T04:45:00+00:00,10,43,24,tuesday,04:45,2551.5,2551.5,False,150,8.039775010044195,
10,100,00980DCD,1698123600,2186,2.186,8.744,2023-10-24T05:00:00+00:00,10,43,24,tuesday,05:00,2523.5,2523.5,False,150,9.292772186642269,
11,101,00980DCD,1698124500,1913,1.913,7.652,2023-10-24T05:15:00+00:00,10,43,24,tuesday,05:15,2367.0,2367.0,False,150,10.761630946157867,
12,102,00980DCD,1698125400,2560,2.56,10.24,2023-10-24T05:30:00+00:00,10,43,24,tuesday,05:30,2805.0,2805.0,False,150,7.7890625,
13,103,00980DCD,1698126300,2870,2.87,11.48,2023-10-24T05:45:00+00:00,10,43,24,tuesday,05:45,2778.5,2778.5,False,150,6.8397212543554,
