,index,DeviceSerial,Timestamp,Wh,kWH,KW,gmt_timestamp,month,week,day_of_month,day_of_week,time,timeslot_mean,timeslot_median,Wh_Outlier,KVA Rating,EOR,LOR
0,37,00980E1F,1698066900,724,0.724,2.896,2023-10-23T13:15:00+00:00,10,43,23,monday,13:15,8580.333333333334,12206.0,False,150,30.07734806629834,
1,38,00980E1F,1698067800,3927,3.927,15.708,2023-10-23T13:30:00+00:00,10,43,23,monday,13:30,8777.666666666666,10324.0,False,150,4.729564553093965,
2,39,00980E1F,1698068700,3376,3.376,13.504,2023-10-23T13:45:00+00:00,10,43,23,monday,13:45,8994.666666666666,10395.0,False,150,5.664691943127962,
3,40,00980E1F,1698069600,3608,3.608,14.432,2023-10-23T14:00:00+00:00,10,43,23,monday,14:00,7112.25,6386.0,False,150,5.2361419068736135,
4,41,00980E1F,1698070500,3487,3.487,13.948,2023-10-23T14:15:00+00:00,10,43,23,monday,14:15,7628.0,6636.0,False,150,5.452537998279323,
5,42,00980E1F,1698071400,3257,3.257,13.028,2023-10-23T14:30:00+00:00,10,43,23,monday,14:30,7158.75,5950.0,False,150,5.908197727970524,
6,43,00980E1F,1698072300,3257,3.257,13.028,2023-10-23T14:45:00+00:00,10,43,23,monday,14:45,6720.5,5849.0,False,150,5.908197727970524,
7,44,00980E1F,1698073200,3271,3.271,13.084,2023-10-23T15:00:00+00:00,10,43,23,monday,15:00,7011.25,6393.5,False,150,5.878630388260471,
8,45,00980E1F,1698074100,3867,3.867,15.468,2023-10-23T15:15:00+00:00,10,43,23,monday,15:15,7167.5,6300.5,False,150,4.818463925523662,
9,46,00980E1F,1698075000,4126,4.126,16.504,2023-10-23T15:30:00+00:00,10,43,23,monday,15:30,6664.0,6392.0,False,150,4.453223460979156,
10,47,00980E1F,1698075900,3564,3.564,14.256,2023-10-23T15:45:00+00:00,10,43,23,monday,15:45,6369.5,5984.0,False,150,5.313131313131313,
11,48,00980E1F,1698076800,3256,3.256,13.024,2023-10-23T16:00:00+00:00,10,43,23,monday,16:00,5845.8,3256.0,False,150,5.910319410319411,
12,49,00980E1F,1698077700,3238,3.238,12.952,2023-10-23T16:15:00+00:00,10,43,23,monday,16:15,7553.4,8054.0,False,150,5.948733786287832,
13,50,00980E1F,1698078600,3298,3.298,13.192,2023-10-23T16:30:00+00:00,10,43,23,monday,16:30,7454.8,9122.0,False,150,5.822316555488174,
14,51,00980E1F,1698079500,3036,3.036,12.144,2023-10-23T16:45:00+00:00,10,43,23,monday,16:45,7560.0,9335.0,False,150,6.411067193675889,
15,52,00980E1F,1698080400,2965,2.965,11.86,2023-10-23T17:00:00+00:00,10,43,23,monday,17:00,7145.0,9000.0,False,150,6.588532883642496,
16,53,00980E1F,1698081300,2775,2.775,11.1,2023-10-23T17:15:00+00:00,10,43,23,monday,17:15,6992.4,8232.0,False,150,7.108108108108109,
17,54,00980E1F,1698082200,3159,3.159,12.636,2023-10-23T17:30:00+00:00,10,43,23,monday,17:30,6841.6,7751.0,False,150,6.122507122507123,
18,55,00980E1F,1698083100,3384,3.384,13.536,2023-10-23T17:45:00+00:00,10,43,23,monday,17:45,6741.6,7454.0,False,150,5.648936170212766,
19,56,00980E1F,1698084000,3257,3.257,13.028,2023-10-23T18:00:00+00:00,10,43,23,monday,18:00,6926.0,7399.0,False,150,5.908197727970524,
20,57,00980E1F,1698084900,2886,2.886,11.544,2023-10-23T18:15:00+00:00,10,43,23,monday,18:15,6637.0,7231.0,False,150,6.796257796257796,
21,58,00980E1F,1698085800,3375,3.375,13.5,2023-10-23T18:30:00+00:00,10,43,23,monday,18:30,6761.0,7025.0,False,150,5.666666666666667,
22,59,00980E1F,1698086700,2982,2.982,11.928,2023-10-23T18:45:00+00:00,10,43,23,monday,18:45,6643.8,6678.0,False,150,6.5452716297786715,
23,60,00980E1F,1698087600,2961,2.961,11.844,2023-10-23T19:00:00+00:00,10,43,23,monday,19:00,6720.6,6899.0,False,150,6.598784194528876,
24,61,00980E1F,1698088500,2905,2.905,11.62,2023-10-23T19:15:00+00:00,10,43,23,monday,19:15,6588.4,7019.0,False,150,6.74526678141136,
25,62,00980E1F,1698089400,2805,2.805,11.22,2023-10-23T19:30:00+00:00,10,43,23,monday,19:30,6749.0,7485.0,False,150,7.021390374331551,
26,63,00980E1F,1698090300,2876,2.876,11.504,2023-10-23T19:45:00+00:00,10,43,23,monday,19:45,6569.0,6938.0,False,150,6.82336578581363,
27,64,00980E1F,1698091200,2646,2.646,10.584,2023-10-23T20:00:00+00:00,10,43,23,monday,20:00,6154.8,6692.0,False,150,7.503401360544218,
28,65,00980E1F,1698092100,2542,2.542,10.168,2023-10-23T20:15:00+00:00,10,43,23,monday,20:15,6042.4,6619.0,False,150,7.851298190401259,
29,66,00980E1F,1698093000,2487,2.487,9.948,2023-10-23T20:30:00+00:00,10,43,23,monday,20:30,6411.0,7303.0,False,150,8.04704463208685,
30,67,00980E1F,1698093900,2446,2.446,9.784,2023-10-23T20:45:00+00:00,10,43,23,monday,20:45,6472.6,7481.0,False,150,8.198691741618969,
31,68,00980E1F,1698094800,2541,2.541,10.164,2023-10-23T21:00:00+00:00,10,43,23,monday,21:00,6393.2,7009.0,False,150,7.85478158205431,
32,69,00980E1F,1698095700,2533,2.533,10.132,2023-10-23T21:15:00+00:00,10,43,23,monday,21:15,6273.8,6966.0,False,150,7.882747729964469,
33,70,00980E1F,1698096600,2429,2.429,9.716,2023-10-23T21:30:00+00:00,10,43,23,monday,21:30,6329.4,7349.0,False,150,8.263071222725403,
34,71,00980E1F,1698097500,2604,2.604,10.416,2023-10-23T21:45:00+00:00,10,43,23,monday,21:45,6667.4,7710.0,False,150,7.6405529953917055,
35,72,00980E1F,1698098400,2606,2.606,10.424,2023-10-23T22:00:00+00:00,10,43,23,monday,22:00,6506.2,7949.0,False,150,7.633921719109747,
36,73,00980E1F,1698099300,2793,2.793,11.172,2023-10-23T22:15:00+00:00,10,43,23,monday,22:15,6670.0,7785.0,False,150,7.055853920515575,
37,74,00980E1F,1698100200,2421,2.421,9.684,2023-10-23T22:30:00+00:00,10,43,23,monday,22:30,6795.2,8658.0,False,150,8.29368029739777,
38,75,00980E1F,1698101100,2335,2.335,9.34,2023-10-23T22:45:00+00:00,10,43,23,monday,22:45,6619.4,8001.0,False,150,8.635974304068522,
39,76,00980E1F,1698102000,2515,2.515,10.06,2023-10-23T23:00:00+00:00,10,43,23,monday,23:00,6756.0,8312.0,False,150,7.946322067594433,
40,77,00980E1F,1698102900,2467,2.467,9.868,2023-10-23T23:15:00+00:00,10,43,23,monday,23:15,6972.4,7763.0,False,150,8.120389136603162,
41,78,00980E1F,1698103800,2507,2.507,10.028,2023-10-23T23:30:00+00:00,10,43,23,monday,23:30,7193.4,8411.0,False,150,7.974870362983645,
42,79,00980E1F,1698104700,2828,2.828,11.312,2023-10-23T23:45:00+00:00,10,43,23,monday,23:45,8294.6,9138.0,False,150,6.956152758132957,
43,80,00980E1F,1698105600,2711,2.711,10.844,2023-10-24T00:00:00+00:00,10,43,24,tuesday,00:00,9153.8,11060.0,False,150,7.2995204721504985,
44,81,00980E1F,1698106500,3424,3.424,13.696,2023-10-24T00:15:00+00:00,10,43,24,tuesday,00:15,9190.4,10700.0,False,150,5.571261682242991,
45,82,00980E1F,1698107400,3517,3.517,14.068,2023-10-24T00:30:00+00:00,10,43,24,tuesday,00:30,9254.8,10778.0,False,150,5.397497867500711,
46,83,00980E1F,1698108300,3834,3.834,15.336,2023-10-24T00:45:00+00:00,10,43,24,tuesday,00:45,9248.6,9901.0,False,150,4.868544600938967,
47,84,00980E1F,1698109200,3286,3.286,13.144,2023-10-24T01:00:00+00:00,10,43,24,tuesday,01:00,8847.0,9502.0,False,150,5.847230675593426,
48,85,00980E1F,1698110100,2813,2.813,11.252,2023-10-24T01:15:00+00:00,10,43,24,tuesday,01:15,8934.8,11269.0,False,150,6.998578030572343,
