key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ABUJA_OFFICE_DG1_and_DG2_1696896000_OFFICE-00980785,2023-10-10 00:00:00,2023-10-10 00:15:00,1696896000,228.26,296.46,1.24,0.0,8,619.42,0,-3.16,2.501
ABUJA_OFFICE_DG1_and_DG2_1696896900_OFFICE-00980785,2023-10-10 00:15:00,2023-10-10 00:30:00,1696896900,228.26,296.46,0.0,0.0,8,619.42,0,-3.16,2.604
ABUJA_OFFICE_DG1_and_DG2_1696897800_OFFICE-00980785,2023-10-10 00:30:00,2023-10-10 00:45:00,1696897800,228.26,296.1,0.0,0.36,8,619.42,0,-3.16,2.61
ABUJA_OFFICE_DG1_and_DG2_1696898700_OFFICE-00980785,2023-10-10 00:45:00,2023-10-10 01:00:00,1696898700,228.26,294.38,0.0,1.44,8,619.42,0,-3.16,2.554
ABUJA_OFFICE_DG1_and_DG2_1696899600_OFFICE-00980785,2023-10-10 01:00:00,2023-10-10 01:15:00,1696899600,228.26,293.15,0.0,1.51,8,619.42,0,-3.16,2.712
ABUJA_OFFICE_DG1_and_DG2_1696900500_OFFICE-00980785,2023-10-10 01:15:00,2023-10-10 01:30:00,1696900500,228.26,292.03,0.0,1.0,8,619.42,0,-3.16,2.584
ABUJA_OFFICE_DG1_and_DG2_1696901400_OFFICE-00980785,2023-10-10 01:30:00,2023-10-10 01:45:00,1696901400,228.26,290.32,0.0,1.83,8,619.42,0,-3.16,2.622
ABUJA_OFFICE_DG1_and_DG2_1696902300_OFFICE-00980785,2023-10-10 01:45:00,2023-10-10 02:00:00,1696902300,228.26,288.25,0.0,1.91,8,619.42,0,-3.16,2.563
ABUJA_OFFICE_DG1_and_DG2_1696903200_OFFICE-00980785,2023-10-10 02:00:00,2023-10-10 02:15:00,1696903200,228.26,287.09,0.0,1.32,8,619.42,0,-3.16,2.57
ABUJA_OFFICE_DG1_and_DG2_1696904100_OFFICE-00980785,2023-10-10 02:15:00,2023-10-10 02:30:00,1696904100,228.26,285.98,0.0,1.11,8,619.42,0,-3.16,2.568
