key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ADIKPO_1696899600,2023-10-10 00:00:00,2023-10-10 00:15:00,1696896000,83.14,93.82,1.10,0.0,11604.08,10409.05,-2.2299999999995634,-0.039999999999054126,0.0
ADIKPO_1696900500,2023-10-10 00:15:00,2023-10-10 00:30:00,1696896900,83.14,93.14,0.0,0.34,11604.08,10409.3,-2.2299999999995634,-0.2899999999990541,0.0
ADIKPO_1696901400,2023-10-10 00:30:00,2023-10-10 00:45:00,1696897800,83.14,93.14,0.0,0.34,11604.08,10409.55,-2.2299999999995634,-0.5399999999990541,0.0
ADIKPO_1696902300,2023-10-10 00:45:00,2023-10-10 01:00:00,1696898700,82.77,93.14,0.37,0.0,11604.3,10409.6,-2.4499999999989086,-0.5900000000001455,0.0
ADIKPO_1696903200,2023-10-10 01:00:00,2023-10-10 01:15:00,1696899600,81.67,93.14,1.1,0.0,11604.55,10409.6,-2.6999999999989086,-0.5900000000001455,0.0
ADIKPO_1696904100,2023-10-10 01:15:00,2023-10-10 01:30:00,1696900500,80.93,93.14,0.37,0.0,11604.8,10409.6,-2.9499999999989086,-0.5900000000001455,0.0
ADIKPO_1696905000,2023-10-10 01:30:00,2023-10-10 01:45:00,1696901400,80.56,93.14,0.74,0.0,11605.05,10409.6,-3.1999999999989086,-0.5900000000001455,0.0
ADIKPO_1696905900,2023-10-10 01:45:00,2023-10-10 02:00:00,1696902300,78.72,93.14,1.84,0.0,11605.3,10409.6,-3.4499999999989086,-0.5900000000001455,0.0
ADIKPO_1696906800,2023-10-10 02:00:00,2023-10-10 02:15:00,1696903200,78.72,93.14,0.0,0.0,11605.55,10409.6,-3.6999999999989086,-0.5900000000001455,0.0
ADIKPO_1696907700,2023-10-10 02:15:00,2023-10-10 02:30:00,1696904100,77.62,93.14,1.1,0.0,11605.8,10409.6,-3.9499999999989086,-0.5900000000001455,0.0
ADIKPO_1696908600,2023-10-10 02:30:00,2023-10-10 02:45:00,1696905000,76.15,93.14,1.47,0.0,11606.05,10409.6,-4.199999999998909,-0.5900000000001455,0.0
ADIKPO_1696909500,2023-10-10 02:45:00,2023-10-10 03:00:00,1696905900,75.78,93.14,0.37,0.0,11606.3,10409.6,-4.449999999998909,-0.5900000000001455,0.0
ADIKPO_1696910400,2023-10-10 03:00:00,2023-10-10 03:15:00,1696906800,75.78,93.14,0.0,0.0,11606.55,10409.64,-4.699999999998909,-0.6299999999991996,0.0
ADIKPO_1696911300,2023-10-10 03:15:00,2023-10-10 03:30:00,1696907700,75.41,93.14,0.37,0.0,11606.55,10409.89,-4.699999999998909,-0.8799999999991996,0.0
ADIKPO_1696912200,2023-10-10 03:30:00,2023-10-10 03:45:00,1696908600,75.41,91.09,0.0,2.05,11606.55,10410.14,-4.699999999998909,-1.1299999999991996,0.0
