key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696922100,2023-10-10 06:15:00,2023-10-10 06:30:00,1696918500,182.8,115.19,2.90,0.0,19556.87,10754.69,-8.5,0.0,6.153
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696923000,2023-10-10 06:30:00,2023-10-10 06:45:00,1696919400,181.35,115.19,1.08,0.0,19557.12,10754.69,-8.75,0.0,6.179
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696923900,2023-10-10 06:45:00,2023-10-10 07:00:00,1696920300,178.08,115.19,3.63,0.0,19557.37,10754.69,-9.0,0.0,6.742
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696924800,2023-10-10 07:00:00,2023-10-10 07:15:00,1696921200,175.54,115.19,2.9,0.0,19557.62,10754.69,-9.25,0.0,6.652
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696925700,2023-10-10 07:15:00,2023-10-10 07:30:00,1696922100,174.45,115.19,1.09,0.0,19557.87,10754.69,-9.5,0.0,7.077
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696926600,2023-10-10 07:30:00,2023-10-10 07:45:00,1696923000,171.55,116.92,2.90,0.0,19558.12,10754.69,-9.75,0.0,7.177
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696927500,2023-10-10 07:45:00,2023-10-10 08:00:00,1696923900,168.65,116.92,2.89,0.0,19558.37,10754.69,-10.0,0.0,8.08
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696928400,2023-10-10 08:00:00,2023-10-10 08:15:00,1696924800,165.74,116.92,2.55,0.0,19558.62,10754.69,-10.25,0.0,8.074
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696929300,2023-10-10 08:15:00,2023-10-10 08:30:00,1696925700,163.56,116.92,1.81,0.0,19558.87,10754.69,-10.5,0.0,8.119
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696930200,2023-10-10 08:30:00,2023-10-10 08:45:00,1696926600,159.94,116.92,4.35,0.0,19559.12,10754.69,-10.75,0.0,8.498
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696931100,2023-10-10 08:45:00,2023-10-10 09:00:00,1696927500,157.03,116.92,2.53,0.0,19559.37,10754.69,-11.0,0.0,7.965
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696932000,2023-10-10 09:00:00,2023-10-10 09:15:00,1696928400,154.85,116.92,2.55,0.0,19559.62,10754.69,-11.25,0.0,7.465
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696932900,2023-10-10 09:15:00,2023-10-10 09:30:00,1696929300,151.59,116.92,3.26,0.0,19559.87,10754.69,-11.5,0.0,7.1
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696933800,2023-10-10 09:30:00,2023-10-10 09:45:00,1696930200,149.77,116.92,1.44,0.0,19560.12,10754.69,-11.75,0.0,7.123
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696934700,2023-10-10 09:45:00,2023-10-10 10:00:00,1696931100,147.6,116.92,2.53,0.0,19560.37,10754.69,-12.0,0.0,7.234
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696935600,2023-10-10 10:00:00,2023-10-10 10:15:00,1696932000,144.69,116.58,2.90,0.34,19560.62,10754.69,-12.25,0.0,7.024
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696936500,2023-10-10 10:15:00,2023-10-10 10:30:00,1696932900,142.15,116.23,2.53,0.35,19560.87,10754.69,-12.5,0.0,7.171
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696937400,2023-10-10 10:30:00,2023-10-10 10:45:00,1696933800,139.98,116.23,1.80,0.0,19561.12,10754.69,-12.75,0.0,6.891
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1696938300,2023-10-10 10:45:00,2023-10-10 11:00:00,1696934700,137.44,115.54,2.89,0.69,19561.37,10754.69,-13.0,0.0,6.98
