key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh
CALABAR_BASE_TANK_1697932800_GEN-00980B76_GRID-00980A9C,2023-10-22 00:00:00,2023-10-22 00:15:00,1697932800,56,22.87,0.0,0.47,14,697.40,-14,-697.40,0.115,0.0
CALABAR_BASE_TANK_1697933700_GEN-00980B76_GRID-00980A9C,2023-10-22 00:15:00,2023-10-22 00:30:00,1697933700,56,22.31,0.0,0.64,14,697.40,-14,-697.40,0.127,0.0
CALABAR_BASE_TANK_1697934600_GEN-00980B76_GRID-00980A9C,2023-10-22 00:30:00,2023-10-22 00:45:00,1697934600,56,21.66,0.0,0.55,14,697.40,-14,-697.40,0.112,0.0
CALABAR_BASE_TANK_1697935500_GEN-00980B76_GRID-00980A9C,2023-10-22 00:45:00,2023-10-22 01:00:00,1697935500,56,21.19,0.0,0.55,14,697.40,-14,-697.40,0.119,0.0
CALABAR_BASE_TANK_1697936400_GEN-00980B76_GRID-00980A9C,2023-10-22 01:00:00,2023-10-22 01:15:00,1697936400,56,20.44,0.0,0.74,14,697.40,-14,-697.40,0.12,0.0
CALABAR_BASE_TANK_1697937300_GEN-00980B76_GRID-00980A9C,2023-10-22 01:15:00,2023-10-22 01:30:00,1697937300,56,19.88,0.0,0.45,14,697.40,-14,-697.40,0.111,0.0
CALABAR_BASE_TANK_1697938200_GEN-00980B76_GRID-00980A9C,2023-10-22 01:30:00,2023-10-22 01:45:00,1697938200,56,19.33,0.0,0.64,14,697.40,-14,-697.40,0.127,0.0
CALABAR_BASE_TANK_1697939100_GEN-00980B76_GRID-00980A9C,2023-10-22 01:45:00,2023-10-22 02:00:00,1697939100,56,18.58,0.0,0.74,14,697.40,-14,-697.40,0.119,0.0
CALABAR_BASE_TANK_1697940000_GEN-00980B76_GRID-00980A9C,2023-10-22 02:00:00,2023-10-22 02:15:00,1697940000,56,18.21,0.0,0.37,14,697.40,-14,-697.40,0.128,0.0
CALABAR_BASE_TANK_1697940900_GEN-00980B76_GRID-00980A9C,2023-10-22 02:15:00,2023-10-22 02:30:00,1697940900,56,17.46,0.0,0.74,14,697.40,-14,-697.40,0.132,0.0
CALABAR_BASE_TANK_1697941800_GEN-00980B76_GRID-00980A9C,2023-10-22 02:30:00,2023-10-22 02:45:00,1697941800,56,16.99,0.0,0.37,14,697.40,-14,-697.40,0.143,0.0
CALABAR_BASE_TANK_1697942700_GEN-00980B76_GRID-00980A9C,2023-10-22 02:45:00,2023-10-22 03:00:00,1697942700,56,16.34,0.0,0.74,14,697.40,-14,-697.40,0.122,0.0
CALABAR_BASE_TANK_1697943600_GEN-00980B76_GRID-00980A9C,2023-10-22 03:00:00,2023-10-22 03:15:00,1697943600,56,15.6,0.0,0.64,14,697.40,-14,-697.40,0.128,0.0
CALABAR_BASE_TANK_1697944500_GEN-00980B76_GRID-00980A9C,2023-10-22 03:15:00,2023-10-22 03:30:00,1697944500,56,15.22,0.0,0.47,14,697.40,-14,-697.40,0.128,0.0
CALABAR_BASE_TANK_1697945400_GEN-00980B76_GRID-00980A9C,2023-10-22 03:30:00,2023-10-22 03:45:00,1697945400,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.108,0.011
CALABAR_BASE_TANK_1697946300_GEN-00980B76_GRID-00980A9C,2023-10-22 03:45:00,2023-10-22 04:00:00,1697946300,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.228
CALABAR_BASE_TANK_1697947200_GEN-00980B76_GRID-00980A9C,2023-10-22 04:00:00,2023-10-22 04:15:00,1697947200,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.228
CALABAR_BASE_TANK_1697948100_GEN-00980B76_GRID-00980A9C,2023-10-22 04:15:00,2023-10-22 04:30:00,1697948100,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.203
CALABAR_BASE_TANK_1697949000_GEN-00980B76_GRID-00980A9C,2023-10-22 04:30:00,2023-10-22 04:45:00,1697949000,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.244
CALABAR_BASE_TANK_1697949900_GEN-00980B76_GRID-00980A9C,2023-10-22 04:45:00,2023-10-22 05:00:00,1697949900,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.358
CALABAR_BASE_TANK_1697950800_GEN-00980B76_GRID-00980A9C,2023-10-22 05:00:00,2023-10-22 05:15:00,1697950800,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.47
CALABAR_BASE_TANK_1697951700_GEN-00980B76_GRID-00980A9C,2023-10-22 05:15:00,2023-10-22 05:30:00,1697951700,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.251
CALABAR_BASE_TANK_1697952600_GEN-00980B76_GRID-00980A9C,2023-10-22 05:30:00,2023-10-22 05:45:00,1697952600,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.195
CALABAR_BASE_TANK_1697953500_GEN-00980B76_GRID-00980A9C,2023-10-22 05:45:00,2023-10-22 06:00:00,1697953500,56,15.22,0.0,0.0,14,697.61,-14,-697.61,0.0,0.218
CALABAR_BASE_TANK_1697954400_GEN-00980B76_GRID-00980A9C,2023-10-22 06:00:00,2023-10-22 06:15:00,1697954400,56,15.22,0.0,0.0,14,697.78,-14,-697.78,0.047,0.075
CALABAR_BASE_TANK_1697955300_GEN-00980B76_GRID-00980A9C,2023-10-22 06:15:00,2023-10-22 06:30:00,1697955300,56,15.22,0.0,0.0,14,698.01,-14,-698.01,0.208,0.0
