key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698451200_OFFICE-00980A9E,2023-10-28 00:00:00,2023-10-28 00:15:00,1698451200,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698452100_OFFICE-00980A9E,2023-10-28 00:15:00,2023-10-28 00:30:00,1698452100,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698453000_OFFICE-00980A9E,2023-10-28 00:30:00,2023-10-28 00:45:00,1698453000,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698453900_OFFICE-00980A9E,2023-10-28 00:45:00,2023-10-28 01:00:00,1698453900,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698454800_OFFICE-00980A9E,2023-10-28 01:00:00,2023-10-28 01:15:00,1698454800,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698455700_OFFICE-00980A9E,2023-10-28 01:15:00,2023-10-28 01:30:00,1698455700,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698456600_OFFICE-00980A9E,2023-10-28 01:30:00,2023-10-28 01:45:00,1698456600,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698457500_OFFICE-00980A9E,2023-10-28 01:45:00,2023-10-28 02:00:00,1698457500,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698458400_OFFICE-00980A9E,2023-10-28 02:00:00,2023-10-28 02:15:00,1698458400,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698459300_OFFICE-00980A9E,2023-10-28 02:15:00,2023-10-28 02:30:00,1698459300,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698460200_OFFICE-00980A9E,2023-10-28 02:30:00,2023-10-28 02:45:00,1698460200,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698461100_OFFICE-00980A9E,2023-10-28 02:45:00,2023-10-28 03:00:00,1698461100,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698462000_OFFICE-00980A9E,2023-10-28 03:00:00,2023-10-28 03:15:00,1698462000,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698462900_OFFICE-00980A9E,2023-10-28 03:15:00,2023-10-28 03:30:00,1698462900,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698463800_OFFICE-00980A9E,2023-10-28 03:30:00,2023-10-28 03:45:00,1698463800,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698464700_OFFICE-00980A9E,2023-10-28 03:45:00,2023-10-28 04:00:00,1698464700,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698465600_OFFICE-00980A9E,2023-10-28 04:00:00,2023-10-28 04:15:00,1698465600,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698466500_OFFICE-00980A9E,2023-10-28 04:15:00,2023-10-28 04:30:00,1698466500,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698467400_OFFICE-00980A9E,2023-10-28 04:30:00,2023-10-28 04:45:00,1698467400,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698468300_OFFICE-00980A9E,2023-10-28 04:45:00,2023-10-28 05:00:00,1698468300,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698469200_OFFICE-00980A9E,2023-10-28 05:00:00,2023-10-28 05:15:00,1698469200,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698470100_OFFICE-00980A9E,2023-10-28 05:15:00,2023-10-28 05:30:00,1698470100,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698471000_OFFICE-00980A9E,2023-10-28 05:30:00,2023-10-28 05:45:00,1698471000,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1698471900_OFFICE-00980A9E,2023-10-28 05:45:00,2023-10-28 06:00:00,1698471900,84.43,19.26,0.0,0.0,2,280.31,0,-61.52,0.0
