key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ADIKPO_1701388800_OFFICE-00980AAF,2023-11-30 23:00:00,2023-11-30 23:15:00,1701388800,64.73,71.66,1.1,0.0,12153.23,10855.26,-12153.23,-10855.26,0.0
ADIKPO_1701389700_OFFICE-00980AAF,2023-11-30 23:15:00,2023-11-30 23:30:00,1701389700,63.62,71.66,1.10,0.0,12153.48,10855.26,-12153.48,-10855.26,0.0
ADIKPO_1701390600_OFFICE-00980AAF,2023-11-30 23:30:00,2023-11-30 23:45:00,1701390600,63.62,71.66,0.0,0.0,12153.73,10855.26,-12153.73,-10855.26,0.0
ADIKPO_1701391500_OFFICE-00980AAF,2023-11-30 23:45:00,2023-12-01 00:00:00,1701391500,62.15,71.66,1.47,0.0,12153.98,10855.26,-12153.98,-10855.26,0.0
ADIKPO_1701392400_OFFICE-00980AAF,2023-12-01 00:00:00,2023-12-01 00:15:00,1701392400,61.78,71.66,0.37,0.0,12154.23,10855.26,-12154.23,-10855.26,0.0
ADIKPO_1701393300_OFFICE-00980AAF,2023-12-01 00:15:00,2023-12-01 00:30:00,1701393300,61.05,71.66,0.73,0.0,12154.48,10855.26,-12154.48,-10855.26,0.0
ADIKPO_1701394200_OFFICE-00980AAF,2023-12-01 00:30:00,2023-12-01 00:45:00,1701394200,59.57,71.66,1.48,0.0,12154.73,10855.26,-12154.73,-10855.26,0.0
ADIKPO_1701395100_OFFICE-00980AAF,2023-12-01 00:45:00,2023-12-01 01:00:00,1701395100,58.84,71.66,0.73,0.0,12154.96,10855.28,-12154.96,-10855.28,0.0
ADIKPO_1701396000_OFFICE-00980AAF,2023-12-01 01:00:00,2023-12-01 01:15:00,1701396000,58.84,70.3,0.0,1.02,12154.96,10855.54,-12154.96,-10855.54,0.0
ADIKPO_1701396900_OFFICE-00980AAF,2023-12-01 01:15:00,2023-12-01 01:30:00,1701396900,58.84,69.95,0.0,0.69,12154.96,10855.79,-12154.96,-10855.79,0.0
ADIKPO_1701397800_OFFICE-00980AAF,2023-12-01 01:30:00,2023-12-01 01:45:00,1701397800,58.84,69.27,0.0,0.68,12154.96,10856.04,-12154.96,-10856.04,0.0
ADIKPO_1701398700_OFFICE-00980AAF,2023-12-01 01:45:00,2023-12-01 02:00:00,1701398700,58.84,68.59,0.0,0.68,12154.96,10856.29,-12154.96,-10856.29,0.0
ADIKPO_1701399600_OFFICE-00980AAF,2023-12-01 02:00:00,2023-12-01 02:15:00,1701399600,58.84,67.91,0.0,0.68,12154.96,10856.54,-12154.96,-10856.54,0.0
ADIKPO_1701400500_OFFICE-00980AAF,2023-12-01 02:15:00,2023-12-01 02:30:00,1701400500,58.84,66.89,0.0,1.02,12154.96,10856.79,-12154.96,-10856.79,0.0
ADIKPO_1701401400_OFFICE-00980AAF,2023-12-01 02:30:00,2023-12-01 02:45:00,1701401400,58.84,66.55,0.0,0.34,12154.96,10857.04,-12154.96,-10857.04,0.0
ADIKPO_1701402300_OFFICE-00980AAF,2023-12-01 02:45:00,2023-12-01 03:00:00,1701402300,58.84,65.52,0.0,1.03,12154.96,10857.29,-12154.96,-10857.29,0.0
ADIKPO_1701403200_OFFICE-00980AAF,2023-12-01 03:00:00,2023-12-01 03:15:00,1701403200,58.84,64.84,0.0,0.68,12154.96,10857.54,-12154.96,-10857.54,0.0
ADIKPO_1701404100_OFFICE-00980AAF,2023-12-01 03:15:00,2023-12-01 03:30:00,1701404100,58.84,64.16,0.0,0.68,12154.96,10857.79,-12154.96,-10857.79,0.0
ADIKPO_1701405000_OFFICE-00980AAF,2023-12-01 03:30:00,2023-12-01 03:45:00,1701405000,58.84,62.45,0.0,1.36,12154.96,10858.04,-12154.96,-10858.04,0.0
ADIKPO_1701405900_OFFICE-00980AAF,2023-12-01 03:45:00,2023-12-01 04:00:00,1701405900,58.84,62.45,0.0,0.35,12154.96,10858.29,-12154.96,-10858.29,0.0
ADIKPO_1701406800_OFFICE-00980AAF,2023-12-01 04:00:00,2023-12-01 04:15:00,1701406800,58.84,62.11,0.0,0.0,12154.96,10858.54,-12154.96,-10858.54,0.0
ADIKPO_1701407700_OFFICE-00980AAF,2023-12-01 04:15:00,2023-12-01 04:30:00,1701407700,58.84,61.09,0.0,1.36,12154.96,10858.79,-12154.96,-10858.79,0.0
ADIKPO_1701408600_OFFICE-00980AAF,2023-12-01 04:30:00,2023-12-01 04:45:00,1701408600,58.84,60.41,0.0,0.68,12154.96,10859.04,-12154.96,-10859.04,0.0
ADIKPO_1701409500_OFFICE-00980AAF,2023-12-01 04:45:00,2023-12-01 05:00:00,1701409500,58.84,59.73,0.0,0.34,12154.96,10859.29,-12154.96,-10859.29,0.0
ADIKPO_1701410400_OFFICE-00980AAF,2023-12-01 05:00:00,2023-12-01 05:15:00,1701410400,58.84,58.7,0.0,1.37,12154.96,10859.54,-12154.96,-10859.54,0.0
ADIKPO_1701411300_OFFICE-00980AAF,2023-12-01 05:15:00,2023-12-01 05:30:00,1701411300,58.84,58.36,0.0,0.34,12154.96,10859.79,-12154.96,-10859.79,0.0
