key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh
CALABAR_DG1_And_DG2_1701993600_GEN-00980B76_GRID-00980A9C,2023-12-07 23:00:00,2023-12-07 23:15:00,1701993600,53.97,11.49,0.0,0.64,15082.03,13911.42,-15082.03,-13911.42,0.291,0.0
CALABAR_DG1_And_DG2_1701994500_GEN-00980B76_GRID-00980A9C,2023-12-07 23:15:00,2023-12-07 23:30:00,1701994500,53.97,10.75,0.0,0.73,15082.03,13911.67,-15082.03,-13911.67,0.299,0.0
CALABAR_DG1_And_DG2_1701995400_GEN-00980B76_GRID-00980A9C,2023-12-07 23:30:00,2023-12-07 23:45:00,1701995400,53.97,10,0.0,0.65,15082.03,13911.92,-15082.03,-13911.92,0.287,0.0
CALABAR_DG1_And_DG2_1701996300_GEN-00980B76_GRID-00980A9C,2023-12-07 23:45:00,2023-12-08 00:00:00,1701996300,53.97,10,0.0,0.09,15082.03,13912.17,-15082.03,-13912.17,0.293,0.0
CALABAR_DG1_And_DG2_1701997200_GEN-00980B76_GRID-00980A9C,2023-12-08 00:00:00,2023-12-08 00:15:00,1701997200,53.97,10,0.0,0.0,15082.03,13912.42,-15082.03,-13912.42,0.294,0.0
CALABAR_DG1_And_DG2_1701998100_GEN-00980B76_GRID-00980A9C,2023-12-08 00:15:00,2023-12-08 00:30:00,1701998100,53.97,10,0.0,0.0,15082.03,13912.67,-15082.03,-13912.67,0.285,0.0
CALABAR_DG1_And_DG2_1701999000_GEN-00980B76_GRID-00980A9C,2023-12-08 00:30:00,2023-12-08 00:45:00,1701999000,53.97,10,0.0,0.0,15082.03,13912.92,-15082.03,-13912.92,0.296,0.0
CALABAR_DG1_And_DG2_1701999900_GEN-00980B76_GRID-00980A9C,2023-12-08 00:45:00,2023-12-08 01:00:00,1701999900,53.97,10,0.0,0.0,15082.03,13913.17,-15082.03,-13913.17,0.298,0.0
CALABAR_DG1_And_DG2_1702000800_GEN-00980B76_GRID-00980A9C,2023-12-08 01:00:00,2023-12-08 01:15:00,1702000800,53.97,10,0.0,0.0,15082.03,13913.42,-15082.03,-13913.42,0.286,0.0
CALABAR_DG1_And_DG2_1702001700_GEN-00980B76_GRID-00980A9C,2023-12-08 01:15:00,2023-12-08 01:30:00,1702001700,53.97,10,0.0,0.0,15082.03,13913.67,-15082.03,-13913.67,0.294,0.0
CALABAR_DG1_And_DG2_1702002600_GEN-00980B76_GRID-00980A9C,2023-12-08 01:30:00,2023-12-08 01:45:00,1702002600,53.97,10,0.0,0.0,15082.03,13913.92,-15082.03,-13913.92,0.299,0.0
CALABAR_DG1_And_DG2_1702003500_GEN-00980B76_GRID-00980A9C,2023-12-08 01:45:00,2023-12-08 02:00:00,1702003500,53.97,10,0.0,0.0,15082.03,13914.17,-15082.03,-13914.17,0.288,0.0
CALABAR_DG1_And_DG2_1702004400_GEN-00980B76_GRID-00980A9C,2023-12-08 02:00:00,2023-12-08 02:15:00,1702004400,53.97,10,0.0,0.0,15082.03,13914.42,-15082.03,-13914.42,0.291,0.0
CALABAR_DG1_And_DG2_1702005300_GEN-00980B76_GRID-00980A9C,2023-12-08 02:15:00,2023-12-08 02:30:00,1702005300,53.97,10,0.0,0.0,15082.03,13914.67,-15082.03,-13914.67,0.299,0.0
CALABAR_DG1_And_DG2_1702006200_GEN-00980B76_GRID-00980A9C,2023-12-08 02:30:00,2023-12-08 02:45:00,1702006200,53.97,10,0.0,0.0,15082.03,13914.92,-15082.03,-13914.92,0.29,0.0
CALABAR_DG1_And_DG2_1702007100_GEN-00980B76_GRID-00980A9C,2023-12-08 02:45:00,2023-12-08 03:00:00,1702007100,53.97,10,0.0,0.0,15082.03,13915.17,-15082.03,-13915.17,0.293,0.0
CALABAR_DG1_And_DG2_1702008000_GEN-00980B76_GRID-00980A9C,2023-12-08 03:00:00,2023-12-08 03:15:00,1702008000,53.97,10,0.0,0.0,15082.03,13915.42,-15082.03,-13915.42,0.306,0.0
CALABAR_DG1_And_DG2_1702008900_GEN-00980B76_GRID-00980A9C,2023-12-08 03:15:00,2023-12-08 03:30:00,1702008900,53.97,10,0.0,0.0,15082.03,13915.67,-15082.03,-13915.67,0.507,0.0
CALABAR_DG1_And_DG2_1702009800_GEN-00980B76_GRID-00980A9C,2023-12-08 03:30:00,2023-12-08 03:45:00,1702009800,53.97,10,0.0,0.0,15082.03,13915.92,-15082.03,-13915.92,0.484,0.0
CALABAR_DG1_And_DG2_1702010700_GEN-00980B76_GRID-00980A9C,2023-12-08 03:45:00,2023-12-08 04:00:00,1702010700,53.97,10,0.0,0.0,15082.03,13916.17,-15082.03,-13916.17,0.0,0.0
CALABAR_DG1_And_DG2_1702011600_GEN-00980B76_GRID-00980A9C,2023-12-08 04:00:00,2023-12-08 04:15:00,1702011600,53.97,10,0.0,0.0,15082.16,13916.26,-15082.16,-13916.26,0.219,0.0
CALABAR_DG1_And_DG2_1702012500_GEN-00980B76_GRID-00980A9C,2023-12-08 04:15:00,2023-12-08 04:30:00,1702012500,53.97,10,0.0,0.0,15082.41,13916.26,-15082.41,-13916.26,0.265,0.0
CALABAR_DG1_And_DG2_1702013400_GEN-00980B76_GRID-00980A9C,2023-12-08 04:30:00,2023-12-08 04:45:00,1702013400,53.97,10,0.0,0.0,15082.66,13916.26,-15082.66,-13916.26,0.305,0.0
CALABAR_DG1_And_DG2_1702014300_GEN-00980B76_GRID-00980A9C,2023-12-08 04:45:00,2023-12-08 05:00:00,1702014300,53.97,10,0.0,0.0,15082.92,13916.26,-15082.92,-13916.26,0.448,0.0
CALABAR_DG1_And_DG2_1702015200_GEN-00980B76_GRID-00980A9C,2023-12-08 05:00:00,2023-12-08 05:15:00,1702015200,53.97,10,0.0,0.0,15083.18,13916.26,-15083.18,-13916.26,0.508,0.0
CALABAR_DG1_And_DG2_1702016100_GEN-00980B76_GRID-00980A9C,2023-12-08 05:15:00,2023-12-08 05:30:00,1702016100,53.97,10,0.0,0.0,15083.43,13916.26,-15083.43,-13916.26,0.441,0.0
CALABAR_DG1_And_DG2_1702017000_GEN-00980B76_GRID-00980A9C,2023-12-08 05:30:00,2023-12-08 05:45:00,1702017000,53.97,10,0.0,0.0,15083.48,13916.26,-15083.48,-13916.26,0.274,0.0
CALABAR_DG1_And_DG2_1702017900_GEN-00980B76_GRID-00980A9C,2023-12-08 05:45:00,2023-12-08 06:00:00,1702017900,53.97,10,0.0,0.0,15083.48,13916.26,-15083.48,-13916.26,0.0,0.0
CALABAR_DG1_And_DG2_1702018800_GEN-00980B76_GRID-00980A9C,2023-12-08 06:00:00,2023-12-08 06:15:00,1702018800,53.97,10,0.0,0.0,15083.49,13916.26,-15083.49,-13916.26,0.04,0.0
CALABAR_DG1_And_DG2_1702019700_GEN-00980B76_GRID-00980A9C,2023-12-08 06:15:00,2023-12-08 06:30:00,1702019700,53.97,10,0.0,0.0,15083.64,13916.26,-15083.64,-13916.26,0.349,0.122
CALABAR_DG1_And_DG2_1702020600_GEN-00980B76_GRID-00980A9C,2023-12-08 06:30:00,2023-12-08 06:45:00,1702020600,53.97,10,0.0,0.0,15083.84,13916.26,-15083.84,-13916.26,0.409,0.138
CALABAR_DG1_And_DG2_1702021500_GEN-00980B76_GRID-00980A9C,2023-12-08 06:45:00,2023-12-08 07:00:00,1702021500,56,10,0.0,0.0,15084.09,13916.26,-15084.09,-13916.26,0.75,0.0
CALABAR_DG1_And_DG2_1702022400_GEN-00980B76_GRID-00980A9C,2023-12-08 07:00:00,2023-12-08 07:15:00,1702022400,56,10,0.0,0.0,15084.34,13916.26,-15084.34,-13916.26,1.081,0.0
CALABAR_DG1_And_DG2_1702023300_GEN-00980B76_GRID-00980A9C,2023-12-08 07:15:00,2023-12-08 07:30:00,1702023300,56,10,0.0,0.0,15084.6,13916.26,-15084.6,-13916.26,1.187,0.0
CALABAR_DG1_And_DG2_1702024200_GEN-00980B76_GRID-00980A9C,2023-12-08 07:30:00,2023-12-08 07:45:00,1702024200,56,10,0.0,0.0,15084.81,13916.26,-15084.81,-13916.26,1.016,0.0
CALABAR_DG1_And_DG2_1702025100_GEN-00980B76_GRID-00980A9C,2023-12-08 07:45:00,2023-12-08 08:00:00,1702025100,56,10,0.0,0.0,15085.06,13916.26,-15085.06,-13916.26,0.838,0.0
CALABAR_DG1_And_DG2_1702026000_GEN-00980B76_GRID-00980A9C,2023-12-08 08:00:00,2023-12-08 08:15:00,1702026000,55.49,10,0.51,0.0,15085.31,13916.26,-15085.31,-13916.26,0.984,0.0
