key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702857600_OFFICE-00980AA5,2023-12-17 23:00:00,2023-12-17 23:15:00,1702857600,113.12,188.92,1.44,0.0,20540.16,11145.14,-1384.05,-2690.44,0.966
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702858500_OFFICE-00980AA5,2023-12-17 23:15:00,2023-12-17 23:30:00,1702858500,112.03,188.92,1.08,0.0,20540.41,11145.14,-1384.30,-2690.44,0.953
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702859400_OFFICE-00980AA5,2023-12-17 23:30:00,2023-12-17 23:45:00,1702859400,110.58,188.92,1.44,0.0,20540.66,11145.14,-1384.55,-2690.44,0.978
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702860300_OFFICE-00980AA5,2023-12-17 23:45:00,2023-12-18 00:00:00,1702860300,109.13,188.92,1.08,0.0,20540.91,11145.14,-1384.80,-2690.44,0.92
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702861200_OFFICE-00980AA5,2023-12-18 00:00:00,2023-12-18 00:15:00,1702861200,107.68,188.92,1.80,0.0,20541.16,11145.14,-1385.05,-2690.44,0.895
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702862100_OFFICE-00980AA5,2023-12-18 00:15:00,2023-12-18 00:30:00,1702862100,106.95,188.92,0.37,0.0,20541.41,11145.14,-1385.30,-2690.44,0.961
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702863000_OFFICE-00980AA5,2023-12-18 00:30:00,2023-12-18 00:45:00,1702863000,106.23,188.92,1.08,0.0,20541.66,11145.14,-1385.55,-2690.44,0.918
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702863900_OFFICE-00980AA5,2023-12-18 00:45:00,2023-12-18 01:00:00,1702863900,104.77,188.92,1.46,0.0,20541.91,11145.14,-1385.80,-2690.44,0.945
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702864800_OFFICE-00980AA5,2023-12-18 01:00:00,2023-12-18 01:15:00,1702864800,103.32,188.92,1.45,0.0,20542.16,11145.14,-1386.05,-2690.44,1.012
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702865700_OFFICE-00980AA5,2023-12-18 01:15:00,2023-12-18 01:30:00,1702865700,101.87,188.92,1.44,0.0,20542.41,11145.14,-1386.30,-2690.44,0.936
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702866600_OFFICE-00980AA5,2023-12-18 01:30:00,2023-12-18 01:45:00,1702866600,100.42,188.92,1.44,0.0,20542.66,11145.14,-1386.55,-2690.44,0.925
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702867500_OFFICE-00980AA5,2023-12-18 01:45:00,2023-12-18 02:00:00,1702867500,99.69,188.92,0.73,0.0,20542.91,11145.14,-1386.80,-2690.44,0.95
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702868400_OFFICE-00980AA5,2023-12-18 02:00:00,2023-12-18 02:15:00,1702868400,98.97,188.92,0.72,0.0,20543.16,11145.14,-1387.05,-2690.44,0.969
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702869300_OFFICE-00980AA5,2023-12-18 02:15:00,2023-12-18 02:30:00,1702869300,97.52,188.92,1.44,0.0,20543.41,11145.14,-1387.30,-2690.44,0.976
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702870200_OFFICE-00980AA5,2023-12-18 02:30:00,2023-12-18 02:45:00,1702870200,96.06,188.92,1.46,0.0,20543.66,11145.14,-1387.55,-2690.44,0.958
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702871100_OFFICE-00980AA5,2023-12-18 02:45:00,2023-12-18 03:00:00,1702871100,94.61,188.92,1.45,0.0,20543.91,11145.14,-1387.80,-2690.44,0.888
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702872000_OFFICE-00980AA5,2023-12-18 03:00:00,2023-12-18 03:15:00,1702872000,93.89,188.92,0.36,0.0,20544.16,11145.14,-1388.05,-2690.44,0.911
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702872900_OFFICE-00980AA5,2023-12-18 03:15:00,2023-12-18 03:30:00,1702872900,93.16,188.92,1.08,0.0,20544.41,11145.14,-1388.30,-2690.44,0.909
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702873800_OFFICE-00980AA5,2023-12-18 03:30:00,2023-12-18 03:45:00,1702873800,91.71,188.92,1.44,0.0,20544.66,11145.14,-1388.55,-2690.44,0.877
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702874700_OFFICE-00980AA5,2023-12-18 03:45:00,2023-12-18 04:00:00,1702874700,90.26,188.92,1.44,0.0,20544.91,11145.14,-1388.80,-2690.44,0.831
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702875600_OFFICE-00980AA5,2023-12-18 04:00:00,2023-12-18 04:15:00,1702875600,88.81,188.92,1.44,0.0,20545.16,11145.14,-1389.05,-2690.44,0.886
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702876500_OFFICE-00980AA5,2023-12-18 04:15:00,2023-12-18 04:30:00,1702876500,87.35,188.92,1.08,0.0,20545.41,11145.14,-1389.30,-2690.44,1.126
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702877400_OFFICE-00980AA5,2023-12-18 04:30:00,2023-12-18 04:45:00,1702877400,194.77,188.23,0.37,0.69,20545.43,11145.39,-1389.32,-2690.69,1.505
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702878300_OFFICE-00980AA5,2023-12-18 04:45:00,2023-12-18 05:00:00,1702878300,194.77,187.19,0.0,1.04,20545.43,11145.64,-1389.32,-2690.94,2.17
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702879200_OFFICE-00980AA5,2023-12-18 05:00:00,2023-12-18 05:15:00,1702879200,194.77,184.08,0.0,2.77,20545.43,11145.89,-1389.32,-2691.19,2.848
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702880100_OFFICE-00980AA5,2023-12-18 05:15:00,2023-12-18 05:30:00,1702880100,194.77,183.56,0.0,2.25,20545.43,11146.14,-1389.32,-2691.44,3.262
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702881000_OFFICE-00980AA5,2023-12-18 05:30:00,2023-12-18 05:45:00,1702881000,194.77,181.48,0.0,2.51,20545.43,11146.39,-1389.32,-2691.69,3.107
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702881900_OFFICE-00980AA5,2023-12-18 05:45:00,2023-12-18 06:00:00,1702881900,194.77,179.23,0.0,3.2,20545.43,11146.64,-1389.32,-2691.94,3.554
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702882800_OFFICE-00980AA5,2023-12-18 06:00:00,2023-12-18 06:15:00,1702882800,194.77,177.5,0.0,1.73,20545.43,11146.89,-1389.32,-2692.19,3.604
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702883700_OFFICE-00980AA5,2023-12-18 06:15:00,2023-12-18 06:30:00,1702883700,194.77,175.77,0.0,1.38,20545.43,11147.14,-1389.32,-2692.44,4.899
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702884600_OFFICE-00980AA5,2023-12-18 06:30:00,2023-12-18 06:45:00,1702884600,194.77,173.35,0.0,2.76,20545.43,11147.39,-1389.32,-2692.69,4.635
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702885500_OFFICE-00980AA5,2023-12-18 06:45:00,2023-12-18 07:00:00,1702885500,194.77,171.27,0.0,2.08,20545.43,11147.64,-1389.32,-2692.94,3.805
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702886400_OFFICE-00980AA5,2023-12-18 07:00:00,2023-12-18 07:15:00,1702886400,194.77,169.88,0.0,1.39,20545.43,11147.89,-1389.32,-2693.19,3.759
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702887300_OFFICE-00980AA5,2023-12-18 07:15:00,2023-12-18 07:30:00,1702887300,194.77,167.12,0.0,2.76,20545.43,11148.14,-1389.32,-2693.44,4.359
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702888200_OFFICE-00980AA5,2023-12-18 07:30:00,2023-12-18 07:45:00,1702888200,194.41,165.04,0.36,1.74,20545.43,11148.39,-1389.32,-2693.69,4.181
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702889100_OFFICE-00980AA5,2023-12-18 07:45:00,2023-12-18 08:00:00,1702889100,194.41,163.31,0.0,2.07,20545.43,11148.64,-1389.32,-2693.94,4.543
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702890000_OFFICE-00980AA5,2023-12-18 08:00:00,2023-12-18 08:15:00,1702890000,194.41,160.88,0.0,2.42,20545.43,11148.89,-1389.32,-2694.19,4.491
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1702890900_OFFICE-00980AA5,2023-12-18 08:15:00,2023-12-18 08:30:00,1702890900,194.41,158.81,0.0,2.07,20545.43,11149.14,-1389.32,-2694.44,4.253
