key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
TARABA_DG1_And_DG2_1709251200_OFFICE-00980AA1,2024-02-29 23:00:00,2024-02-29 23:15:00,1709251200,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709252100_OFFICE-00980AA1,2024-02-29 23:15:00,2024-02-29 23:30:00,1709252100,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709253000_OFFICE-00980AA1,2024-02-29 23:30:00,2024-02-29 23:45:00,1709253000,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709253900_OFFICE-00980AA1,2024-02-29 23:45:00,2024-03-01 00:00:00,1709253900,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709254800_OFFICE-00980AA1,2024-03-01 00:00:00,2024-03-01 00:15:00,1709254800,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709255700_OFFICE-00980AA1,2024-03-01 00:15:00,2024-03-01 00:30:00,1709255700,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709256600_OFFICE-00980AA1,2024-03-01 00:30:00,2024-03-01 00:45:00,1709256600,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709257500_OFFICE-00980AA1,2024-03-01 00:45:00,2024-03-01 01:00:00,1709257500,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709258400_OFFICE-00980AA1,2024-03-01 01:00:00,2024-03-01 01:15:00,1709258400,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709259300_OFFICE-00980AA1,2024-03-01 01:15:00,2024-03-01 01:30:00,1709259300,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709260200_OFFICE-00980AA1,2024-03-01 01:30:00,2024-03-01 01:45:00,1709260200,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709261100_OFFICE-00980AA1,2024-03-01 01:45:00,2024-03-01 02:00:00,1709261100,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709262000_OFFICE-00980AA1,2024-03-01 02:00:00,2024-03-01 02:15:00,1709262000,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709262900_OFFICE-00980AA1,2024-03-01 02:15:00,2024-03-01 02:30:00,1709262900,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709263800_OFFICE-00980AA1,2024-03-01 02:30:00,2024-03-01 02:45:00,1709263800,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709264700_OFFICE-00980AA1,2024-03-01 02:45:00,2024-03-01 03:00:00,1709264700,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709265600_OFFICE-00980AA1,2024-03-01 03:00:00,2024-03-01 03:15:00,1709265600,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709266500_OFFICE-00980AA1,2024-03-01 03:15:00,2024-03-01 03:30:00,1709266500,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709267400_OFFICE-00980AA1,2024-03-01 03:30:00,2024-03-01 03:45:00,1709267400,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709268300_OFFICE-00980AA1,2024-03-01 03:45:00,2024-03-01 04:00:00,1709268300,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709269200_OFFICE-00980AA1,2024-03-01 04:00:00,2024-03-01 04:15:00,1709269200,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709270100_OFFICE-00980AA1,2024-03-01 04:15:00,2024-03-01 04:30:00,1709270100,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709271000_OFFICE-00980AA1,2024-03-01 04:30:00,2024-03-01 04:45:00,1709271000,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709271900_OFFICE-00980AA1,2024-03-01 04:45:00,2024-03-01 05:00:00,1709271900,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709272800_OFFICE-00980AA1,2024-03-01 05:00:00,2024-03-01 05:15:00,1709272800,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709273700_OFFICE-00980AA1,2024-03-01 05:15:00,2024-03-01 05:30:00,1709273700,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709274600_OFFICE-00980AA1,2024-03-01 05:30:00,2024-03-01 05:45:00,1709274600,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709275500_OFFICE-00980AA1,2024-03-01 05:45:00,2024-03-01 06:00:00,1709275500,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709276400_OFFICE-00980AA1,2024-03-01 06:00:00,2024-03-01 06:15:00,1709276400,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709277300_OFFICE-00980AA1,2024-03-01 06:15:00,2024-03-01 06:30:00,1709277300,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709278200_OFFICE-00980AA1,2024-03-01 06:30:00,2024-03-01 06:45:00,1709278200,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709279100_OFFICE-00980AA1,2024-03-01 06:45:00,2024-03-01 07:00:00,1709279100,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709280000_OFFICE-00980AA1,2024-03-01 07:00:00,2024-03-01 07:15:00,1709280000,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709280900_OFFICE-00980AA1,2024-03-01 07:15:00,2024-03-01 07:30:00,1709280900,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709281800_OFFICE-00980AA1,2024-03-01 07:30:00,2024-03-01 07:45:00,1709281800,96.1,210.92,0.0,0.0,8287,7671.55,-444.36,-335.95,0.0
TARABA_DG1_And_DG2_1709282700_OFFICE-00980AA1,2024-03-01 07:45:00,2024-03-01 08:00:00,1709282700,95.74,210.92,0.36,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709283600_OFFICE-00980AA1,2024-03-01 08:00:00,2024-03-01 08:15:00,1709283600,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709284500_OFFICE-00980AA1,2024-03-01 08:15:00,2024-03-01 08:30:00,1709284500,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709285400_OFFICE-00980AA1,2024-03-01 08:30:00,2024-03-01 08:45:00,1709285400,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709286300_OFFICE-00980AA1,2024-03-01 08:45:00,2024-03-01 09:00:00,1709286300,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709287200_OFFICE-00980AA1,2024-03-01 09:00:00,2024-03-01 09:15:00,1709287200,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709288100_OFFICE-00980AA1,2024-03-01 09:15:00,2024-03-01 09:30:00,1709288100,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709289000_OFFICE-00980AA1,2024-03-01 09:30:00,2024-03-01 09:45:00,1709289000,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709289900_OFFICE-00980AA1,2024-03-01 09:45:00,2024-03-01 10:00:00,1709289900,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709290800_OFFICE-00980AA1,2024-03-01 10:00:00,2024-03-01 10:15:00,1709290800,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709291700_OFFICE-00980AA1,2024-03-01 10:15:00,2024-03-01 10:30:00,1709291700,95.74,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709292600_OFFICE-00980AA1,2024-03-01 10:30:00,2024-03-01 10:45:00,1709292600,95.01,210.92,0.73,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709293500_OFFICE-00980AA1,2024-03-01 10:45:00,2024-03-01 11:00:00,1709293500,94.65,210.92,0.36,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709294400_OFFICE-00980AA1,2024-03-01 11:00:00,2024-03-01 11:15:00,1709294400,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709295300_OFFICE-00980AA1,2024-03-01 11:15:00,2024-03-01 11:30:00,1709295300,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709296200_OFFICE-00980AA1,2024-03-01 11:30:00,2024-03-01 11:45:00,1709296200,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709297100_OFFICE-00980AA1,2024-03-01 11:45:00,2024-03-01 12:00:00,1709297100,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709298000_OFFICE-00980AA1,2024-03-01 12:00:00,2024-03-01 12:15:00,1709298000,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709298900_OFFICE-00980AA1,2024-03-01 12:15:00,2024-03-01 12:30:00,1709298900,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709299800_OFFICE-00980AA1,2024-03-01 12:30:00,2024-03-01 12:45:00,1709299800,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709300700_OFFICE-00980AA1,2024-03-01 12:45:00,2024-03-01 13:00:00,1709300700,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709301600_OFFICE-00980AA1,2024-03-01 13:00:00,2024-03-01 13:15:00,1709301600,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709302500_OFFICE-00980AA1,2024-03-01 13:15:00,2024-03-01 13:30:00,1709302500,94.65,210.92,0.0,0.0,8287,7671.61,-444.36,-336.01,0.0
TARABA_DG1_And_DG2_1709303400_OFFICE-00980AA1,2024-03-01 13:30:00,2024-03-01 13:45:00,1709303400,94.29,210.92,0.0,0.0,8287,7671.76,-444.36,-336.16,0.0
TARABA_DG1_And_DG2_1709304300_OFFICE-00980AA1,2024-03-01 13:45:00,2024-03-01 14:00:00,1709304300,92.11,210.92,2.16,0.0,8287,7672.01,-444.36,-336.41,0.0
TARABA_DG1_And_DG2_1709305200_OFFICE-00980AA1,2024-03-01 14:00:00,2024-03-01 14:15:00,1709305200,90.3,210.92,2.17,0.0,8287,7672.26,-444.36,-336.66,0.0
TARABA_DG1_And_DG2_1709306100_OFFICE-00980AA1,2024-03-01 14:15:00,2024-03-01 14:30:00,1709306100,88.85,210.92,1.44,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709307000_OFFICE-00980AA1,2024-03-01 14:30:00,2024-03-01 14:45:00,1709307000,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709307900_OFFICE-00980AA1,2024-03-01 14:45:00,2024-03-01 15:00:00,1709307900,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709308800_OFFICE-00980AA1,2024-03-01 15:00:00,2024-03-01 15:15:00,1709308800,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709309700_OFFICE-00980AA1,2024-03-01 15:15:00,2024-03-01 15:30:00,1709309700,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709310600_OFFICE-00980AA1,2024-03-01 15:30:00,2024-03-01 15:45:00,1709310600,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709311500_OFFICE-00980AA1,2024-03-01 15:45:00,2024-03-01 16:00:00,1709311500,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709312400_OFFICE-00980AA1,2024-03-01 16:00:00,2024-03-01 16:15:00,1709312400,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709313300_OFFICE-00980AA1,2024-03-01 16:15:00,2024-03-01 16:30:00,1709313300,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709314200_OFFICE-00980AA1,2024-03-01 16:30:00,2024-03-01 16:45:00,1709314200,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709315100_OFFICE-00980AA1,2024-03-01 16:45:00,2024-03-01 17:00:00,1709315100,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709316000_OFFICE-00980AA1,2024-03-01 17:00:00,2024-03-01 17:15:00,1709316000,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709316900_OFFICE-00980AA1,2024-03-01 17:15:00,2024-03-01 17:30:00,1709316900,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709317800_OFFICE-00980AA1,2024-03-01 17:30:00,2024-03-01 17:45:00,1709317800,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709318700_OFFICE-00980AA1,2024-03-01 17:45:00,2024-03-01 18:00:00,1709318700,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709319600_OFFICE-00980AA1,2024-03-01 18:00:00,2024-03-01 18:15:00,1709319600,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709320500_OFFICE-00980AA1,2024-03-01 18:15:00,2024-03-01 18:30:00,1709320500,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709321400_OFFICE-00980AA1,2024-03-01 18:30:00,2024-03-01 18:45:00,1709321400,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709322300_OFFICE-00980AA1,2024-03-01 18:45:00,2024-03-01 19:00:00,1709322300,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709323200_OFFICE-00980AA1,2024-03-01 19:00:00,2024-03-01 19:15:00,1709323200,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709324100_OFFICE-00980AA1,2024-03-01 19:15:00,2024-03-01 19:30:00,1709324100,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
TARABA_DG1_And_DG2_1709325000_OFFICE-00980AA1,2024-03-01 19:30:00,2024-03-01 19:45:00,1709325000,88.85,210.92,0.0,0.0,8287,7672.35,-444.36,-336.75,0.0
