key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
OGOJA_GUEST_HOUSE_1709769600_HOUSE-00980AA3,2024-03-06 23:00:00,2024-03-06 23:15:00,1709769600,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,4.298
OGOJA_GUEST_HOUSE_1709770500_HOUSE-00980AA3,2024-03-06 23:15:00,2024-03-06 23:30:00,1709770500,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,4.367
OGOJA_GUEST_HOUSE_1709771400_HOUSE-00980AA3,2024-03-06 23:30:00,2024-03-06 23:45:00,1709771400,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,4.027
OGOJA_GUEST_HOUSE_1709772300_HOUSE-00980AA3,2024-03-06 23:45:00,2024-03-07 00:00:00,1709772300,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,3.604
OGOJA_GUEST_HOUSE_1709773200_HOUSE-00980AA3,2024-03-07 00:00:00,2024-03-07 00:15:00,1709773200,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,3.321
OGOJA_GUEST_HOUSE_1709774100_HOUSE-00980AA3,2024-03-07 00:15:00,2024-03-07 00:30:00,1709774100,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,3.47
OGOJA_GUEST_HOUSE_1709775000_HOUSE-00980AA3,2024-03-07 00:30:00,2024-03-07 00:45:00,1709775000,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,3.236
OGOJA_GUEST_HOUSE_1709775900_HOUSE-00980AA3,2024-03-07 00:45:00,2024-03-07 01:00:00,1709775900,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,3.425
OGOJA_GUEST_HOUSE_1709776800_HOUSE-00980AA3,2024-03-07 01:00:00,2024-03-07 01:15:00,1709776800,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,3.545
OGOJA_GUEST_HOUSE_1709777700_HOUSE-00980AA3,2024-03-07 01:15:00,2024-03-07 01:30:00,1709777700,102.52,175.18,0.0,0.0,22472.67,8976.47,-22451.67,-8082.81,3.272
