key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710460800_OFFICE-00980A9E,2024-03-14 23:00:00,2024-03-14 23:15:00,1710460800,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.263
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710461700_OFFICE-00980A9E,2024-03-14 23:15:00,2024-03-14 23:30:00,1710461700,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.354
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710462600_OFFICE-00980A9E,2024-03-14 23:30:00,2024-03-14 23:45:00,1710462600,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.471
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710463500_OFFICE-00980A9E,2024-03-14 23:45:00,2024-03-15 00:00:00,1710463500,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.559
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710464400_OFFICE-00980A9E,2024-03-15 00:00:00,2024-03-15 00:15:00,1710464400,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.576
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710465300_OFFICE-00980A9E,2024-03-15 00:15:00,2024-03-15 00:30:00,1710465300,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.247
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710466200_OFFICE-00980A9E,2024-03-15 00:30:00,2024-03-15 00:45:00,1710466200,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.251
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710467100_OFFICE-00980A9E,2024-03-15 00:45:00,2024-03-15 01:00:00,1710467100,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.255
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710468000_OFFICE-00980A9E,2024-03-15 01:00:00,2024-03-15 01:15:00,1710468000,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.384
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710468900_OFFICE-00980A9E,2024-03-15 01:15:00,2024-03-15 01:30:00,1710468900,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.321
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1710469800_OFFICE-00980A9E,2024-03-15 01:30:00,2024-03-15 01:45:00,1710469800,114.12,45.73,0.0,0.0,2706.58,10422.32,-193.46,-183.54,1.26
