key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh,GB3_kwh
TARABA_DG1_And_DG2_1710892800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 23:00:00,2024-03-19 23:15:00,1710892800,101.54,79.34,1.08,0.0,8418.32,7762.47,-575.68,-426.87,2.136,0.122,0.198
TARABA_DG1_And_DG2_1710893700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 23:15:00,2024-03-19 23:30:00,1710893700,100.45,79.34,1.08,0.0,8418.32,7762.72,-575.68,-427.12,2.154,0.122,0.198
TARABA_DG1_And_DG2_1710894600_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 23:30:00,2024-03-19 23:45:00,1710894600,99,79.34,1.44,0.0,8418.32,7762.97,-575.68,-427.37,2.179,0.122,0.198
TARABA_DG1_And_DG2_1710895500_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 23:45:00,2024-03-20 00:00:00,1710895500,97.55,79.34,1.08,0.0,8418.32,7763.22,-575.68,-427.62,2.121,0.122,0.198
TARABA_DG1_And_DG2_1710896400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 00:00:00,2024-03-20 00:15:00,1710896400,96.1,79.34,1.44,0.0,8418.32,7763.47,-575.68,-427.87,2.108,0.122,0.198
TARABA_DG1_And_DG2_1710897300_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 00:15:00,2024-03-20 00:30:00,1710897300,95.38,79.34,0.72,0.0,8418.32,7763.72,-575.68,-428.12,2.116,0.122,0.198
TARABA_DG1_And_DG2_1710898200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 00:30:00,2024-03-20 00:45:00,1710898200,94.65,79.34,1.08,0.0,8418.32,7763.97,-575.68,-428.37,2.142,0.122,0.198
TARABA_DG1_And_DG2_1710899100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 00:45:00,2024-03-20 01:00:00,1710899100,93.92,79.34,0.73,0.0,8418.32,7764.22,-575.68,-428.62,1.988,0.122,0.198
TARABA_DG1_And_DG2_1710900000_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 01:00:00,2024-03-20 01:15:00,1710900000,91.75,79.34,2.17,0.0,8418.32,7764.47,-575.68,-428.87,2.097,0.122,0.198
TARABA_DG1_And_DG2_1710900900_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 01:15:00,2024-03-20 01:30:00,1710900900,91.39,79.34,0.36,0.0,8418.32,7764.72,-575.68,-429.12,2.053,0.122,0.198
TARABA_DG1_And_DG2_1710901800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 01:30:00,2024-03-20 01:45:00,1710901800,90.66,79.34,0.73,0.0,8418.32,7764.97,-575.68,-429.37,1.948,0.122,0.198
TARABA_DG1_And_DG2_1710902700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 01:45:00,2024-03-20 02:00:00,1710902700,88.85,79.34,1.81,0.0,8418.32,7765.22,-575.68,-429.62,2.143,0.122,0.198
TARABA_DG1_And_DG2_1710903600_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 02:00:00,2024-03-20 02:15:00,1710903600,88.49,79.34,0.36,0.0,8418.32,7765.47,-575.68,-429.87,2.105,0.122,0.198
TARABA_DG1_And_DG2_1710904500_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 02:15:00,2024-03-20 02:30:00,1710904500,87.4,79.34,1.08,0.0,8418.32,7765.72,-575.68,-430.12,2.078,0.122,0.198
TARABA_DG1_And_DG2_1710905400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 02:30:00,2024-03-20 02:45:00,1710905400,85.95,79.34,1.44,0.0,8418.32,7765.97,-575.68,-430.37,2.026,0.122,0.198
TARABA_DG1_And_DG2_1710906300_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 02:45:00,2024-03-20 03:00:00,1710906300,84.86,79.34,1.08,0.0,8418.32,7766.22,-575.68,-430.62,2.07,0.122,0.198
TARABA_DG1_And_DG2_1710907200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 03:00:00,2024-03-20 03:15:00,1710907200,83.41,79.34,1.45,0.0,8418.32,7766.47,-575.68,-430.87,2.003,0.122,0.198
TARABA_DG1_And_DG2_1710908100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 03:15:00,2024-03-20 03:30:00,1710908100,82.32,79.34,1.08,0.0,8418.32,7766.72,-575.68,-431.12,2.119,0.122,0.198
TARABA_DG1_And_DG2_1710909000_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 03:30:00,2024-03-20 03:45:00,1710909000,81.6,79.34,0.72,0.0,8418.32,7766.97,-575.68,-431.37,2.001,0.122,0.198
TARABA_DG1_And_DG2_1710909900_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 03:45:00,2024-03-20 04:00:00,1710909900,80.15,79.34,1.08,0.0,8418.32,7767.22,-575.68,-431.62,1.976,0.122,0.198
TARABA_DG1_And_DG2_1710910800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 04:00:00,2024-03-20 04:15:00,1710910800,78.7,79.34,1.80,0.0,8418.32,7767.47,-575.68,-431.87,1.901,0.073,0.119
TARABA_DG1_And_DG2_1710911700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 04:15:00,2024-03-20 04:30:00,1710911700,78.34,79.34,0.36,0.0,8418.32,7767.72,-575.68,-432.12,1.894,0.0,0.0
TARABA_DG1_And_DG2_1710912600_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 04:30:00,2024-03-20 04:45:00,1710912600,76.89,79.34,1.08,0.0,8418.32,7767.97,-575.68,-432.37,1.852,0.0,0.0
TARABA_DG1_And_DG2_1710913500_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 04:45:00,2024-03-20 05:00:00,1710913500,75.8,79.34,1.44,0.0,8418.32,7768.22,-575.68,-432.62,2.277,0.097,0.179
TARABA_DG1_And_DG2_1710914400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-20 05:00:00,2024-03-20 05:15:00,1710914400,74.71,79.34,0.72,0.0,8418.32,7768.47,-575.68,-432.87,2.366,0.127,0.236
