key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ABUJA_OFFICE_DG1_and_DG2_1712966400_OFFICE-00980785,2024-04-12 23:00:00,2024-04-12 23:15:00,1712966400,342.28,382.4,0.0,0.0,9989.81,9959.89,-9980.81,-9424.60,2.973
ABUJA_OFFICE_DG1_and_DG2_1712967300_OFFICE-00980785,2024-04-12 23:15:00,2024-04-12 23:30:00,1712967300,342.28,382.4,0.0,0.0,9989.81,9959.89,-9980.81,-9424.60,2.846
ABUJA_OFFICE_DG1_and_DG2_1712968200_OFFICE-00980785,2024-04-12 23:30:00,2024-04-12 23:45:00,1712968200,342.28,382.4,0.0,0.0,9989.83,9959.89,-9980.83,-9424.60,2.806
ABUJA_OFFICE_DG1_and_DG2_1712969100_OFFICE-00980785,2024-04-12 23:45:00,2024-04-13 00:00:00,1712969100,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.624
ABUJA_OFFICE_DG1_and_DG2_1712970000_OFFICE-00980785,2024-04-13 00:00:00,2024-04-13 00:15:00,1712970000,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.788
ABUJA_OFFICE_DG1_and_DG2_1712970900_OFFICE-00980785,2024-04-13 00:15:00,2024-04-13 00:30:00,1712970900,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.883
ABUJA_OFFICE_DG1_and_DG2_1712971800_OFFICE-00980785,2024-04-13 00:30:00,2024-04-13 00:45:00,1712971800,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.704
ABUJA_OFFICE_DG1_and_DG2_1712972700_OFFICE-00980785,2024-04-13 00:45:00,2024-04-13 01:00:00,1712972700,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.654
ABUJA_OFFICE_DG1_and_DG2_1712973600_OFFICE-00980785,2024-04-13 01:00:00,2024-04-13 01:15:00,1712973600,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.62
ABUJA_OFFICE_DG1_and_DG2_1712974500_OFFICE-00980785,2024-04-13 01:15:00,2024-04-13 01:30:00,1712974500,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.599
ABUJA_OFFICE_DG1_and_DG2_1712975400_OFFICE-00980785,2024-04-13 01:30:00,2024-04-13 01:45:00,1712975400,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.547
ABUJA_OFFICE_DG1_and_DG2_1712976300_OFFICE-00980785,2024-04-13 01:45:00,2024-04-13 02:00:00,1712976300,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.587
ABUJA_OFFICE_DG1_and_DG2_1712977200_OFFICE-00980785,2024-04-13 02:00:00,2024-04-13 02:15:00,1712977200,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.511
ABUJA_OFFICE_DG1_and_DG2_1712978100_OFFICE-00980785,2024-04-13 02:15:00,2024-04-13 02:30:00,1712978100,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.596
ABUJA_OFFICE_DG1_and_DG2_1712979000_OFFICE-00980785,2024-04-13 02:30:00,2024-04-13 02:45:00,1712979000,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.616
ABUJA_OFFICE_DG1_and_DG2_1712979900_OFFICE-00980785,2024-04-13 02:45:00,2024-04-13 03:00:00,1712979900,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.542
ABUJA_OFFICE_DG1_and_DG2_1712980800_OFFICE-00980785,2024-04-13 03:00:00,2024-04-13 03:15:00,1712980800,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.596
ABUJA_OFFICE_DG1_and_DG2_1712981700_OFFICE-00980785,2024-04-13 03:15:00,2024-04-13 03:30:00,1712981700,342.28,382.4,0.0,0.0,9989.88,9959.89,-9980.88,-9424.60,2.522
