key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706744700,2024-01-31T23:45:00:00,2024-01-31T23:46:00:00,1706744700,125.25,24.22,0.00,0.00,2513.12,10238.78,0.00,0.00
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706744760,2024-01-31T23:46:00:00,2024-01-31T23:47:00:00,1706744760,125.25,24.22,0.00,0.00,2513.12,10238.8,0.00,-0.02
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706744820,2024-01-31T23:47:00:00,2024-01-31T23:48:00:00,1706744820,125.25,24.22,0.00,0.00,2513.12,10238.82,0.00,-0.04
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706744880,2024-01-31T23:48:00:00,2024-01-31T23:49:00:00,1706744880,125.25,24.14,0.00,0.08,2513.12,10238.83,0.00,-0.05
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706744940,2024-01-31T23:49:00:00,2024-01-31T23:50:00:00,1706744940,125.25,24.06,0.00,0.08,2513.12,10238.85,0.00,-0.07
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745000,2024-01-31T23:50:00:00,2024-01-31T23:51:00:00,1706745000,125.25,23.97,0.00,0.09,2513.12,10238.86,0.00,-0.08
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745060,2024-01-31T23:51:00:00,2024-01-31T23:52:00:00,1706745060,125.25,23.89,0.00,0.08,2513.12,10238.88,0.00,-0.10
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745120,2024-01-31T23:52:00:00,2024-01-31T23:53:00:00,1706745120,125.25,23.89,0.00,0.00,2513.12,10238.9,0.00,-0.12
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745180,2024-01-31T23:53:00:00,2024-01-31T23:54:00:00,1706745180,125.25,23.81,0.00,0.08,2513.12,10238.92,0.00,-0.14
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745240,2024-01-31T23:54:00:00,2024-01-31T23:55:00:00,1706745240,125.25,23.73,0.00,0.08,2513.12,10238.92,0.00,-0.14
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745300,2024-01-31T23:55:00:00,2024-01-31T23:56:00:00,1706745300,125.25,23.64,0.00,0.09,2513.12,10238.92,0.00,-0.14
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745360,2024-01-31T23:56:00:00,2024-01-31T23:57:00:00,1706745360,125.25,23.64,0.00,0.00,2513.12,10238.92,0.00,-0.14
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745420,2024-01-31T23:57:00:00,2024-01-31T23:58:00:00,1706745420,125.25,23.56,0.00,0.08,2513.12,10238.94,0.00,-0.16
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706745480,2024-01-31T23:58:00:00,2024-01-31T23:59:00:00,1706745480,125.25,23.56,0.00,0.00,2513.12,10238.95,0.00,-0.17
