key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
TARABA_DG1_And_DG2_1704758400_OFFICE-00980AA1,2024-01-08 23:00:00,2024-01-08 23:15:00,1704758400,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.922
TARABA_DG1_And_DG2_1704759300_OFFICE-00980AA1,2024-01-08 23:15:00,2024-01-08 23:30:00,1704759300,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.953
TARABA_DG1_And_DG2_1704760200_OFFICE-00980AA1,2024-01-08 23:30:00,2024-01-08 23:45:00,1704760200,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.943
TARABA_DG1_And_DG2_1704761100_OFFICE-00980AA1,2024-01-08 23:45:00,2024-01-09 00:00:00,1704761100,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.921
TARABA_DG1_And_DG2_1704762000_OFFICE-00980AA1,2024-01-09 00:00:00,2024-01-09 00:15:00,1704762000,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.924
TARABA_DG1_And_DG2_1704762900_OFFICE-00980AA1,2024-01-09 00:15:00,2024-01-09 00:30:00,1704762900,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.948
TARABA_DG1_And_DG2_1704763800_OFFICE-00980AA1,2024-01-09 00:30:00,2024-01-09 00:45:00,1704763800,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.949
TARABA_DG1_And_DG2_1704764700_OFFICE-00980AA1,2024-01-09 00:45:00,2024-01-09 01:00:00,1704764700,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.951
TARABA_DG1_And_DG2_1704765600_OFFICE-00980AA1,2024-01-09 01:00:00,2024-01-09 01:15:00,1704765600,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.898
TARABA_DG1_And_DG2_1704766500_OFFICE-00980AA1,2024-01-09 01:15:00,2024-01-09 01:30:00,1704766500,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.928
TARABA_DG1_And_DG2_1704767400_OFFICE-00980AA1,2024-01-09 01:30:00,2024-01-09 01:45:00,1704767400,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.916
TARABA_DG1_And_DG2_1704768300_OFFICE-00980AA1,2024-01-09 01:45:00,2024-01-09 02:00:00,1704768300,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.919
TARABA_DG1_And_DG2_1704769200_OFFICE-00980AA1,2024-01-09 02:00:00,2024-01-09 02:15:00,1704769200,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,1.08
TARABA_DG1_And_DG2_1704770100_OFFICE-00980AA1,2024-01-09 02:15:00,2024-01-09 02:30:00,1704770100,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.877
TARABA_DG1_And_DG2_1704771000_OFFICE-00980AA1,2024-01-09 02:30:00,2024-01-09 02:45:00,1704771000,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.875
TARABA_DG1_And_DG2_1704771900_OFFICE-00980AA1,2024-01-09 02:45:00,2024-01-09 03:00:00,1704771900,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.901
TARABA_DG1_And_DG2_1704772800_OFFICE-00980AA1,2024-01-09 03:00:00,2024-01-09 03:15:00,1704772800,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.901
TARABA_DG1_And_DG2_1704773700_OFFICE-00980AA1,2024-01-09 03:15:00,2024-01-09 03:30:00,1704773700,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.869
TARABA_DG1_And_DG2_1704774600_OFFICE-00980AA1,2024-01-09 03:30:00,2024-01-09 03:45:00,1704774600,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.861
TARABA_DG1_And_DG2_1704775500_OFFICE-00980AA1,2024-01-09 03:45:00,2024-01-09 04:00:00,1704775500,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.874
TARABA_DG1_And_DG2_1704776400_OFFICE-00980AA1,2024-01-09 04:00:00,2024-01-09 04:15:00,1704776400,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.866
TARABA_DG1_And_DG2_1704777300_OFFICE-00980AA1,2024-01-09 04:15:00,2024-01-09 04:30:00,1704777300,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.805
TARABA_DG1_And_DG2_1704778200_OFFICE-00980AA1,2024-01-09 04:30:00,2024-01-09 04:45:00,1704778200,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.824
TARABA_DG1_And_DG2_1704779100_OFFICE-00980AA1,2024-01-09 04:45:00,2024-01-09 05:00:00,1704779100,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.839
TARABA_DG1_And_DG2_1704780000_OFFICE-00980AA1,2024-01-09 05:00:00,2024-01-09 05:15:00,1704780000,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.876
TARABA_DG1_And_DG2_1704780900_OFFICE-00980AA1,2024-01-09 05:15:00,2024-01-09 05:30:00,1704780900,91.75,81.6,0.0,0.0,7847,7347.04,-4.36,-11.44,0.899
