key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704844800_OFFICE-00980AA5,2024-01-09 23:00:00,2024-01-09 23:15:00,1704844800,196.23,193.08,0.0,0.0,20981.26,11158.44,-20961.26,-10355.38,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704845700_OFFICE-00980AA5,2024-01-09 23:15:00,2024-01-09 23:30:00,1704845700,196.23,193.08,0.0,0.0,20981.26,11158.44,-20961.26,-10355.38,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704846600_OFFICE-00980AA5,2024-01-09 23:30:00,2024-01-09 23:45:00,1704846600,191.87,193.08,4.36,0.0,20981.46,11158.44,-20961.46,-10355.38,0.489
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704847500_OFFICE-00980AA5,2024-01-09 23:45:00,2024-01-10 00:00:00,1704847500,188.97,193.08,2.89,0.0,20981.71,11158.44,-20961.71,-10355.38,1.726
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704848400_OFFICE-00980AA5,2024-01-10 00:00:00,2024-01-10 00:15:00,1704848400,187.15,193.08,1.44,0.0,20981.96,11158.44,-20961.96,-10355.38,1.72
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704849300_OFFICE-00980AA5,2024-01-10 00:15:00,2024-01-10 00:30:00,1704849300,186.06,193.08,1.46,0.0,20982.21,11158.44,-20962.21,-10355.38,1.649
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704850200_OFFICE-00980AA5,2024-01-10 00:30:00,2024-01-10 00:45:00,1704850200,184.98,193.08,1.08,0.0,20982.46,11158.44,-20962.46,-10355.38,1.62
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704851100_OFFICE-00980AA5,2024-01-10 00:45:00,2024-01-10 01:00:00,1704851100,183.89,193.08,1.08,0.0,20982.71,11158.44,-20962.71,-10355.38,1.649
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704852000_OFFICE-00980AA5,2024-01-10 01:00:00,2024-01-10 01:15:00,1704852000,182.44,193.08,1.09,0.0,20982.96,11158.44,-20962.96,-10355.38,1.582
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704852900_OFFICE-00980AA5,2024-01-10 01:15:00,2024-01-10 01:30:00,1704852900,180.98,193.08,1.81,0.0,20983.21,11158.44,-20963.21,-10355.38,1.677
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704853800_OFFICE-00980AA5,2024-01-10 01:30:00,2024-01-10 01:45:00,1704853800,179.53,193.08,1.45,0.0,20983.46,11158.44,-20963.46,-10355.38,1.572
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704854700_OFFICE-00980AA5,2024-01-10 01:45:00,2024-01-10 02:00:00,1704854700,178.81,193.08,0.72,0.0,20983.71,11158.44,-20963.71,-10355.38,1.6
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704855600_OFFICE-00980AA5,2024-01-10 02:00:00,2024-01-10 02:15:00,1704855600,176.27,193.08,1.81,0.0,20983.96,11158.44,-20963.96,-10355.38,1.569
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704856500_OFFICE-00980AA5,2024-01-10 02:15:00,2024-01-10 02:30:00,1704856500,175.9,193.08,1.08,0.0,20984.21,11158.44,-20964.21,-10355.38,1.533
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704857400_OFFICE-00980AA5,2024-01-10 02:30:00,2024-01-10 02:45:00,1704857400,174.45,193.08,1.44,0.0,20984.46,11158.44,-20964.46,-10355.38,1.545
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704858300_OFFICE-00980AA5,2024-01-10 02:45:00,2024-01-10 03:00:00,1704858300,173,193.08,1.44,0.0,20984.71,11158.44,-20964.71,-10355.38,1.539
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704859200_OFFICE-00980AA5,2024-01-10 03:00:00,2024-01-10 03:15:00,1704859200,171.19,193.08,1.44,0.0,20984.96,11158.44,-20964.96,-10355.38,1.629
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704860100_OFFICE-00980AA5,2024-01-10 03:15:00,2024-01-10 03:30:00,1704860100,170.46,193.08,1.08,0.0,20985.21,11158.44,-20965.21,-10355.38,1.488
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704861000_OFFICE-00980AA5,2024-01-10 03:30:00,2024-01-10 03:45:00,1704861000,168.65,193.08,1.81,0.0,20985.46,11158.44,-20965.46,-10355.38,1.575
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704861900_OFFICE-00980AA5,2024-01-10 03:45:00,2024-01-10 04:00:00,1704861900,166.83,193.08,1.81,0.0,20985.71,11158.44,-20965.71,-10355.38,1.561
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704862800_OFFICE-00980AA5,2024-01-10 04:00:00,2024-01-10 04:15:00,1704862800,166.1,193.08,0.73,0.0,20985.96,11158.44,-20965.96,-10355.38,1.589
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704863700_OFFICE-00980AA5,2024-01-10 04:15:00,2024-01-10 04:30:00,1704863700,165.02,193.08,1.08,0.0,20986.21,11158.44,-20966.21,-10355.38,1.551
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704864600_OFFICE-00980AA5,2024-01-10 04:30:00,2024-01-10 04:45:00,1704864600,163.2,193.08,1.81,0.0,20986.46,11158.44,-20966.46,-10355.38,1.605
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704865500_OFFICE-00980AA5,2024-01-10 04:45:00,2024-01-10 05:00:00,1704865500,162.11,193.08,1.08,0.0,20986.71,11158.44,-20966.71,-10355.38,1.741
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704866400_OFFICE-00980AA5,2024-01-10 05:00:00,2024-01-10 05:15:00,1704866400,171.19,193.08,2.16,0.0,20986.96,11158.44,-20966.96,-10355.38,2.453
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704867300_OFFICE-00980AA5,2024-01-10 05:15:00,2024-01-10 05:30:00,1704867300,196.23,193.08,2.16,0.0,20987.21,11158.44,-20967.21,-10355.38,3.784
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704868200_OFFICE-00980AA5,2024-01-10 05:30:00,2024-01-10 05:45:00,1704868200,193.69,193.08,2.53,0.0,20987.46,11158.44,-20967.46,-10355.38,3.715
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704869100_OFFICE-00980AA5,2024-01-10 05:45:00,2024-01-10 06:00:00,1704869100,190.78,193.08,2.54,0.0,20987.71,11158.44,-20967.71,-10355.38,3.715
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704870000_OFFICE-00980AA5,2024-01-10 06:00:00,2024-01-10 06:15:00,1704870000,189.33,193.08,1.81,0.0,20987.96,11158.44,-20967.96,-10355.38,3.795
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704870900_OFFICE-00980AA5,2024-01-10 06:15:00,2024-01-10 06:30:00,1704870900,187.88,193.08,1.44,0.0,20988.21,11158.44,-20968.21,-10355.38,4.178
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704871800_OFFICE-00980AA5,2024-01-10 06:30:00,2024-01-10 06:45:00,1704871800,185.34,193.08,2.53,0.0,20988.46,11158.44,-20968.46,-10355.38,4.048
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704872700_OFFICE-00980AA5,2024-01-10 06:45:00,2024-01-10 07:00:00,1704872700,183.16,193.08,1.81,0.0,20988.71,11158.44,-20968.71,-10355.38,4.183
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704873600_OFFICE-00980AA5,2024-01-10 07:00:00,2024-01-10 07:15:00,1704873600,181.71,193.08,1.45,0.0,20988.96,11158.44,-20968.96,-10355.38,4.025
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704874500_OFFICE-00980AA5,2024-01-10 07:15:00,2024-01-10 07:30:00,1704874500,179.53,193.08,2.53,0.0,20989.21,11158.44,-20969.21,-10355.38,4.285
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704875400_OFFICE-00980AA5,2024-01-10 07:30:00,2024-01-10 07:45:00,1704875400,177.72,193.08,1.81,0.0,20989.46,11158.44,-20969.46,-10355.38,4.473
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704876300_OFFICE-00980AA5,2024-01-10 07:45:00,2024-01-10 08:00:00,1704876300,175.9,193.08,1.81,0.0,20989.71,11158.44,-20969.71,-10355.38,4.401
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704877200_OFFICE-00980AA5,2024-01-10 08:00:00,2024-01-10 08:15:00,1704877200,173.73,193.08,2.16,0.0,20989.96,11158.44,-20969.96,-10355.38,4.498
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704878100_OFFICE-00980AA5,2024-01-10 08:15:00,2024-01-10 08:30:00,1704878100,171.55,193.08,2.17,0.0,20990.21,11158.44,-20970.21,-10355.38,4.158
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704879000_OFFICE-00980AA5,2024-01-10 08:30:00,2024-01-10 08:45:00,1704879000,169.73,193.08,1.81,0.0,20990.46,11158.44,-20970.46,-10355.38,4.426
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704879900_OFFICE-00980AA5,2024-01-10 08:45:00,2024-01-10 09:00:00,1704879900,167.19,193.08,2.17,0.0,20990.71,11158.44,-20970.71,-10355.38,4.842
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704880800_OFFICE-00980AA5,2024-01-10 09:00:00,2024-01-10 09:15:00,1704880800,165.74,193.08,1.46,0.0,20990.95,11158.44,-20970.95,-10355.38,5.508
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704881700_OFFICE-00980AA5,2024-01-10 09:15:00,2024-01-10 09:30:00,1704881700,163.2,193.08,2.9,0.0,20991.2,11158.44,-20971.2,-10355.38,5.469
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704882600_OFFICE-00980AA5,2024-01-10 09:30:00,2024-01-10 09:45:00,1704882600,160.66,193.08,2.53,0.0,20991.45,11158.44,-20971.45,-10355.38,5.316
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704883500_OFFICE-00980AA5,2024-01-10 09:45:00,2024-01-10 10:00:00,1704883500,158.85,193.08,1.80,0.0,20991.71,11158.44,-20971.71,-10355.38,5.359
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704884400_OFFICE-00980AA5,2024-01-10 10:00:00,2024-01-10 10:15:00,1704884400,156.31,193.08,2.53,0.0,20991.96,11158.44,-20971.96,-10355.38,5.215
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704885300_OFFICE-00980AA5,2024-01-10 10:15:00,2024-01-10 10:30:00,1704885300,154.49,193.08,1.81,0.0,20992.21,11158.44,-20972.21,-10355.38,4.993
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1704886200_OFFICE-00980AA5,2024-01-10 10:30:00,2024-01-10 10:45:00,1704886200,152.68,193.08,1.80,0.0,20992.46,11158.44,-20972.46,-10355.38,4.62
