key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ABUJA_OFFICE_DG1_and_DG2_1704931200_OFFICE-00980785,2024-01-10 23:00:00,2024-01-10 23:15:00,1704931200,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.416
ABUJA_OFFICE_DG1_and_DG2_1704932100_OFFICE-00980785,2024-01-10 23:15:00,2024-01-10 23:30:00,1704932100,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.36
ABUJA_OFFICE_DG1_and_DG2_1704933000_OFFICE-00980785,2024-01-10 23:30:00,2024-01-10 23:45:00,1704933000,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.357
ABUJA_OFFICE_DG1_and_DG2_1704933900_OFFICE-00980785,2024-01-10 23:45:00,2024-01-11 00:00:00,1704933900,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.377
ABUJA_OFFICE_DG1_and_DG2_1704934800_OFFICE-00980785,2024-01-11 00:00:00,2024-01-11 00:15:00,1704934800,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.426
ABUJA_OFFICE_DG1_and_DG2_1704935700_OFFICE-00980785,2024-01-11 00:15:00,2024-01-11 00:30:00,1704935700,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.444
ABUJA_OFFICE_DG1_and_DG2_1704936600_OFFICE-00980785,2024-01-11 00:30:00,2024-01-11 00:45:00,1704936600,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.449
ABUJA_OFFICE_DG1_and_DG2_1704937500_OFFICE-00980785,2024-01-11 00:45:00,2024-01-11 01:00:00,1704937500,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.373
ABUJA_OFFICE_DG1_and_DG2_1704938400_OFFICE-00980785,2024-01-11 01:00:00,2024-01-11 01:15:00,1704938400,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.336
ABUJA_OFFICE_DG1_and_DG2_1704939300_OFFICE-00980785,2024-01-11 01:15:00,2024-01-11 01:30:00,1704939300,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.327
ABUJA_OFFICE_DG1_and_DG2_1704940200_OFFICE-00980785,2024-01-11 01:30:00,2024-01-11 01:45:00,1704940200,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.296
ABUJA_OFFICE_DG1_and_DG2_1704941100_OFFICE-00980785,2024-01-11 01:45:00,2024-01-11 02:00:00,1704941100,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.317
ABUJA_OFFICE_DG1_and_DG2_1704942000_OFFICE-00980785,2024-01-11 02:00:00,2024-01-11 02:15:00,1704942000,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.428
ABUJA_OFFICE_DG1_and_DG2_1704942900_OFFICE-00980785,2024-01-11 02:15:00,2024-01-11 02:30:00,1704942900,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.519
ABUJA_OFFICE_DG1_and_DG2_1704943800_OFFICE-00980785,2024-01-11 02:30:00,2024-01-11 02:45:00,1704943800,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.827
ABUJA_OFFICE_DG1_and_DG2_1704944700_OFFICE-00980785,2024-01-11 02:45:00,2024-01-11 03:00:00,1704944700,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.469
ABUJA_OFFICE_DG1_and_DG2_1704945600_OFFICE-00980785,2024-01-11 03:00:00,2024-01-11 03:15:00,1704945600,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.379
ABUJA_OFFICE_DG1_and_DG2_1704946500_OFFICE-00980785,2024-01-11 03:15:00,2024-01-11 03:30:00,1704946500,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.37
ABUJA_OFFICE_DG1_and_DG2_1704947400_OFFICE-00980785,2024-01-11 03:30:00,2024-01-11 03:45:00,1704947400,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.321
ABUJA_OFFICE_DG1_and_DG2_1704948300_OFFICE-00980785,2024-01-11 03:45:00,2024-01-11 04:00:00,1704948300,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.394
ABUJA_OFFICE_DG1_and_DG2_1704949200_OFFICE-00980785,2024-01-11 04:00:00,2024-01-11 04:15:00,1704949200,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.413
ABUJA_OFFICE_DG1_and_DG2_1704950100_OFFICE-00980785,2024-01-11 04:15:00,2024-01-11 04:30:00,1704950100,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.685
ABUJA_OFFICE_DG1_and_DG2_1704951000_OFFICE-00980785,2024-01-11 04:30:00,2024-01-11 04:45:00,1704951000,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,2.53
ABUJA_OFFICE_DG1_and_DG2_1704951900_OFFICE-00980785,2024-01-11 04:45:00,2024-01-11 05:00:00,1704951900,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,3.091
ABUJA_OFFICE_DG1_and_DG2_1704952800_OFFICE-00980785,2024-01-11 05:00:00,2024-01-11 05:15:00,1704952800,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,3.795
ABUJA_OFFICE_DG1_and_DG2_1704953700_OFFICE-00980785,2024-01-11 05:15:00,2024-01-11 05:30:00,1704953700,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,4.552
ABUJA_OFFICE_DG1_and_DG2_1704954600_OFFICE-00980785,2024-01-11 05:30:00,2024-01-11 05:45:00,1704954600,247.26,240.12,0.0,0.0,9541.6,9523.83,-9532.6,-8988.54,5.354
