key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ADIKPO_1705017600_OFFICE-00980AAF,2024-01-11 23:00:00,2024-01-11 23:15:00,1705017600,83.51,112.91,1.84,0.0,12492.73,11313.29,-12480.73,-10923.51,1.003
ADIKPO_1705018500_OFFICE-00980AAF,2024-01-11 23:15:00,2024-01-11 23:30:00,1705018500,82.77,112.91,0.74,0.0,12492.98,11313.29,-12480.98,-10923.51,1.007
ADIKPO_1705019400_OFFICE-00980AAF,2024-01-11 23:30:00,2024-01-11 23:45:00,1705019400,82.04,112.91,0.73,0.0,12493.23,11313.29,-12481.23,-10923.51,1.013
ADIKPO_1705020300_OFFICE-00980AAF,2024-01-11 23:45:00,2024-01-12 00:00:00,1705020300,81.67,112.91,0.37,0.0,12493.48,11313.29,-12481.48,-10923.51,1.032
ADIKPO_1705021200_OFFICE-00980AAF,2024-01-12 00:00:00,2024-01-12 00:15:00,1705021200,80.56,112.91,1.10,0.0,12493.73,11313.29,-12481.73,-10923.51,1.043
ADIKPO_1705022100_OFFICE-00980AAF,2024-01-12 00:15:00,2024-01-12 00:30:00,1705022100,79.83,112.91,0.73,0.0,12493.98,11313.29,-12481.98,-10923.51,0.987
ADIKPO_1705023000_OFFICE-00980AAF,2024-01-12 00:30:00,2024-01-12 00:45:00,1705023000,78.72,112.91,1.10,0.0,12494.23,11313.29,-12482.23,-10923.51,0.994
ADIKPO_1705023900_OFFICE-00980AAF,2024-01-12 00:45:00,2024-01-12 01:00:00,1705023900,78.35,112.91,0.37,0.0,12494.48,11313.29,-12482.48,-10923.51,0.978
ADIKPO_1705024800_OFFICE-00980AAF,2024-01-12 01:00:00,2024-01-12 01:15:00,1705024800,77.62,112.91,0.36,0.0,12494.73,11313.29,-12482.73,-10923.51,0.969
ADIKPO_1705025700_OFFICE-00980AAF,2024-01-12 01:15:00,2024-01-12 01:30:00,1705025700,76.51,112.91,1.48,0.0,12494.98,11313.29,-12482.98,-10923.51,0.993
ADIKPO_1705026600_OFFICE-00980AAF,2024-01-12 01:30:00,2024-01-12 01:45:00,1705026600,76.15,112.91,0.36,0.0,12495.23,11313.29,-12483.23,-10923.51,0.978
ADIKPO_1705027500_OFFICE-00980AAF,2024-01-12 01:45:00,2024-01-12 02:00:00,1705027500,75.41,112.91,0.74,0.0,12495.48,11313.29,-12483.48,-10923.51,1.013
ADIKPO_1705028400_OFFICE-00980AAF,2024-01-12 02:00:00,2024-01-12 02:15:00,1705028400,74.67,112.91,0.74,0.0,12495.73,11313.29,-12483.73,-10923.51,0.987
ADIKPO_1705029300_OFFICE-00980AAF,2024-01-12 02:15:00,2024-01-12 02:30:00,1705029300,73.57,112.91,1.1,0.0,12495.98,11313.29,-12483.98,-10923.51,0.975
ADIKPO_1705030200_OFFICE-00980AAF,2024-01-12 02:30:00,2024-01-12 02:45:00,1705030200,72.46,112.91,1.10,0.0,12496.23,11313.29,-12484.23,-10923.51,0.972
ADIKPO_1705031100_OFFICE-00980AAF,2024-01-12 02:45:00,2024-01-12 03:00:00,1705031100,71.73,112.91,0.73,0.0,12496.48,11313.29,-12484.48,-10923.51,0.994
ADIKPO_1705032000_OFFICE-00980AAF,2024-01-12 03:00:00,2024-01-12 03:15:00,1705032000,71.36,112.91,0.37,0.0,12496.73,11313.29,-12484.73,-10923.51,1.079
ADIKPO_1705032900_OFFICE-00980AAF,2024-01-12 03:15:00,2024-01-12 03:30:00,1705032900,70.62,112.91,0.74,0.0,12496.98,11313.29,-12484.98,-10923.51,0.956
ADIKPO_1705033800_OFFICE-00980AAF,2024-01-12 03:30:00,2024-01-12 03:45:00,1705033800,69.52,112.91,0.74,0.0,12497.23,11313.29,-12485.23,-10923.51,0.999
ADIKPO_1705034700_OFFICE-00980AAF,2024-01-12 03:45:00,2024-01-12 04:00:00,1705034700,68.41,112.91,1.47,0.0,12497.48,11313.29,-12485.48,-10923.51,0.977
ADIKPO_1705035600_OFFICE-00980AAF,2024-01-12 04:00:00,2024-01-12 04:15:00,1705035600,68.04,112.91,0.37,0.0,12497.73,11313.29,-12485.73,-10923.51,0.956
ADIKPO_1705036500_OFFICE-00980AAF,2024-01-12 04:15:00,2024-01-12 04:30:00,1705036500,67.67,112.91,0.37,0.0,12497.98,11313.29,-12485.98,-10923.51,0.941
ADIKPO_1705037400_OFFICE-00980AAF,2024-01-12 04:30:00,2024-01-12 04:45:00,1705037400,66.57,112.91,1.1,0.0,12498.23,11313.29,-12486.23,-10923.51,0.916
ADIKPO_1705038300_OFFICE-00980AAF,2024-01-12 04:45:00,2024-01-12 05:00:00,1705038300,65.47,114.95,0.74,0.0,12498.48,11313.29,-12486.48,-10923.51,0.945
ADIKPO_1705039200_OFFICE-00980AAF,2024-01-12 05:00:00,2024-01-12 05:15:00,1705039200,64.36,114.27,1.47,0.68,12498.73,11313.29,-12486.73,-10923.51,0.876
ADIKPO_1705040100_OFFICE-00980AAF,2024-01-12 05:15:00,2024-01-12 05:30:00,1705040100,63.62,114.27,0.74,0.0,12498.98,11313.29,-12486.98,-10923.51,0.894
ADIKPO_1705041000_OFFICE-00980AAF,2024-01-12 05:30:00,2024-01-12 05:45:00,1705041000,63.26,114.27,0.36,0.0,12499.23,11313.29,-12487.23,-10923.51,0.904
