key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh
CALABAR_DG1_And_DG2_1705324500_GEN-00980B76_GRID-00980A9C,2024-01-15 12:15:00,2024-01-15 12:30:00,1705324500,35.76,10.00,0.0,0.0,15,407.72,0,-149.43,1.208,0.0
CALABAR_DG1_And_DG2_1705325400_GEN-00980B76_GRID-00980A9C,2024-01-15 12:30:00,2024-01-15 12:45:00,1705325400,35.76,10.00,0.0,0.0,15,407.87,0,-149.58,1.124,0.0
CALABAR_DG1_And_DG2_1705326300_GEN-00980B76_GRID-00980A9C,2024-01-15 12:45:00,2024-01-15 13:00:00,1705326300,35.76,10.00,0.0,0.0,15,407.87,0,-149.58,0.703,0.0
CALABAR_DG1_And_DG2_1705327200_GEN-00980B76_GRID-00980A9C,2024-01-15 13:00:00,2024-01-15 13:15:00,1705327200,35.76,10.00,0.0,0.0,15,407.88,0,-149.59,0.217,0.0
CALABAR_DG1_And_DG2_1705328100_GEN-00980B76_GRID-00980A9C,2024-01-15 13:15:00,2024-01-15 13:30:00,1705328100,35.76,10.00,0.0,0.0,15,407.94,0,-149.65,0.182,0.0
CALABAR_DG1_And_DG2_1705329000_GEN-00980B76_GRID-00980A9C,2024-01-15 13:30:00,2024-01-15 13:45:00,1705329000,35.76,10.00,0.0,0.0,15,408.19,0,-149.90,0.389,0.0
CALABAR_DG1_And_DG2_1705329900_GEN-00980B76_GRID-00980A9C,2024-01-15 13:45:00,2024-01-15 14:00:00,1705329900,35.76,10.00,0.0,0.0,15,408.44,0,-150.15,0.6,0.0
CALABAR_DG1_And_DG2_1705330800_GEN-00980B76_GRID-00980A9C,2024-01-15 14:00:00,2024-01-15 14:15:00,1705330800,35.76,10.00,0.0,0.0,15,408.69,0,-150.40,0.653,0.0
CALABAR_DG1_And_DG2_1705331700_GEN-00980B76_GRID-00980A9C,2024-01-15 14:15:00,2024-01-15 14:30:00,1705331700,35.76,19.51,0.0,0.0,15,408.95,0,-150.66,1.006,0.0
CALABAR_DG1_And_DG2_1705332600_GEN-00980B76_GRID-00980A9C,2024-01-15 14:30:00,2024-01-15 14:45:00,1705332600,35.76,49.91,0.0,0.0,15,409.20,0,-150.91,1.105,0.0
CALABAR_DG1_And_DG2_1705333500_GEN-00980B76_GRID-00980A9C,2024-01-15 14:45:00,2024-01-15 15:00:00,1705333500,35.76,49.91,0.0,0.0,15,409.44,0,-151.15,0.966,0.0
CALABAR_DG1_And_DG2_1705334400_GEN-00980B76_GRID-00980A9C,2024-01-15 15:00:00,2024-01-15 15:15:00,1705334400,56.00,49.91,0.0,0.0,15,409.68,0,-151.39,1.049,0.0
CALABAR_DG1_And_DG2_1705335300_GEN-00980B76_GRID-00980A9C,2024-01-15 15:15:00,2024-01-15 15:30:00,1705335300,56.00,49.91,0.0,0.0,15,409.94,0,-151.65,1.234,0.0
CALABAR_DG1_And_DG2_1705336200_GEN-00980B76_GRID-00980A9C,2024-01-15 15:30:00,2024-01-15 15:45:00,1705336200,56.00,49.91,0.0,0.0,15,410.19,0,-151.90,1.248,0.0
CALABAR_DG1_And_DG2_1705337100_GEN-00980B76_GRID-00980A9C,2024-01-15 15:45:00,2024-01-15 16:00:00,1705337100,56.00,49.91,0.0,0.0,15,410.45,0,-152.16,1.097,0.0
CALABAR_DG1_And_DG2_1705338000_GEN-00980B76_GRID-00980A9C,2024-01-15 16:00:00,2024-01-15 16:15:00,1705338000,56.00,49.54,0.0,0.37,15,410.51,0,-152.22,0.371,0.0
CALABAR_DG1_And_DG2_1705338900_GEN-00980B76_GRID-00980A9C,2024-01-15 16:15:00,2024-01-15 16:30:00,1705338900,56.00,49.07,0.0,0.37,15,410.51,0,-152.22,0.28,0.0
CALABAR_DG1_And_DG2_1705339800_GEN-00980B76_GRID-00980A9C,2024-01-15 16:30:00,2024-01-15 16:45:00,1705339800,56.00,48.42,0.0,0.74,15,410.51,0,-152.22,0.284,0.0
CALABAR_DG1_And_DG2_1705340700_GEN-00980B76_GRID-00980A9C,2024-01-15 16:45:00,2024-01-15 17:00:00,1705340700,56.00,47.67,0.0,0.64,15,410.51,0,-152.22,0.106,0.0
CALABAR_DG1_And_DG2_1705341600_GEN-00980B76_GRID-00980A9C,2024-01-15 17:00:00,2024-01-15 17:15:00,1705341600,56.00,47.30,0.0,0.47,15,410.51,0,-152.22,0.1,0.0
CALABAR_DG1_And_DG2_1705342500_GEN-00980B76_GRID-00980A9C,2024-01-15 17:15:00,2024-01-15 17:30:00,1705342500,56.00,46.56,0.0,0.64,15,410.51,0,-152.22,0.1,0.0
CALABAR_DG1_And_DG2_1705343400_GEN-00980B76_GRID-00980A9C,2024-01-15 17:30:00,2024-01-15 17:45:00,1705343400,56.00,46.18,0.0,0.47,15,410.51,0,-152.22,0.1,0.0
CALABAR_DG1_And_DG2_1705344300_GEN-00980B76_GRID-00980A9C,2024-01-15 17:45:00,2024-01-15 18:00:00,1705344300,56.00,45.44,0.0,0.73,15,410.51,0,-152.22,0.121,0.0
CALABAR_DG1_And_DG2_1705345200_GEN-00980B76_GRID-00980A9C,2024-01-15 18:00:00,2024-01-15 18:15:00,1705345200,56.00,44.88,0.0,0.47,15,410.51,0,-152.22,0.305,0.0
CALABAR_DG1_And_DG2_1705346100_GEN-00980B76_GRID-00980A9C,2024-01-15 18:15:00,2024-01-15 18:30:00,1705346100,56.00,44.32,0.0,0.64,15,410.51,0,-152.22,0.325,0.0
CALABAR_DG1_And_DG2_1705347000_GEN-00980B76_GRID-00980A9C,2024-01-15 18:30:00,2024-01-15 18:45:00,1705347000,56.00,43.57,0.0,0.74,15,410.51,0,-152.22,0.285,0.0
CALABAR_DG1_And_DG2_1705347900_GEN-00980B76_GRID-00980A9C,2024-01-15 18:45:00,2024-01-15 19:00:00,1705347900,56.00,42.83,0.0,0.64,15,410.51,0,-152.22,0.142,0.0
CALABAR_DG1_And_DG2_1705348800_GEN-00980B76_GRID-00980A9C,2024-01-15 19:00:00,2024-01-15 19:15:00,1705348800,56.00,42.27,0.0,0.55,15,410.51,0,-152.22,0.324,0.0
CALABAR_DG1_And_DG2_1705349700_GEN-00980B76_GRID-00980A9C,2024-01-15 19:15:00,2024-01-15 19:30:00,1705349700,56.00,41.71,0.0,0.64,15,410.51,0,-152.22,0.322,0.0
CALABAR_DG1_And_DG2_1705350600_GEN-00980B76_GRID-00980A9C,2024-01-15 19:30:00,2024-01-15 19:45:00,1705350600,56.00,40.96,0.0,0.74,15,410.51,0,-152.22,0.32,0.0
