key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh,GB3_kwh
TARABA_DG1_And_DG2_1710720000_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-17 23:00:00,2024-03-17 23:15:00,1710720000,70,114.68,0.0,1.13,8394.1,7751.45,-551.46,-415.85,0.133,2.493,0.152
TARABA_DG1_And_DG2_1710720900_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-17 23:15:00,2024-03-17 23:30:00,1710720900,70,113.55,0.0,1.13,8394.35,7751.45,-551.71,-415.85,0.133,2.454,0.152
TARABA_DG1_And_DG2_1710721800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-17 23:30:00,2024-03-17 23:45:00,1710721800,70,112.8,0.0,0.75,8394.6,7751.45,-551.96,-415.85,0.133,2.492,0.152
TARABA_DG1_And_DG2_1710722700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-17 23:45:00,2024-03-18 00:00:00,1710722700,70,111.3,0.0,1.5,8394.85,7751.45,-552.21,-415.85,0.133,2.539,0.152
TARABA_DG1_And_DG2_1710723600_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 00:00:00,2024-03-18 00:15:00,1710723600,70,109.79,0.0,1.13,8395.1,7751.45,-552.46,-415.85,0.133,2.6,0.152
TARABA_DG1_And_DG2_1710724500_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 00:15:00,2024-03-18 00:30:00,1710724500,70,109.04,0.0,1.13,8395.36,7751.45,-552.72,-415.85,0.133,2.591,0.152
TARABA_DG1_And_DG2_1710725400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 00:30:00,2024-03-18 00:45:00,1710725400,70,107.16,0.0,1.88,8395.6,7751.45,-552.96,-415.85,0.133,2.608,0.152
TARABA_DG1_And_DG2_1710726300_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 00:45:00,2024-03-18 01:00:00,1710726300,70,105.28,0.0,1.5,8395.86,7751.45,-553.22,-415.85,0.133,2.859,0.152
TARABA_DG1_And_DG2_1710727200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 01:00:00,2024-03-18 01:15:00,1710727200,70,104.16,0.0,1.5,8396.1,7751.45,-553.46,-415.85,0.133,2.453,0.152
TARABA_DG1_And_DG2_1710728100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 01:15:00,2024-03-18 01:30:00,1710728100,70,102.65,0.0,1.50,8396.36,7751.45,-553.72,-415.85,0.133,2.657,0.152
TARABA_DG1_And_DG2_1710729000_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 01:30:00,2024-03-18 01:45:00,1710729000,70,101.52,0.0,1.13,8396.6,7751.45,-553.96,-415.85,0.133,2.824,0.152
TARABA_DG1_And_DG2_1710729900_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 01:45:00,2024-03-18 02:00:00,1710729900,70,99.64,0.0,1.88,8396.85,7751.45,-554.21,-415.85,0.133,2.645,0.152
TARABA_DG1_And_DG2_1710730800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 02:00:00,2024-03-18 02:15:00,1710730800,70,98.52,0.0,1.12,8397.1,7751.45,-554.46,-415.85,0.133,2.592,0.152
TARABA_DG1_And_DG2_1710731700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 02:15:00,2024-03-18 02:30:00,1710731700,70,97.39,0.0,1.13,8397.35,7751.45,-554.71,-415.85,0.133,2.662,0.152
TARABA_DG1_And_DG2_1710732600_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 02:30:00,2024-03-18 02:45:00,1710732600,70,95.51,0.0,1.88,8397.6,7751.45,-554.96,-415.85,0.133,2.695,0.152
TARABA_DG1_And_DG2_1710733500_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 02:45:00,2024-03-18 03:00:00,1710733500,70,94.01,0.0,1.5,8397.85,7751.45,-555.21,-415.85,0.133,2.35,0.152
TARABA_DG1_And_DG2_1710734400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 03:00:00,2024-03-18 03:15:00,1710734400,70,92.88,0.0,1.13,8398.1,7751.45,-555.46,-415.85,0.133,2.6,0.152
TARABA_DG1_And_DG2_1710735300_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 03:15:00,2024-03-18 03:30:00,1710735300,70,91,0.0,1.88,8398.35,7751.45,-555.71,-415.85,0.133,2.583,0.152
TARABA_DG1_And_DG2_1710736200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 03:30:00,2024-03-18 03:45:00,1710736200,70,89.87,0.0,1.13,8398.6,7751.45,-555.96,-415.85,0.133,2.436,0.152
TARABA_DG1_And_DG2_1710737100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 03:45:00,2024-03-18 04:00:00,1710737100,70,88.74,0.0,1.13,8398.85,7751.45,-556.21,-415.85,0.133,2.276,0.152
