key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066300,2023-12-31T23:45:00:00,2023-12-31T23:46:00:00,1704066300,121.79,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066360,2023-12-31T23:46:00:00,2023-12-31T23:47:00:00,1704066360,121.08,175.18,0.71,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066420,2023-12-31T23:47:00:00,2023-12-31T23:48:00:00,1704066420,121.08,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066480,2023-12-31T23:48:00:00,2023-12-31T23:49:00:00,1704066480,120.72,175.18,0.36,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066540,2023-12-31T23:49:00:00,2023-12-31T23:50:00:00,1704066540,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066600,2023-12-31T23:50:00:00,2023-12-31T23:51:00:00,1704066600,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066660,2023-12-31T23:51:00:00,2023-12-31T23:52:00:00,1704066660,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066720,2023-12-31T23:52:00:00,2023-12-31T23:53:00:00,1704066720,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066780,2023-12-31T23:53:00:00,2023-12-31T23:54:00:00,1704066780,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066840,2023-12-31T23:54:00:00,2023-12-31T23:55:00:00,1704066840,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066900,2023-12-31T23:55:00:00,2023-12-31T23:56:00:00,1704066900,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704066960,2023-12-31T23:56:00:00,2023-12-31T23:57:00:00,1704066960,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067020,2023-12-31T23:57:00:00,2023-12-31T23:58:00:00,1704067020,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067080,2023-12-31T23:58:00:00,2023-12-31T23:59:00:00,1704067080,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067140,2023-12-31T23:59:00:00,2024-01-01T00:00:00:00,1704067140,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067200,2024-01-01T00:00:00:00,2024-01-01T00:01:00:00,1704067200,120.72,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067260,2024-01-01T00:01:00:00,2024-01-01T00:02:00:00,1704067260,120.37,175.18,0.35,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067320,2024-01-01T00:02:00:00,2024-01-01T00:03:00:00,1704067320,120.01,175.18,0.36,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067380,2024-01-01T00:03:00:00,2024-01-01T00:04:00:00,1704067380,120.01,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067440,2024-01-01T00:04:00:00,2024-01-01T00:05:00:00,1704067440,120.01,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067500,2024-01-01T00:05:00:00,2024-01-01T00:06:00:00,1704067500,120.01,175.18,0.00,0.00,21,893.66,0,0.00
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21704067560,2024-01-01T00:06:00:00,2024-01-01T00:07:00:00,1704067560,120.01,175.18,0.00,0.00,21,893.66,0,0.00
