key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118440,2024-01-01T14:14:00:00,2024-01-01T14:15:00:00,1704118440,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118500,2024-01-01T14:15:00:00,2024-01-01T14:16:00:00,1704118500,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118560,2024-01-01T14:16:00:00,2024-01-01T14:17:00:00,1704118560,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118620,2024-01-01T14:17:00:00,2024-01-01T14:18:00:00,1704118620,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118680,2024-01-01T14:18:00:00,2024-01-01T14:19:00:00,1704118680,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118740,2024-01-01T14:19:00:00,2024-01-01T14:20:00:00,1704118740,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118800,2024-01-01T14:20:00:00,2024-01-01T14:21:00:00,1704118800,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118860,2024-01-01T14:21:00:00,2024-01-01T14:22:00:00,1704118860,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118920,2024-01-01T14:22:00:00,2024-01-01T14:23:00:00,1704118920,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704118980,2024-01-01T14:23:00:00,2024-01-01T14:24:00:00,1704118980,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119040,2024-01-01T14:24:00:00,2024-01-01T14:25:00:00,1704119040,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119100,2024-01-01T14:25:00:00,2024-01-01T14:26:00:00,1704119100,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119160,2024-01-01T14:26:00:00,2024-01-01T14:27:00:00,1704119160,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119220,2024-01-01T14:27:00:00,2024-01-01T14:28:00:00,1704119220,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119280,2024-01-01T14:28:00:00,2024-01-01T14:29:00:00,1704119280,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119340,2024-01-01T14:29:00:00,2024-01-01T14:30:00:00,1704119340,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119400,2024-01-01T14:30:00:00,2024-01-01T14:31:00:00,1704119400,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119460,2024-01-01T14:31:00:00,2024-01-01T14:32:00:00,1704119460,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119520,2024-01-01T14:32:00:00,2024-01-01T14:33:00:00,1704119520,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119580,2024-01-01T14:33:00:00,2024-01-01T14:34:00:00,1704119580,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119640,2024-01-01T14:34:00:00,2024-01-01T14:35:00:00,1704119640,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
BIOHENRY - UNHCR TAKUM OFFICE DG1 AND DG21704119700,2024-01-01T14:35:00:00,2024-01-01T14:36:00:00,1704119700,67.1,101.15,0.0,0.00,7842.64,7335.6,0.00,0.0
