key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684544400,2023-05-20 00:00:00,2023-05-20 00:15:00,1684540800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684545300,2023-05-20 00:15:00,2023-05-20 00:30:00,1684541700,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684546200,2023-05-20 00:30:00,2023-05-20 00:45:00,1684542600,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684547100,2023-05-20 00:45:00,2023-05-20 01:00:00,1684543500,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684548000,2023-05-20 01:00:00,2023-05-20 01:15:00,1684544400,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684548900,2023-05-20 01:15:00,2023-05-20 01:30:00,1684545300,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684549800,2023-05-20 01:30:00,2023-05-20 01:45:00,1684546200,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684550700,2023-05-20 01:45:00,2023-05-20 02:00:00,1684547100,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684551600,2023-05-20 02:00:00,2023-05-20 02:15:00,1684548000,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684552500,2023-05-20 02:15:00,2023-05-20 02:30:00,1684548900,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684553400,2023-05-20 02:30:00,2023-05-20 02:45:00,1684549800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684554300,2023-05-20 02:45:00,2023-05-20 03:00:00,1684550700,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684555200,2023-05-20 03:00:00,2023-05-20 03:15:00,1684551600,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684556100,2023-05-20 03:15:00,2023-05-20 03:30:00,1684552500,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684557000,2023-05-20 03:30:00,2023-05-20 03:45:00,1684553400,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684557900,2023-05-20 03:45:00,2023-05-20 04:00:00,1684554300,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684558800,2023-05-20 04:00:00,2023-05-20 04:15:00,1684555200,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684559700,2023-05-20 04:15:00,2023-05-20 04:30:00,1684556100,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684560600,2023-05-20 04:30:00,2023-05-20 04:45:00,1684557000,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684561500,2023-05-20 04:45:00,2023-05-20 05:00:00,1684557900,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684562400,2023-05-20 05:00:00,2023-05-20 05:15:00,1684558800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684563300,2023-05-20 05:15:00,2023-05-20 05:30:00,1684559700,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684564200,2023-05-20 05:30:00,2023-05-20 05:45:00,1684560600,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684565100,2023-05-20 05:45:00,2023-05-20 06:00:00,1684561500,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684566000,2023-05-20 06:00:00,2023-05-20 06:15:00,1684562400,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684566900,2023-05-20 06:15:00,2023-05-20 06:30:00,1684563300,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684567800,2023-05-20 06:30:00,2023-05-20 06:45:00,1684564200,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684568700,2023-05-20 06:45:00,2023-05-20 07:00:00,1684565100,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684569600,2023-05-20 07:00:00,2023-05-20 07:15:00,1684566000,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684570500,2023-05-20 07:15:00,2023-05-20 07:30:00,1684566900,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684571400,2023-05-20 07:30:00,2023-05-20 07:45:00,1684567800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684572300,2023-05-20 07:45:00,2023-05-20 08:00:00,1684568700,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684573200,2023-05-20 08:00:00,2023-05-20 08:15:00,1684569600,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684574100,2023-05-20 08:15:00,2023-05-20 08:30:00,1684570500,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684575000,2023-05-20 08:30:00,2023-05-20 08:45:00,1684571400,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684575900,2023-05-20 08:45:00,2023-05-20 09:00:00,1684572300,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684576800,2023-05-20 09:00:00,2023-05-20 09:15:00,1684573200,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684577700,2023-05-20 09:15:00,2023-05-20 09:30:00,1684574100,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684578600,2023-05-20 09:30:00,2023-05-20 09:45:00,1684575000,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684579500,2023-05-20 09:45:00,2023-05-20 10:00:00,1684575900,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684580400,2023-05-20 10:00:00,2023-05-20 10:15:00,1684576800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684581300,2023-05-20 10:15:00,2023-05-20 10:30:00,1684577700,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684582200,2023-05-20 10:30:00,2023-05-20 10:45:00,1684578600,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684583100,2023-05-20 10:45:00,2023-05-20 11:00:00,1684579500,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684584000,2023-05-20 11:00:00,2023-05-20 11:15:00,1684580400,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684584900,2023-05-20 11:15:00,2023-05-20 11:30:00,1684581300,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684585800,2023-05-20 11:30:00,2023-05-20 11:45:00,1684582200,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684586700,2023-05-20 11:45:00,2023-05-20 12:00:00,1684583100,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684587600,2023-05-20 12:00:00,2023-05-20 12:15:00,1684584000,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684588500,2023-05-20 12:15:00,2023-05-20 12:30:00,1684584900,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684589400,2023-05-20 12:30:00,2023-05-20 12:45:00,1684585800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684590300,2023-05-20 12:45:00,2023-05-20 13:00:00,1684586700,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684591200,2023-05-20 13:00:00,2023-05-20 13:15:00,1684587600,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684592100,2023-05-20 13:15:00,2023-05-20 13:30:00,1684588500,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684593000,2023-05-20 13:30:00,2023-05-20 13:45:00,1684589400,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684593900,2023-05-20 13:45:00,2023-05-20 14:00:00,1684590300,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684594800,2023-05-20 14:00:00,2023-05-20 14:15:00,1684591200,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684595700,2023-05-20 14:15:00,2023-05-20 14:30:00,1684592100,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684596600,2023-05-20 14:30:00,2023-05-20 14:45:00,1684593000,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684597500,2023-05-20 14:45:00,2023-05-20 15:00:00,1684593900,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684598400,2023-05-20 15:00:00,2023-05-20 15:15:00,1684594800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684599300,2023-05-20 15:15:00,2023-05-20 15:30:00,1684595700,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684600200,2023-05-20 15:30:00,2023-05-20 15:45:00,1684596600,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684601100,2023-05-20 15:45:00,2023-05-20 16:00:00,1684597500,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684602000,2023-05-20 16:00:00,2023-05-20 16:15:00,1684598400,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684602900,2023-05-20 16:15:00,2023-05-20 16:30:00,1684599300,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684603800,2023-05-20 16:30:00,2023-05-20 16:45:00,1684600200,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684604700,2023-05-20 16:45:00,2023-05-20 17:00:00,1684601100,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684605600,2023-05-20 17:00:00,2023-05-20 17:15:00,1684602000,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684606500,2023-05-20 17:15:00,2023-05-20 17:30:00,1684602900,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684607400,2023-05-20 17:30:00,2023-05-20 17:45:00,1684603800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684608300,2023-05-20 17:45:00,2023-05-20 18:00:00,1684604700,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684609200,2023-05-20 18:00:00,2023-05-20 18:15:00,1684605600,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684610100,2023-05-20 18:15:00,2023-05-20 18:30:00,1684606500,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684611000,2023-05-20 18:30:00,2023-05-20 18:45:00,1684607400,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684611900,2023-05-20 18:45:00,2023-05-20 19:00:00,1684608300,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684612800,2023-05-20 19:00:00,2023-05-20 19:15:00,1684609200,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684613700,2023-05-20 19:15:00,2023-05-20 19:30:00,1684610100,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684614600,2023-05-20 19:30:00,2023-05-20 19:45:00,1684611000,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684615500,2023-05-20 19:45:00,2023-05-20 20:00:00,1684611900,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1684616400,2023-05-20 20:00:00,2023-05-20 20:15:00,1684612800,8006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
