key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ABUJA_OFFICE_DG1_and_DG2_1686186000,2023-06-08 00:00:00,2023-06-08 00:15:00,1686182400,151.0,226.41,2.07,0.0,8338.78,8299.87,-2.25,0.0,2.55
ABUJA_OFFICE_DG1_and_DG2_1686186900,2023-06-08 00:15:00,2023-06-08 00:30:00,1686183300,149.35,226.41,1.65,0.0,8339.04,8299.9,-2.5100000000002183,-0.029999999998835847,2.602
ABUJA_OFFICE_DG1_and_DG2_1686187800,2023-06-08 00:30:00,2023-06-08 00:45:00,1686184200,149.35,226.37,0.0,0.04,8339.04,8300.15,-2.5100000000002183,-0.27999999999883585,2.522
ABUJA_OFFICE_DG1_and_DG2_1686188700,2023-06-08 00:45:00,2023-06-08 01:00:00,1686185100,149.35,224.89,0.0,1.48,8339.04,8300.4,-2.5100000000002183,-0.5299999999988358,2.611
ABUJA_OFFICE_DG1_and_DG2_1686189600,2023-06-08 01:00:00,2023-06-08 01:15:00,1686186000,148.94,222.86,0.0,2.03,8339.04,8300.65,-2.5100000000002183,-0.7799999999988358,2.674
ABUJA_OFFICE_DG1_and_DG2_1686190500,2023-06-08 01:15:00,2023-06-08 01:30:00,1686186900,148.94,221.83,0.41,0.87,8339.04,8300.9,-2.5100000000002183,-1.0299999999988358,2.654
ABUJA_OFFICE_DG1_and_DG2_1686191400,2023-06-08 01:30:00,2023-06-08 01:45:00,1686187800,148.94,219.95,0.0,2.04,8339.04,8301.16,-2.5100000000002183,-1.2899999999990541,2.612
ABUJA_OFFICE_DG1_and_DG2_1686192300,2023-06-08 01:45:00,2023-06-08 02:00:00,1686188700,148.94,218.88,0.0,0.83,8339.04,8301.41,-2.5100000000002183,-1.5399999999990541,2.583
ABUJA_OFFICE_DG1_and_DG2_1686193200,2023-06-08 02:00:00,2023-06-08 02:15:00,1686189600,148.94,217.2,0.0,1.91,8339.04,8301.66,-2.5100000000002183,-1.7899999999990541,2.657
ABUJA_OFFICE_DG1_and_DG2_1686194100,2023-06-08 02:15:00,2023-06-08 02:30:00,1686190500,148.52,215.57,0.42,1.63,8339.04,8301.91,-2.5100000000002183,-2.039999999999054,2.561
ABUJA_OFFICE_DG1_and_DG2_1686195000,2023-06-08 02:30:00,2023-06-08 02:45:00,1686191400,148.52,214.02,0.0,1.47,8339.04,8302.16,-2.5100000000002183,-2.289999999999054,2.607
ABUJA_OFFICE_DG1_and_DG2_1686195900,2023-06-08 02:45:00,2023-06-08 03:00:00,1686192300,148.52,212.78,0.0,1.32,8339.04,8302.41,-2.5100000000002183,-2.539999999999054,2.672
ABUJA_OFFICE_DG1_and_DG2_1686196800,2023-06-08 03:00:00,2023-06-08 03:15:00,1686193200,148.52,211.63,0.0,1.15,8339.04,8302.66,-2.5100000000002183,-2.789999999999054,2.715
ABUJA_OFFICE_DG1_and_DG2_1686197700,2023-06-08 03:15:00,2023-06-08 03:30:00,1686194100,148.52,210.31,0.0,1.32,8339.04,8302.91,-2.5100000000002183,-3.039999999999054,2.695
