key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691283600,2023-08-06 00:00:00,2023-08-06 00:15:00,1691280000,116.39,165.38,0.36,0.0,19156.11,8454.7,0.0,0.0,0.939
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691284500,2023-08-06 00:15:00,2023-08-06 00:30:00,1691280900,114.94,165.38,1.80,0.0,19156.11,8454.7,0.0,0.0,0.993
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691285400,2023-08-06 00:30:00,2023-08-06 00:45:00,1691281800,113.85,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,0.919
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691286300,2023-08-06 00:45:00,2023-08-06 01:00:00,1691282700,112.76,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,0.924
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691287200,2023-08-06 01:00:00,2023-08-06 01:15:00,1691283600,111.67,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,0.929
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691288100,2023-08-06 01:15:00,2023-08-06 01:30:00,1691284500,110.22,165.38,1.44,0.0,19156.11,8454.7,0.0,0.0,0.922
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691289000,2023-08-06 01:30:00,2023-08-06 01:45:00,1691285400,109.13,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,0.953
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691289900,2023-08-06 01:45:00,2023-08-06 02:00:00,1691286300,108.77,165.38,0.36,0.0,19156.11,8454.7,0.0,0.0,0.974
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691290800,2023-08-06 02:00:00,2023-08-06 02:15:00,1691287200,107.31,165.38,1.46,0.0,19156.11,8454.7,0.0,0.0,1.069
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691291700,2023-08-06 02:15:00,2023-08-06 02:30:00,1691288100,105.86,165.38,1.45,0.0,19156.11,8454.7,0.0,0.0,1.13
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691292600,2023-08-06 02:30:00,2023-08-06 02:45:00,1691289000,104.77,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,1.054
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691293500,2023-08-06 02:45:00,2023-08-06 03:00:00,1691289900,103.32,165.38,1.45,0.0,19156.11,8454.7,0.0,0.0,1.11
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691294400,2023-08-06 03:00:00,2023-08-06 03:15:00,1691290800,102.96,165.38,0.36,0.0,19156.11,8454.7,0.0,0.0,1.242
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691295300,2023-08-06 03:15:00,2023-08-06 03:30:00,1691291700,101.15,165.38,1.80,0.0,19156.11,8454.7,0.0,0.0,1.271
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691296200,2023-08-06 03:30:00,2023-08-06 03:45:00,1691292600,100.06,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,1.293
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691297100,2023-08-06 03:45:00,2023-08-06 04:00:00,1691293500,98.97,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,1.187
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691298000,2023-08-06 04:00:00,2023-08-06 04:15:00,1691294400,97.52,165.38,1.44,0.0,19156.11,8454.7,0.0,0.0,1.21
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691298900,2023-08-06 04:15:00,2023-08-06 04:30:00,1691295300,96.79,165.38,0.73,0.0,19156.11,8454.7,0.0,0.0,1.268
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691299800,2023-08-06 04:30:00,2023-08-06 04:45:00,1691296200,94.98,165.38,1.80,0.0,19156.11,8454.7,0.0,0.0,1.25
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691300700,2023-08-06 04:45:00,2023-08-06 05:00:00,1691297100,94.25,165.38,0.73,0.0,19156.11,8454.7,0.0,0.0,1.175
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691301600,2023-08-06 05:00:00,2023-08-06 05:15:00,1691298000,92.8,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,1.002
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691302500,2023-08-06 05:15:00,2023-08-06 05:30:00,1691298900,91.71,165.38,1.44,0.0,19156.11,8454.7,0.0,0.0,0.987
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691303400,2023-08-06 05:30:00,2023-08-06 05:45:00,1691299800,90.26,165.38,1.44,0.0,19156.11,8454.7,0.0,0.0,0.988
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691304300,2023-08-06 05:45:00,2023-08-06 06:00:00,1691300700,89.53,165.38,0.73,0.0,19156.11,8454.7,0.0,0.0,0.969
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691305200,2023-08-06 06:00:00,2023-08-06 06:15:00,1691301600,88.44,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,0.937
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691306100,2023-08-06 06:15:00,2023-08-06 06:30:00,1691302500,87.35,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,0.917
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691307000,2023-08-06 06:30:00,2023-08-06 06:45:00,1691303400,85.9,165.38,1.45,0.0,19156.11,8454.7,0.0,0.0,0.929
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691307900,2023-08-06 06:45:00,2023-08-06 07:00:00,1691304300,84.81,165.38,0.72,0.0,19156.11,8454.7,0.0,0.0,0.978
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691308800,2023-08-06 07:00:00,2023-08-06 07:15:00,1691305200,83.73,165.38,1.44,0.0,19156.11,8454.7,0.0,0.0,0.98
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691309700,2023-08-06 07:15:00,2023-08-06 07:30:00,1691306100,191.15,165.38,2.54,0.0,19156.11,8454.7,0.0,0.0,1.254
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691310600,2023-08-06 07:30:00,2023-08-06 07:45:00,1691307000,189.33,165.38,1.81,0.0,19156.11,8454.7,0.0,0.0,1.247
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691311500,2023-08-06 07:45:00,2023-08-06 08:00:00,1691307900,187.88,165.38,1.44,0.0,19156.11,8454.7,0.0,0.0,1.225
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691312400,2023-08-06 08:00:00,2023-08-06 08:15:00,1691308800,187.52,165.38,1.82,0.0,19156.11,8454.7,0.0,0.0,1.213
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691313300,2023-08-06 08:15:00,2023-08-06 08:30:00,1691309700,184.98,165.38,2.90,0.0,19156.11,8454.7,0.0,0.0,1.203
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691314200,2023-08-06 08:30:00,2023-08-06 08:45:00,1691310600,184.25,165.38,0.73,0.0,19156.11,8454.7,0.0,0.0,1.252
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691315100,2023-08-06 08:45:00,2023-08-06 09:00:00,1691311500,183.16,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,1.211
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691316000,2023-08-06 09:00:00,2023-08-06 09:15:00,1691312400,181.71,165.38,1.45,0.0,19156.11,8454.7,0.0,0.0,1.218
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691316900,2023-08-06 09:15:00,2023-08-06 09:30:00,1691313300,180.26,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,1.183
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691317800,2023-08-06 09:30:00,2023-08-06 09:45:00,1691314200,179.17,165.38,1.45,0.0,19156.11,8454.7,0.0,0.0,1.242
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691318700,2023-08-06 09:45:00,2023-08-06 10:00:00,1691315100,177.72,165.38,1.45,0.0,19156.11,8454.7,0.0,0.0,1.341
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691319600,2023-08-06 10:00:00,2023-08-06 10:15:00,1691316000,176.99,165.38,0.73,0.0,19156.11,8454.7,0.0,0.0,1.252
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691320500,2023-08-06 10:15:00,2023-08-06 10:30:00,1691316900,175.9,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,1.377
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691321400,2023-08-06 10:30:00,2023-08-06 10:45:00,1691317800,173.73,165.38,1.80,0.0,19156.11,8454.7,0.0,0.0,1.302
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691322300,2023-08-06 10:45:00,2023-08-06 11:00:00,1691318700,173.0,165.38,1.08,0.0,19156.11,8454.7,0.0,0.0,1.453
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1691323200,2023-08-06 11:00:00,2023-08-06 11:15:00,1691319600,171.19,165.38,1.81,0.0,19156.11,8454.7,0.0,0.0,1.373
