key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh
CALABAR_BASE_TANK_1694221200,2023-09-09 00:00:00,2023-09-09 00:15:00,1694217600,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.232
CALABAR_BASE_TANK_1694222100,2023-09-09 00:15:00,2023-09-09 00:30:00,1694218500,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.232
CALABAR_BASE_TANK_1694223000,2023-09-09 00:30:00,2023-09-09 00:45:00,1694219400,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.232
CALABAR_BASE_TANK_1694223900,2023-09-09 00:45:00,2023-09-09 01:00:00,1694220300,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.232
CALABAR_BASE_TANK_1694224800,2023-09-09 01:00:00,2023-09-09 01:15:00,1694221200,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.222
CALABAR_BASE_TANK_1694225700,2023-09-09 01:15:00,2023-09-09 01:30:00,1694222100,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.215
CALABAR_BASE_TANK_1694226600,2023-09-09 01:30:00,2023-09-09 01:45:00,1694223000,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694227500,2023-09-09 01:45:00,2023-09-09 02:00:00,1694223900,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694228400,2023-09-09 02:00:00,2023-09-09 02:15:00,1694224800,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694229300,2023-09-09 02:15:00,2023-09-09 02:30:00,1694225700,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694230200,2023-09-09 02:30:00,2023-09-09 02:45:00,1694226600,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694231100,2023-09-09 02:45:00,2023-09-09 03:00:00,1694227500,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694232000,2023-09-09 03:00:00,2023-09-09 03:15:00,1694228400,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694232900,2023-09-09 03:15:00,2023-09-09 03:30:00,1694229300,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694233800,2023-09-09 03:30:00,2023-09-09 03:45:00,1694230200,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694234700,2023-09-09 03:45:00,2023-09-09 04:00:00,1694231100,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694235600,2023-09-09 04:00:00,2023-09-09 04:15:00,1694232000,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.221
CALABAR_BASE_TANK_1694236500,2023-09-09 04:15:00,2023-09-09 04:30:00,1694232900,46.05,86.1,0.0,0.0,41.31,71.95,0.0,0.0,0.0,0.473
CALABAR_BASE_TANK_1694237400,2023-09-09 04:30:00,2023-09-09 04:45:00,1694233800,46.05,85.26,0.0,0.84,41.31,72.19,0.0,-0.23999999999999488,0.313,0.086
CALABAR_BASE_TANK_1694238300,2023-09-09 04:45:00,2023-09-09 05:00:00,1694234700,46.05,84.51,0.0,0.75,41.31,72.44,0.0,-0.4899999999999949,0.307,0.0
CALABAR_BASE_TANK_1694239200,2023-09-09 05:00:00,2023-09-09 05:15:00,1694235600,46.05,83.95,0.0,0.56,41.31,72.69,0.0,-0.7399999999999949,0.413,0.0
CALABAR_BASE_TANK_1694240100,2023-09-09 05:15:00,2023-09-09 05:30:00,1694236500,46.05,82.92,0.0,1.03,41.31,72.94,0.0,-0.9899999999999949,0.295,0.0
