key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ADIKPO_1695340800_OFFICE-00980AAF,2023-09-22 00:00:00,2023-09-22 00:15:00,1695340800,92.72,87.34,1.1,0.0,11,394.39,-11.00,-394.39,1.039
ADIKPO_1695341700_OFFICE-00980AAF,2023-09-22 00:15:00,2023-09-22 00:30:00,1695341700,92.72,87.00,0.0,0.34,11,394.39,-11.00,-394.39,1.002
ADIKPO_1695342600_OFFICE-00980AAF,2023-09-22 00:30:00,2023-09-22 00:45:00,1695342600,92.72,85.30,0.0,1.70,11,394.39,-11.00,-394.39,0.985
ADIKPO_1695343500_OFFICE-00980AAF,2023-09-22 00:45:00,2023-09-22 01:00:00,1695343500,92.35,85.30,0.37,0.0,11,394.63,-11.00,-394.63,1.194
ADIKPO_1695344400_OFFICE-00980AAF,2023-09-22 01:00:00,2023-09-22 01:15:00,1695344400,91.24,85.30,1.10,0.0,11,394.88,-11.00,-394.88,1.071
ADIKPO_1695345300_OFFICE-00980AAF,2023-09-22 01:15:00,2023-09-22 01:30:00,1695345300,90.14,85.30,1.1,0.0,11,395.13,-11.00,-395.13,1.038
ADIKPO_1695346200_OFFICE-00980AAF,2023-09-22 01:30:00,2023-09-22 01:45:00,1695346200,89.40,85.30,0.74,0.0,11,395.38,-11.00,-395.38,1.125
ADIKPO_1695347100_OFFICE-00980AAF,2023-09-22 01:45:00,2023-09-22 02:00:00,1695347100,89.03,85.30,0.37,0.0,11,395.63,-11.00,-395.63,1.098
ADIKPO_1695348000_OFFICE-00980AAF,2023-09-22 02:00:00,2023-09-22 02:15:00,1695348000,88.30,85.30,0.73,0.0,11,395.88,-11.00,-395.88,1.048
ADIKPO_1695348900_OFFICE-00980AAF,2023-09-22 02:15:00,2023-09-22 02:30:00,1695348900,87.56,85.30,0.74,0.0,11,396.13,-11.00,-396.13,1.082
ADIKPO_1695349800_OFFICE-00980AAF,2023-09-22 02:30:00,2023-09-22 02:45:00,1695349800,86.46,85.30,1.1,0.0,11,396.38,-11.00,-396.38,1.078
ADIKPO_1695350700_OFFICE-00980AAF,2023-09-22 02:45:00,2023-09-22 03:00:00,1695350700,85.35,85.30,1.10,0.0,11,396.63,-11.00,-396.63,1.054
ADIKPO_1695351600_OFFICE-00980AAF,2023-09-22 03:00:00,2023-09-22 03:15:00,1695351600,84.98,85.30,0.37,0.0,11,396.86,-11.00,-396.86,1.025
ADIKPO_1695352500_OFFICE-00980AAF,2023-09-22 03:15:00,2023-09-22 03:30:00,1695352500,84.98,84.61,0.0,0.69,11,396.86,-11.00,-396.86,1.05
ADIKPO_1695353400_OFFICE-00980AAF,2023-09-22 03:30:00,2023-09-22 03:45:00,1695353400,84.98,83.93,0.0,0.68,11,396.86,-11.00,-396.86,1.065
ADIKPO_1695354300_OFFICE-00980AAF,2023-09-22 03:45:00,2023-09-22 04:00:00,1695354300,84.98,82.91,0.0,0.68,11,396.86,-11.00,-396.86,1.078
ADIKPO_1695355200_OFFICE-00980AAF,2023-09-22 04:00:00,2023-09-22 04:15:00,1695355200,84.98,82.23,0.0,1.02,11,396.86,-11.00,-396.86,1.086
ADIKPO_1695356100_OFFICE-00980AAF,2023-09-22 04:15:00,2023-09-22 04:30:00,1695356100,84.98,81.20,0.0,1.03,11,396.86,-11.00,-396.86,1.087
ADIKPO_1695357000_OFFICE-00980AAF,2023-09-22 04:30:00,2023-09-22 04:45:00,1695357000,84.98,80.18,0.0,1.02,11,396.86,-11.00,-396.86,1.105
ADIKPO_1695357900_OFFICE-00980AAF,2023-09-22 04:45:00,2023-09-22 05:00:00,1695357900,84.98,80.18,0.0,0.0,11,396.86,-11.00,-396.86,1.053
ADIKPO_1695358800_OFFICE-00980AAF,2023-09-22 05:00:00,2023-09-22 05:15:00,1695358800,84.98,79.16,0.0,1.02,11,396.86,-11.00,-396.86,1.042
ADIKPO_1695359700_OFFICE-00980AAF,2023-09-22 05:15:00,2023-09-22 05:30:00,1695359700,84.98,78.48,0.0,0.68,11,396.86,-11.00,-396.86,1.02
ADIKPO_1695360600_OFFICE-00980AAF,2023-09-22 05:30:00,2023-09-22 05:45:00,1695360600,84.98,77.80,0.0,0.68,11,396.86,-11.00,-396.86,1.126
ADIKPO_1695361500_OFFICE-00980AAF,2023-09-22 05:45:00,2023-09-22 06:00:00,1695361500,146.12,77.11,0.0,0.69,11,396.86,-11.00,-396.86,1.238
ADIKPO_1695362400_OFFICE-00980AAF,2023-09-22 06:00:00,2023-09-22 06:15:00,1695362400,146.12,77.11,0.0,0.0,11,396.86,-11.00,-396.86,1.633
ADIKPO_1695363300_OFFICE-00980AAF,2023-09-22 06:15:00,2023-09-22 06:30:00,1695363300,146.12,75.75,0.0,1.36,11,396.86,-11.00,-396.86,1.848
ADIKPO_1695364200_OFFICE-00980AAF,2023-09-22 06:30:00,2023-09-22 06:45:00,1695364200,146.12,75.07,0.0,0.68,11,396.86,-11.00,-396.86,2.435
ADIKPO_1695365100_OFFICE-00980AAF,2023-09-22 06:45:00,2023-09-22 07:00:00,1695365100,146.12,73.02,0.0,2.05,11,396.86,-11.00,-396.86,2.305
ADIKPO_1695366000_OFFICE-00980AAF,2023-09-22 07:00:00,2023-09-22 07:15:00,1695366000,146.12,71.32,0.0,1.70,11,396.86,-11.00,-396.86,2.365
ADIKPO_1695366900_OFFICE-00980AAF,2023-09-22 07:15:00,2023-09-22 07:30:00,1695366900,146.12,71.91,0.0,1.11,11,396.86,-11.00,-396.86,2.645
ADIKPO_1695367800_OFFICE-00980AAF,2023-09-22 07:30:00,2023-09-22 07:45:00,1695367800,146.12,69.27,0.0,2.64,11,396.86,-11.00,-396.86,2.85
ADIKPO_1695368700_OFFICE-00980AAF,2023-09-22 07:45:00,2023-09-22 08:00:00,1695368700,146.12,68.93,0.0,0.34,11,396.86,-11.00,-396.86,3.294
ADIKPO_1695369600_OFFICE-00980AAF,2023-09-22 08:00:00,2023-09-22 08:15:00,1695369600,146.12,68.25,0.0,0.68,11,396.86,-11.00,-396.86,3.717
ADIKPO_1695370500_OFFICE-00980AAF,2023-09-22 08:15:00,2023-09-22 08:30:00,1695370500,146.12,66.55,0.0,1.70,11,396.86,-11.00,-396.86,3.557
ADIKPO_1695371400_OFFICE-00980AAF,2023-09-22 08:30:00,2023-09-22 08:45:00,1695371400,146.12,65.86,0.0,0.35,11,396.86,-11.00,-396.86,3.194
ADIKPO_1695372300_OFFICE-00980AAF,2023-09-22 08:45:00,2023-09-22 09:00:00,1695372300,146.12,64.16,0.0,2.04,11,396.86,-11.00,-396.86,3.143
ADIKPO_1695373200_OFFICE-00980AAF,2023-09-22 09:00:00,2023-09-22 09:15:00,1695373200,146.12,63.14,0.0,1.02,11,396.86,-11.00,-396.86,3.292
ADIKPO_1695374100_OFFICE-00980AAF,2023-09-22 09:15:00,2023-09-22 09:30:00,1695374100,143.91,62.11,2.21,1.03,11,397.05,-11.00,-397.05,3.702
ADIKPO_1695375000_OFFICE-00980AAF,2023-09-22 09:30:00,2023-09-22 09:45:00,1695375000,142.80,62.11,1.10,0.0,11,397.30,-11.00,-397.30,4.033
ADIKPO_1695375900_OFFICE-00980AAF,2023-09-22 09:45:00,2023-09-22 10:00:00,1695375900,140.59,62.11,2.21,0.0,11,397.55,-11.00,-397.55,3.715
ADIKPO_1695376800_OFFICE-00980AAF,2023-09-22 10:00:00,2023-09-22 10:15:00,1695376800,139.49,62.11,0.73,0.0,11,397.80,-11.00,-397.80,4.011
ADIKPO_1695377700_OFFICE-00980AAF,2023-09-22 10:15:00,2023-09-22 10:30:00,1695377700,137.65,62.11,2.21,0.0,11,398.05,-11.00,-398.05,4.322
ADIKPO_1695378600_OFFICE-00980AAF,2023-09-22 10:30:00,2023-09-22 10:45:00,1695378600,135.44,62.11,2.21,0.0,11,398.30,-11.00,-398.30,1.783
ADIKPO_1695379500_OFFICE-00980AAF,2023-09-22 10:45:00,2023-09-22 11:00:00,1695379500,133.23,62.11,2.21,0.0,11,398.55,-11.00,-398.55,3.721
ADIKPO_1695380400_OFFICE-00980AAF,2023-09-22 11:00:00,2023-09-22 11:15:00,1695380400,132.12,62.11,1.10,0.0,11,398.80,-11.00,-398.80,3.96
ADIKPO_1695381300_OFFICE-00980AAF,2023-09-22 11:15:00,2023-09-22 11:30:00,1695381300,130.65,62.11,1.47,0.0,11,399.05,-11.00,-399.05,3.825
ADIKPO_1695382200_OFFICE-00980AAF,2023-09-22 11:30:00,2023-09-22 11:45:00,1695382200,129.18,62.11,1.47,0.0,11,399.30,-11.00,-399.30,3.757
ADIKPO_1695383100_OFFICE-00980AAF,2023-09-22 11:45:00,2023-09-22 12:00:00,1695383100,126.97,62.11,1.83,0.0,11,399.55,-11.00,-399.55,3.805
ADIKPO_1695384000_OFFICE-00980AAF,2023-09-22 12:00:00,2023-09-22 12:15:00,1695384000,125.49,62.11,1.85,0.0,11,399.80,-11.00,-399.80,3.902
ADIKPO_1695384900_OFFICE-00980AAF,2023-09-22 12:15:00,2023-09-22 12:30:00,1695384900,123.28,62.11,1.47,0.0,11,400.05,-11.00,-400.05,3.672
ADIKPO_1695385800_OFFICE-00980AAF,2023-09-22 12:30:00,2023-09-22 12:45:00,1695385800,122.18,62.11,1.83,0.0,11,400.30,-11.00,-400.30,0.008
ADIKPO_1695386700_OFFICE-00980AAF,2023-09-22 12:45:00,2023-09-22 13:00:00,1695386700,120.71,62.11,1.47,0.0,11,400.55,-11.00,-400.55,0.449
ADIKPO_1695387600_OFFICE-00980AAF,2023-09-22 13:00:00,2023-09-22 13:15:00,1695387600,119.23,62.11,1.48,0.0,11,400.80,-11.00,-400.80,3.224
ADIKPO_1695388500_OFFICE-00980AAF,2023-09-22 13:15:00,2023-09-22 13:30:00,1695388500,117.02,62.11,2.21,0.0,11,401.05,-11.00,-401.05,3.294
ADIKPO_1695389400_OFFICE-00980AAF,2023-09-22 13:30:00,2023-09-22 13:45:00,1695389400,115.92,62.11,1.1,0.0,11,401.30,-11.00,-401.30,2.937
ADIKPO_1695390300_OFFICE-00980AAF,2023-09-22 13:45:00,2023-09-22 14:00:00,1695390300,114.45,62.11,1.46,0.0,11,401.55,-11.00,-401.55,2.772
ADIKPO_1695391200_OFFICE-00980AAF,2023-09-22 14:00:00,2023-09-22 14:15:00,1695391200,113.34,62.11,1.10,0.0,11,401.80,-11.00,-401.80,2.577
ADIKPO_1695392100_OFFICE-00980AAF,2023-09-22 14:15:00,2023-09-22 14:30:00,1695392100,111.87,62.11,1.47,0.0,11,402.05,-11.00,-402.05,2.365
ADIKPO_1695393000_OFFICE-00980AAF,2023-09-22 14:30:00,2023-09-22 14:45:00,1695393000,110.03,62.11,1.46,0.0,11,402.30,-11.00,-402.30,2.293
ADIKPO_1695393900_OFFICE-00980AAF,2023-09-22 14:45:00,2023-09-22 15:00:00,1695393900,109.66,62.11,0.74,0.0,11,402.55,-11.00,-402.55,2.248
ADIKPO_1695394800_OFFICE-00980AAF,2023-09-22 15:00:00,2023-09-22 15:15:00,1695394800,108.19,62.11,1.46,0.0,11,402.80,-11.00,-402.80,2.297
ADIKPO_1695395700_OFFICE-00980AAF,2023-09-22 15:15:00,2023-09-22 15:30:00,1695395700,107.82,61.77,0.37,0.34,11,402.84,-11.00,-402.84,2.057
ADIKPO_1695396600_OFFICE-00980AAF,2023-09-22 15:30:00,2023-09-22 15:45:00,1695396600,107.82,60.75,0.0,1.02,11,402.84,-11.00,-402.84,2.67
