key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
TARABA_DG1_And_DG2_1695430800,2023-09-23 00:00:00,2023-09-23 00:15:00,1695427200,139.6,230.47,0.36,0.0,7002.09,6812.33,0.0,-2.25,0.0
TARABA_DG1_And_DG2_1695431700,2023-09-23 00:15:00,2023-09-23 00:30:00,1695428100,138.88,230.47,0.72,0.0,7002.09,6812.58,0.0,-2.5,0.0
TARABA_DG1_And_DG2_1695432600,2023-09-23 00:30:00,2023-09-23 00:45:00,1695429000,137.79,230.47,1.08,0.0,7002.09,6812.83,0.0,-2.75,0.0
TARABA_DG1_And_DG2_1695433500,2023-09-23 00:45:00,2023-09-23 01:00:00,1695429900,136.34,230.47,1.08,0.0,7002.09,6813.08,0.0,-3.0,0.0
TARABA_DG1_And_DG2_1695434400,2023-09-23 01:00:00,2023-09-23 01:15:00,1695430800,135.61,230.47,1.08,0.0,7002.09,6813.33,0.0,-3.25,0.0
TARABA_DG1_And_DG2_1695435300,2023-09-23 01:15:00,2023-09-23 01:30:00,1695431700,135.25,230.47,0.36,0.0,7002.09,6813.58,0.0,-3.5,0.0
TARABA_DG1_And_DG2_1695436200,2023-09-23 01:30:00,2023-09-23 01:45:00,1695432600,133.8,230.47,1.45,0.0,7002.09,6813.83,0.0,-3.75,0.0
TARABA_DG1_And_DG2_1695437100,2023-09-23 01:45:00,2023-09-23 02:00:00,1695433500,133.44,230.47,0.36,0.0,7002.09,6814.08,0.0,-4.0,0.0
TARABA_DG1_And_DG2_1695438000,2023-09-23 02:00:00,2023-09-23 02:15:00,1695434400,131.99,230.47,1.44,0.0,7002.09,6814.33,0.0,-4.25,0.0
TARABA_DG1_And_DG2_1695438900,2023-09-23 02:15:00,2023-09-23 02:30:00,1695435300,131.26,230.47,0.0,0.0,7002.09,6814.58,0.0,-4.5,0.0
TARABA_DG1_And_DG2_1695439800,2023-09-23 02:30:00,2023-09-23 02:45:00,1695436200,130.9,230.47,1.08,0.0,7002.09,6814.83,0.0,-4.75,0.0
TARABA_DG1_And_DG2_1695440700,2023-09-23 02:45:00,2023-09-23 03:00:00,1695437100,130.18,230.47,0.72,0.0,7002.09,6815.08,0.0,-5.0,0.0
TARABA_DG1_And_DG2_1695441600,2023-09-23 03:00:00,2023-09-23 03:15:00,1695438000,128.72,230.47,1.08,0.0,7002.09,6815.33,0.0,-5.25,0.0
TARABA_DG1_And_DG2_1695442500,2023-09-23 03:15:00,2023-09-23 03:30:00,1695438900,128.36,230.47,0.73,0.0,7002.09,6815.58,0.0,-5.5,0.0
TARABA_DG1_And_DG2_1695443400,2023-09-23 03:30:00,2023-09-23 03:45:00,1695439800,127.28,230.47,1.08,0.0,7002.09,6815.83,0.0,-5.75,0.0
TARABA_DG1_And_DG2_1695444300,2023-09-23 03:45:00,2023-09-23 04:00:00,1695440700,126.19,230.47,0.73,0.0,7002.09,6816.08,0.0,-6.0,0.0
TARABA_DG1_And_DG2_1695445200,2023-09-23 04:00:00,2023-09-23 04:15:00,1695441600,125.1,230.47,1.45,0.0,7002.09,6816.33,0.0,-6.25,0.0
TARABA_DG1_And_DG2_1695446100,2023-09-23 04:15:00,2023-09-23 04:30:00,1695442500,123.65,230.47,1.45,0.0,7002.09,6816.58,0.0,-6.5,0.0
TARABA_DG1_And_DG2_1695447000,2023-09-23 04:30:00,2023-09-23 04:45:00,1695443400,123.65,230.47,0.0,0.0,7002.09,6816.83,0.0,-6.75,0.0
TARABA_DG1_And_DG2_1695447900,2023-09-23 04:45:00,2023-09-23 05:00:00,1695444300,122.56,230.47,0.73,0.0,7002.09,6817.08,0.0,-7.0,0.0
TARABA_DG1_And_DG2_1695448800,2023-09-23 05:00:00,2023-09-23 05:15:00,1695445200,122.2,230.47,0.72,0.0,7002.09,6817.2,0.0,-7.119999999999891,0.0
TARABA_DG1_And_DG2_1695449700,2023-09-23 05:15:00,2023-09-23 05:30:00,1695446100,122.2,230.47,0.0,0.0,7002.09,6817.2,0.0,-7.119999999999891,0.0
TARABA_DG1_And_DG2_1695450600,2023-09-23 05:30:00,2023-09-23 05:45:00,1695447000,122.2,230.47,0.0,0.0,7002.09,6817.2,0.0,-7.119999999999891,0.0
TARABA_DG1_And_DG2_1695451500,2023-09-23 05:45:00,2023-09-23 06:00:00,1695447900,122.2,230.47,0.0,0.0,7002.09,6817.2,0.0,-7.119999999999891,0.0
TARABA_DG1_And_DG2_1695452400,2023-09-23 06:00:00,2023-09-23 06:15:00,1695448800,122.2,230.47,0.0,0.0,7002.09,6817.2,0.0,-7.119999999999891,0.0
TARABA_DG1_And_DG2_1695453300,2023-09-23 06:15:00,2023-09-23 06:30:00,1695449700,122.2,230.47,0.0,0.0,7002.09,6817.2,0.0,-7.119999999999891,0.0
TARABA_DG1_And_DG2_1695454200,2023-09-23 06:30:00,2023-09-23 06:45:00,1695450600,122.2,230.47,0.0,0.0,7002.09,6817.2,0.0,-7.119999999999891,0.0
TARABA_DG1_And_DG2_1695455100,2023-09-23 06:45:00,2023-09-23 07:00:00,1695451500,122.2,230.47,0.0,0.0,7002.09,6817.2,0.0,-7.119999999999891,0.0
TARABA_DG1_And_DG2_1695456000,2023-09-23 07:00:00,2023-09-23 07:15:00,1695452400,122.2,230.47,0.0,0.0,7002.09,6817.35,0.0,-7.270000000000437,0.0
TARABA_DG1_And_DG2_1695456900,2023-09-23 07:15:00,2023-09-23 07:30:00,1695453300,121.48,230.47,0.36,0.0,7002.09,6817.6,0.0,-7.520000000000437,0.0
TARABA_DG1_And_DG2_1695457800,2023-09-23 07:30:00,2023-09-23 07:45:00,1695454200,120.02,230.47,1.81,0.0,7002.09,6817.85,0.0,-7.770000000000437,0.0
TARABA_DG1_And_DG2_1695458700,2023-09-23 07:45:00,2023-09-23 08:00:00,1695455100,118.94,230.47,1.08,0.0,7002.09,6818.1,0.0,-8.020000000000437,0.0
TARABA_DG1_And_DG2_1695459600,2023-09-23 08:00:00,2023-09-23 08:15:00,1695456000,117.85,230.47,0.73,0.0,7002.09,6818.35,0.0,-8.270000000000437,0.0
TARABA_DG1_And_DG2_1695460500,2023-09-23 08:15:00,2023-09-23 08:30:00,1695456900,117.12,230.47,1.08,0.0,7002.09,6818.6,0.0,-8.520000000000437,0.0
TARABA_DG1_And_DG2_1695461400,2023-09-23 08:30:00,2023-09-23 08:45:00,1695457800,116.4,230.47,0.72,0.0,7002.09,6818.85,0.0,-8.770000000000437,0.0
TARABA_DG1_And_DG2_1695462300,2023-09-23 08:45:00,2023-09-23 09:00:00,1695458700,114.95,230.47,1.44,0.0,7002.09,6819.1,0.0,-9.020000000000437,0.0
TARABA_DG1_And_DG2_1695463200,2023-09-23 09:00:00,2023-09-23 09:15:00,1695459600,113.5,230.47,1.44,0.0,7002.09,6819.35,0.0,-9.270000000000437,0.0
TARABA_DG1_And_DG2_1695464100,2023-09-23 09:15:00,2023-09-23 09:30:00,1695460500,112.41,230.47,1.08,0.0,7002.09,6819.6,0.0,-9.520000000000437,0.0
TARABA_DG1_And_DG2_1695465000,2023-09-23 09:30:00,2023-09-23 09:45:00,1695461400,111.69,230.47,0.72,0.0,7002.09,6819.85,0.0,-9.770000000000437,0.0
TARABA_DG1_And_DG2_1695465900,2023-09-23 09:45:00,2023-09-23 10:00:00,1695462300,109.51,230.47,2.17,0.0,7002.09,6820.06,0.0,-9.980000000000473,0.0
TARABA_DG1_And_DG2_1695466800,2023-09-23 10:00:00,2023-09-23 10:15:00,1695463200,109.15,230.47,0.0,0.0,7002.09,6820.31,0.0,-10.230000000000473,0.0
TARABA_DG1_And_DG2_1695467700,2023-09-23 10:15:00,2023-09-23 10:30:00,1695464100,108.79,230.47,0.72,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695468600,2023-09-23 10:30:00,2023-09-23 10:45:00,1695465000,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695469500,2023-09-23 10:45:00,2023-09-23 11:00:00,1695465900,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695470400,2023-09-23 11:00:00,2023-09-23 11:15:00,1695466800,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695471300,2023-09-23 11:15:00,2023-09-23 11:30:00,1695467700,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695472200,2023-09-23 11:30:00,2023-09-23 11:45:00,1695468600,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695473100,2023-09-23 11:45:00,2023-09-23 12:00:00,1695469500,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695474000,2023-09-23 12:00:00,2023-09-23 12:15:00,1695470400,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695474900,2023-09-23 12:15:00,2023-09-23 12:30:00,1695471300,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695475800,2023-09-23 12:30:00,2023-09-23 12:45:00,1695472200,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695476700,2023-09-23 12:45:00,2023-09-23 13:00:00,1695473100,108.79,230.47,0.0,0.0,7002.09,6820.32,0.0,-10.239999999999782,0.0
TARABA_DG1_And_DG2_1695477600,2023-09-23 13:00:00,2023-09-23 13:15:00,1695474000,108.79,230.47,0.0,0.0,7002.09,6820.34,0.0,-10.260000000000218,0.0
TARABA_DG1_And_DG2_1695478500,2023-09-23 13:15:00,2023-09-23 13:30:00,1695474900,108.42,230.47,0.0,0.0,7002.09,6820.59,0.0,-10.510000000000218,0.0
TARABA_DG1_And_DG2_1695479400,2023-09-23 13:30:00,2023-09-23 13:45:00,1695475800,107.7,230.47,1.08,0.0,7002.09,6820.84,0.0,-10.760000000000218,0.0
TARABA_DG1_And_DG2_1695480300,2023-09-23 13:45:00,2023-09-23 14:00:00,1695476700,106.61,230.47,0.72,0.0,7002.09,6821.09,0.0,-11.010000000000218,0.0
TARABA_DG1_And_DG2_1695481200,2023-09-23 14:00:00,2023-09-23 14:15:00,1695477600,105.52,230.47,1.46,0.0,7002.09,6821.34,0.0,-11.260000000000218,0.0
TARABA_DG1_And_DG2_1695482100,2023-09-23 14:15:00,2023-09-23 14:30:00,1695478500,104.8,230.47,0.72,0.0,7002.09,6821.59,0.0,-11.510000000000218,0.0
TARABA_DG1_And_DG2_1695483000,2023-09-23 14:30:00,2023-09-23 14:45:00,1695479400,103.35,230.47,1.44,0.0,7002.09,6821.84,0.0,-11.760000000000218,0.0
TARABA_DG1_And_DG2_1695483900,2023-09-23 14:45:00,2023-09-23 15:00:00,1695480300,103.35,230.47,0.0,0.0,7002.09,6822.09,0.0,-12.010000000000218,0.0
TARABA_DG1_And_DG2_1695484800,2023-09-23 15:00:00,2023-09-23 15:15:00,1695481200,102.26,230.47,0.73,0.0,7002.09,6822.34,0.0,-12.260000000000218,0.0
TARABA_DG1_And_DG2_1695485700,2023-09-23 15:15:00,2023-09-23 15:30:00,1695482100,100.81,230.47,1.81,0.0,7002.09,6822.59,0.0,-12.510000000000218,0.0
TARABA_DG1_And_DG2_1695486600,2023-09-23 15:30:00,2023-09-23 15:45:00,1695483000,100.45,230.47,0.36,0.0,7002.09,6822.84,0.0,-12.760000000000218,0.0
TARABA_DG1_And_DG2_1695487500,2023-09-23 15:45:00,2023-09-23 16:00:00,1695483900,99.72,230.47,0.73,0.0,7002.09,6823.09,0.0,-13.010000000000218,0.0
TARABA_DG1_And_DG2_1695488400,2023-09-23 16:00:00,2023-09-23 16:15:00,1695484800,97.91,230.47,1.81,0.0,7002.09,6823.34,0.0,-13.260000000000218,0.0
TARABA_DG1_And_DG2_1695489300,2023-09-23 16:15:00,2023-09-23 16:30:00,1695485700,97.19,230.47,0.72,0.0,7002.09,6823.59,0.0,-13.510000000000218,0.0
TARABA_DG1_And_DG2_1695490200,2023-09-23 16:30:00,2023-09-23 16:45:00,1695486600,96.46,230.47,0.73,0.0,7002.09,6823.84,0.0,-13.760000000000218,0.0
TARABA_DG1_And_DG2_1695491100,2023-09-23 16:45:00,2023-09-23 17:00:00,1695487500,95.74,230.47,0.72,0.0,7002.09,6824.09,0.0,-14.010000000000218,0.0
TARABA_DG1_And_DG2_1695492000,2023-09-23 17:00:00,2023-09-23 17:15:00,1695488400,95.01,230.47,0.73,0.0,7002.09,6824.34,0.0,-14.260000000000218,0.0
