key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
OGOJA_GUEST_HOUSE_1695603600,2023-09-25 00:00:00,2023-09-25 00:15:00,1695600000,118.23,179.67,1.06,0.0,20535.93,8975.53,-2.25,0.0,2.702
OGOJA_GUEST_HOUSE_1695604500,2023-09-25 00:15:00,2023-09-25 00:30:00,1695600900,115.73,179.67,2.49,0.0,20536.18,8975.53,-2.5,0.0,2.255
OGOJA_GUEST_HOUSE_1695605400,2023-09-25 00:30:00,2023-09-25 00:45:00,1695601800,115.01,179.67,0.71,0.0,20536.43,8975.53,-2.75,0.0,2.241
OGOJA_GUEST_HOUSE_1695606300,2023-09-25 00:45:00,2023-09-25 01:00:00,1695602700,113.59,179.67,1.77,0.0,20536.68,8975.53,-3.0,0.0,2.456
OGOJA_GUEST_HOUSE_1695607200,2023-09-25 01:00:00,2023-09-25 01:15:00,1695603600,112.52,179.67,1.06,0.0,20536.93,8975.53,-3.25,0.0,2.339
OGOJA_GUEST_HOUSE_1695608100,2023-09-25 01:15:00,2023-09-25 01:30:00,1695604500,111.09,179.67,1.42,0.0,20537.18,8975.53,-3.5,0.0,2.365
OGOJA_GUEST_HOUSE_1695609000,2023-09-25 01:30:00,2023-09-25 01:45:00,1695605400,109.3,179.67,1.78,0.0,20537.43,8975.53,-3.75,0.0,2.341
OGOJA_GUEST_HOUSE_1695609900,2023-09-25 01:45:00,2023-09-25 02:00:00,1695606300,108.23,179.67,0.35,0.0,20537.68,8975.53,-4.0,0.0,2.222
OGOJA_GUEST_HOUSE_1695610800,2023-09-25 02:00:00,2023-09-25 02:15:00,1695607200,106.81,179.67,2.13,0.0,20537.93,8975.53,-4.25,0.0,1.942
OGOJA_GUEST_HOUSE_1695611700,2023-09-25 02:15:00,2023-09-25 02:30:00,1695608100,105.38,179.67,1.42,0.0,20538.18,8975.53,-4.5,0.0,1.949
OGOJA_GUEST_HOUSE_1695612600,2023-09-25 02:30:00,2023-09-25 02:45:00,1695609000,104.67,179.67,0.71,0.0,20538.43,8975.53,-4.75,0.0,2.08
OGOJA_GUEST_HOUSE_1695613500,2023-09-25 02:45:00,2023-09-25 03:00:00,1695609900,102.52,179.67,1.79,0.0,20538.68,8975.53,-5.0,0.0,2.2
OGOJA_GUEST_HOUSE_1695614400,2023-09-25 03:00:00,2023-09-25 03:15:00,1695610800,101.45,179.67,1.42,0.0,20538.93,8975.53,-5.25,0.0,1.839
OGOJA_GUEST_HOUSE_1695615300,2023-09-25 03:15:00,2023-09-25 03:30:00,1695611700,100.03,179.67,1.42,0.0,20539.18,8975.53,-5.5,0.0,2.055
OGOJA_GUEST_HOUSE_1695616200,2023-09-25 03:30:00,2023-09-25 03:45:00,1695612600,98.6,179.67,1.43,0.0,20539.43,8975.53,-5.75,0.0,2.07
OGOJA_GUEST_HOUSE_1695617100,2023-09-25 03:45:00,2023-09-25 04:00:00,1695613500,96.81,179.67,1.42,0.0,20539.68,8975.53,-6.0,0.0,2.017
OGOJA_GUEST_HOUSE_1695618000,2023-09-25 04:00:00,2023-09-25 04:15:00,1695614400,95.74,179.67,1.42,0.0,20539.93,8975.53,-6.25,0.0,2.503
OGOJA_GUEST_HOUSE_1695618900,2023-09-25 04:15:00,2023-09-25 04:30:00,1695615300,94.32,179.67,1.06,0.0,20540.18,8975.53,-6.5,0.0,2.73
OGOJA_GUEST_HOUSE_1695619800,2023-09-25 04:30:00,2023-09-25 04:45:00,1695616200,93.25,179.67,1.42,0.0,20540.43,8975.53,-6.75,0.0,2.391
OGOJA_GUEST_HOUSE_1695620700,2023-09-25 04:45:00,2023-09-25 05:00:00,1695617100,91.46,179.67,1.78,0.0,20540.68,8975.53,-7.0,0.0,2.054
OGOJA_GUEST_HOUSE_1695621600,2023-09-25 05:00:00,2023-09-25 05:15:00,1695618000,91.1,179.67,0.36,0.0,20540.93,8975.53,-7.25,0.0,1.796
OGOJA_GUEST_HOUSE_1695622500,2023-09-25 05:15:00,2023-09-25 05:30:00,1695618900,89.32,179.67,1.77,0.0,20541.18,8975.53,-7.5,0.0,2.376
OGOJA_GUEST_HOUSE_1695623400,2023-09-25 05:30:00,2023-09-25 05:45:00,1695619800,105.74,179.67,1.06,0.0,20541.43,8975.53,-7.75,0.0,2.693
