key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh
CALABAR_BASE_TANK_1695945600_GEN-00980B76_GRID-00980A9C,2023-09-29 00:00:00,2023-09-29 00:15:00,1695945600,47.77,32.85,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.003,0.162
CALABAR_BASE_TANK_1695946500_GEN-00980B76_GRID-00980A9C,2023-09-29 00:15:00,2023-09-29 00:30:00,1695946500,47.77,32.85,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.002,0.18
CALABAR_BASE_TANK_1695947400_GEN-00980B76_GRID-00980A9C,2023-09-29 00:30:00,2023-09-29 00:45:00,1695947400,47.77,32.75,0.0,0.1,14524.92,13468.43,-14524.92,-13468.43,0.002,0.192
CALABAR_BASE_TANK_1695948300_GEN-00980B76_GRID-00980A9C,2023-09-29 00:45:00,2023-09-29 01:00:00,1695948300,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.004,0.203
CALABAR_BASE_TANK_1695949200_GEN-00980B76_GRID-00980A9C,2023-09-29 01:00:00,2023-09-29 01:15:00,1695949200,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.005,0.174
CALABAR_BASE_TANK_1695950100_GEN-00980B76_GRID-00980A9C,2023-09-29 01:15:00,2023-09-29 01:30:00,1695950100,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.003,0.206
CALABAR_BASE_TANK_1695951000_GEN-00980B76_GRID-00980A9C,2023-09-29 01:30:00,2023-09-29 01:45:00,1695951000,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.005,0.206
CALABAR_BASE_TANK_1695951900_GEN-00980B76_GRID-00980A9C,2023-09-29 01:45:00,2023-09-29 02:00:00,1695951900,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.002,0.206
CALABAR_BASE_TANK_1695952800_GEN-00980B76_GRID-00980A9C,2023-09-29 02:00:00,2023-09-29 02:15:00,1695952800,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.002,0.194
CALABAR_BASE_TANK_1695953700_GEN-00980B76_GRID-00980A9C,2023-09-29 02:15:00,2023-09-29 02:30:00,1695953700,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.002,0.145
CALABAR_BASE_TANK_1695954600_GEN-00980B76_GRID-00980A9C,2023-09-29 02:30:00,2023-09-29 02:45:00,1695954600,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.002,0.18
CALABAR_BASE_TANK_1695955500_GEN-00980B76_GRID-00980A9C,2023-09-29 02:45:00,2023-09-29 03:00:00,1695955500,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.002,0.162
CALABAR_BASE_TANK_1695956400_GEN-00980B76_GRID-00980A9C,2023-09-29 03:00:00,2023-09-29 03:15:00,1695956400,47.77,32.75,0.0,0.0,14524.92,13468.43,-14524.92,-13468.43,0.002,0.153
