key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ADIKPO_1696467600,2023-10-05 00:00:00,2023-10-05 00:15:00,1696464000,93.45,76.09,0.74,0.0,11546.92,10345.41,-2.2299999999995634,-0.049999999999272404,0.0
ADIKPO_1696468500,2023-10-05 00:15:00,2023-10-05 00:30:00,1696464900,93.45,76.77,0.0,1.03,11546.92,10345.66,-2.2299999999995634,-0.2999999999992724,0.0
ADIKPO_1696469400,2023-10-05 00:30:00,2023-10-05 00:45:00,1696465800,93.45,75.75,0.0,1.36,11546.92,10345.91,-2.2299999999995634,-0.5499999999992724,0.0
ADIKPO_1696470300,2023-10-05 00:45:00,2023-10-05 01:00:00,1696466700,92.72,75.75,0.73,0.0,11547.16,10345.95,-2.469999999999345,-0.5900000000001455,0.0
ADIKPO_1696471200,2023-10-05 01:00:00,2023-10-05 01:15:00,1696467600,92.35,75.75,0.37,0.0,11547.41,10345.95,-2.719999999999345,-0.5900000000001455,0.0
ADIKPO_1696472100,2023-10-05 01:15:00,2023-10-05 01:30:00,1696468500,90.51,75.75,1.83,0.0,11547.65,10345.95,-2.959999999999127,-0.5900000000001455,0.0
ADIKPO_1696473000,2023-10-05 01:30:00,2023-10-05 01:45:00,1696469400,90.51,75.75,0.0,0.0,11547.91,10345.95,-3.219999999999345,-0.5900000000001455,0.0
ADIKPO_1696473900,2023-10-05 01:45:00,2023-10-05 02:00:00,1696470300,89.4,75.75,0.74,0.0,11548.16,10345.95,-3.469999999999345,-0.5900000000001455,0.0
ADIKPO_1696474800,2023-10-05 02:00:00,2023-10-05 02:15:00,1696471200,89.03,75.75,0.37,0.0,11548.41,10345.95,-3.719999999999345,-0.5900000000001455,0.0
ADIKPO_1696475700,2023-10-05 02:15:00,2023-10-05 02:30:00,1696472100,87.93,75.75,1.47,0.0,11548.66,10345.95,-3.969999999999345,-0.5900000000001455,0.0
ADIKPO_1696476600,2023-10-05 02:30:00,2023-10-05 02:45:00,1696473000,87.19,75.75,1.10,0.0,11548.9,10345.95,-4.209999999999127,-0.5900000000001455,0.0
