key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ABUJA_OFFICE_DG1_and_DG2_1697414400_OFFICE-00980785,2023-10-16 00:00:00,2023-10-16 00:15:00,1697414400,88.62,175.65,1.24,0.0,8,691.21,0,-74.95,2.396
ABUJA_OFFICE_DG1_and_DG2_1697415300_OFFICE-00980785,2023-10-16 00:15:00,2023-10-16 00:30:00,1697415300,88.62,175.65,0.0,0.0,8,691.21,0,-74.95,2.462
ABUJA_OFFICE_DG1_and_DG2_1697416200_OFFICE-00980785,2023-10-16 00:30:00,2023-10-16 00:45:00,1697416200,88.62,175.65,0.0,0.0,8,691.21,0,-74.95,2.399
ABUJA_OFFICE_DG1_and_DG2_1697417100_OFFICE-00980785,2023-10-16 00:45:00,2023-10-16 01:00:00,1697417100,88.62,174.61,0.0,0.76,8,691.21,0,-74.95,2.456
ABUJA_OFFICE_DG1_and_DG2_1697418000_OFFICE-00980785,2023-10-16 01:00:00,2023-10-16 01:15:00,1697418000,88.62,173.34,0.0,1.47,8,691.21,0,-74.95,2.508
ABUJA_OFFICE_DG1_and_DG2_1697418900_OFFICE-00980785,2023-10-16 01:15:00,2023-10-16 01:30:00,1697418900,88.62,172.18,0.0,1.24,8,691.21,0,-74.95,2.527
ABUJA_OFFICE_DG1_and_DG2_1697419800_OFFICE-00980785,2023-10-16 01:30:00,2023-10-16 01:45:00,1697419800,88.62,170.75,0.0,1.43,8,691.21,0,-74.95,2.503
ABUJA_OFFICE_DG1_and_DG2_1697420700_OFFICE-00980785,2023-10-16 01:45:00,2023-10-16 02:00:00,1697420700,88.62,169.27,0.0,1.16,8,691.21,0,-74.95,2.399
ABUJA_OFFICE_DG1_and_DG2_1697421600_OFFICE-00980785,2023-10-16 02:00:00,2023-10-16 02:15:00,1697421600,88.62,168.12,0.0,1.47,8,691.21,0,-74.95,2.415
ABUJA_OFFICE_DG1_and_DG2_1697422500_OFFICE-00980785,2023-10-16 02:15:00,2023-10-16 02:30:00,1697422500,88.62,166.72,0.0,1.40,8,691.21,0,-74.95,2.431
ABUJA_OFFICE_DG1_and_DG2_1697423400_OFFICE-00980785,2023-10-16 02:30:00,2023-10-16 02:45:00,1697423400,88.62,165.13,0.0,1.58,8,691.21,0,-74.95,2.395
ABUJA_OFFICE_DG1_and_DG2_1697424300_OFFICE-00980785,2023-10-16 02:45:00,2023-10-16 03:00:00,1697424300,88.62,163.77,0.0,1.35,8,691.21,0,-74.95,2.425
ABUJA_OFFICE_DG1_and_DG2_1697425200_OFFICE-00980785,2023-10-16 03:00:00,2023-10-16 03:15:00,1697425200,88.62,162.46,0.0,1.19,8,691.21,0,-74.95,2.461
ABUJA_OFFICE_DG1_and_DG2_1697426100_OFFICE-00980785,2023-10-16 03:15:00,2023-10-16 03:30:00,1697426100,88.62,161.22,0.0,1.35,8,691.21,0,-74.95,2.514
ABUJA_OFFICE_DG1_and_DG2_1697427000_OFFICE-00980785,2023-10-16 03:30:00,2023-10-16 03:45:00,1697427000,88.62,159.39,0.0,1.79,8,691.21,0,-74.95,2.409
ABUJA_OFFICE_DG1_and_DG2_1697427900_OFFICE-00980785,2023-10-16 03:45:00,2023-10-16 04:00:00,1697427900,88.62,158.16,0.0,1.04,8,691.21,0,-74.95,2.447
ABUJA_OFFICE_DG1_and_DG2_1697428800_OFFICE-00980785,2023-10-16 04:00:00,2023-10-16 04:15:00,1697428800,88.62,156.64,0.0,1.63,8,691.21,0,-74.95,2.645
ABUJA_OFFICE_DG1_and_DG2_1697429700_OFFICE-00980785,2023-10-16 04:15:00,2023-10-16 04:30:00,1697429700,88.62,155.13,0.0,1.47,8,691.21,0,-74.95,3.153
ABUJA_OFFICE_DG1_and_DG2_1697430600_OFFICE-00980785,2023-10-16 04:30:00,2023-10-16 04:45:00,1697430600,88.62,153.53,0.0,1.52,8,691.21,0,-74.95,2.487
ABUJA_OFFICE_DG1_and_DG2_1697431500_OFFICE-00980785,2023-10-16 04:45:00,2023-10-16 05:00:00,1697431500,88.62,152.26,0.0,1.50,8,691.21,0,-74.95,2.663
ABUJA_OFFICE_DG1_and_DG2_1697432400_OFFICE-00980785,2023-10-16 05:00:00,2023-10-16 05:15:00,1697432400,88.62,150.58,0.0,1.68,8,691.21,0,-74.95,2.582
ABUJA_OFFICE_DG1_and_DG2_1697433300_OFFICE-00980785,2023-10-16 05:15:00,2023-10-16 05:30:00,1697433300,88.62,149.23,0.0,1.35,8,691.21,0,-74.95,2.768
ABUJA_OFFICE_DG1_and_DG2_1697434200_OFFICE-00980785,2023-10-16 05:30:00,2023-10-16 05:45:00,1697434200,88.62,147.88,0.0,1.16,8,691.21,0,-74.95,3.644
ABUJA_OFFICE_DG1_and_DG2_1697435100_OFFICE-00980785,2023-10-16 05:45:00,2023-10-16 06:00:00,1697435100,88.62,145.88,0.0,2.19,8,691.21,0,-74.95,4.183
ABUJA_OFFICE_DG1_and_DG2_1697436000_OFFICE-00980785,2023-10-16 06:00:00,2023-10-16 06:15:00,1697436000,88.62,144.01,0.0,1.43,8,691.24,0,-74.98,4.861
