key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697760000_OFFICE-00980A9E,2023-10-20 00:00:00,2023-10-20 00:15:00,1697760000,159.57,16.94,0.0,0.42,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697760900_OFFICE-00980A9E,2023-10-20 00:15:00,2023-10-20 00:30:00,1697760900,159.57,16.28,0.0,0.58,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697761800_OFFICE-00980A9E,2023-10-20 00:30:00,2023-10-20 00:45:00,1697761800,159.57,15.87,0.0,0.41,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697762700_OFFICE-00980A9E,2023-10-20 00:45:00,2023-10-20 01:00:00,1697762700,159.57,15.29,0.0,0.65,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697763600_OFFICE-00980A9E,2023-10-20 01:00:00,2023-10-20 01:15:00,1697763600,159.57,14.96,0.0,0.33,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697764500_OFFICE-00980A9E,2023-10-20 01:15:00,2023-10-20 01:30:00,1697764500,159.57,14.96,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697765400_OFFICE-00980A9E,2023-10-20 01:30:00,2023-10-20 01:45:00,1697765400,159.57,14.96,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697766300_OFFICE-00980A9E,2023-10-20 01:45:00,2023-10-20 02:00:00,1697766300,159.57,14.96,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697767200_OFFICE-00980A9E,2023-10-20 02:00:00,2023-10-20 02:15:00,1697767200,159.57,14.96,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697768100_OFFICE-00980A9E,2023-10-20 02:15:00,2023-10-20 02:30:00,1697768100,159.57,14.96,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697769000_OFFICE-00980A9E,2023-10-20 02:30:00,2023-10-20 02:45:00,1697769000,159.57,14.96,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697769900_OFFICE-00980A9E,2023-10-20 02:45:00,2023-10-20 03:00:00,1697769900,159.57,14.87,0.0,0.09,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697770800_OFFICE-00980A9E,2023-10-20 03:00:00,2023-10-20 03:15:00,1697770800,159.57,14.87,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697771700_OFFICE-00980A9E,2023-10-20 03:15:00,2023-10-20 03:30:00,1697771700,159.57,14.71,0.0,0.16,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697772600_OFFICE-00980A9E,2023-10-20 03:30:00,2023-10-20 03:45:00,1697772600,159.57,14.63,0.0,0.08,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697773500_OFFICE-00980A9E,2023-10-20 03:45:00,2023-10-20 04:00:00,1697773500,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697774400_OFFICE-00980A9E,2023-10-20 04:00:00,2023-10-20 04:15:00,1697774400,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697775300_OFFICE-00980A9E,2023-10-20 04:15:00,2023-10-20 04:30:00,1697775300,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697776200_OFFICE-00980A9E,2023-10-20 04:30:00,2023-10-20 04:45:00,1697776200,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697777100_OFFICE-00980A9E,2023-10-20 04:45:00,2023-10-20 05:00:00,1697777100,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697778000_OFFICE-00980A9E,2023-10-20 05:00:00,2023-10-20 05:15:00,1697778000,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697778900_OFFICE-00980A9E,2023-10-20 05:15:00,2023-10-20 05:30:00,1697778900,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697779800_OFFICE-00980A9E,2023-10-20 05:30:00,2023-10-20 05:45:00,1697779800,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697780700_OFFICE-00980A9E,2023-10-20 05:45:00,2023-10-20 06:00:00,1697780700,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697781600_OFFICE-00980A9E,2023-10-20 06:00:00,2023-10-20 06:15:00,1697781600,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697782500_OFFICE-00980A9E,2023-10-20 06:15:00,2023-10-20 06:30:00,1697782500,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697783400_OFFICE-00980A9E,2023-10-20 06:30:00,2023-10-20 06:45:00,1697783400,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697784300_OFFICE-00980A9E,2023-10-20 06:45:00,2023-10-20 07:00:00,1697784300,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697785200_OFFICE-00980A9E,2023-10-20 07:00:00,2023-10-20 07:15:00,1697785200,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697786100_OFFICE-00980A9E,2023-10-20 07:15:00,2023-10-20 07:30:00,1697786100,159.57,14.63,0.0,0.0,2,255.51,0,-36.72,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697787000_OFFICE-00980A9E,2023-10-20 07:30:00,2023-10-20 07:45:00,1697787000,159.57,14.63,0.0,0.0,2,255.61,0,-36.82,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697787900_OFFICE-00980A9E,2023-10-20 07:45:00,2023-10-20 08:00:00,1697787900,158.41,14.63,1.16,0.0,2,255.86,0,-37.07,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697788800_OFFICE-00980A9E,2023-10-20 08:00:00,2023-10-20 08:15:00,1697788800,156.55,14.63,1.85,0.0,2,256.11,0,-37.32,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1697789700_OFFICE-00980A9E,2023-10-20 08:15:00,2023-10-20 08:30:00,1697789700,154.46,14.63,2.09,0.0,2,256.36,0,-37.57,0.0
