key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
TARABA_DG1_And_DG2_1699228800_OFFICE-00980AA1,2023-11-06 00:00:00,2023-11-06 00:15:00,1699228800,74.35,207.91,0.73,0.0,7529.13,7030.38,-7528.31,-7030.38,0.0
TARABA_DG1_And_DG2_1699229700_OFFICE-00980AA1,2023-11-06 00:15:00,2023-11-06 00:30:00,1699229700,73.62,207.91,1.08,0.0,7529.13,7030.63,-7528.31,-7030.63,0.0
TARABA_DG1_And_DG2_1699230600_OFFICE-00980AA1,2023-11-06 00:30:00,2023-11-06 00:45:00,1699230600,72.9,207.91,0.72,0.0,7529.13,7030.88,-7528.31,-7030.88,0.0
TARABA_DG1_And_DG2_1699231500_OFFICE-00980AA1,2023-11-06 00:45:00,2023-11-06 01:00:00,1699231500,71.45,207.91,1.44,0.0,7529.13,7031.13,-7528.31,-7031.13,0.0
TARABA_DG1_And_DG2_1699232400_OFFICE-00980AA1,2023-11-06 01:00:00,2023-11-06 01:15:00,1699232400,70.36,207.91,1.08,0.0,7529.13,7031.38,-7528.31,-7031.38,0.0
TARABA_DG1_And_DG2_1699233300_OFFICE-00980AA1,2023-11-06 01:15:00,2023-11-06 01:30:00,1699233300,69.28,207.91,1.08,0.0,7529.13,7031.63,-7528.31,-7031.63,0.0
TARABA_DG1_And_DG2_1699234200_OFFICE-00980AA1,2023-11-06 01:30:00,2023-11-06 01:45:00,1699234200,68.19,207.91,1.08,0.0,7529.13,7031.88,-7528.31,-7031.88,0.0
TARABA_DG1_And_DG2_1699235100_OFFICE-00980AA1,2023-11-06 01:45:00,2023-11-06 02:00:00,1699235100,67.1,207.91,1.08,0.0,7529.13,7032.14,-7528.31,-7032.14,0.0
TARABA_DG1_And_DG2_1699236000_OFFICE-00980AA1,2023-11-06 02:00:00,2023-11-06 02:15:00,1699236000,65.65,207.91,1.08,0.0,7529.13,7032.38,-7528.31,-7032.38,0.0
TARABA_DG1_And_DG2_1699236900_OFFICE-00980AA1,2023-11-06 02:15:00,2023-11-06 02:30:00,1699236900,65.29,207.91,0.72,0.0,7529.13,7032.64,-7528.31,-7032.64,0.0
TARABA_DG1_And_DG2_1699237800_OFFICE-00980AA1,2023-11-06 02:30:00,2023-11-06 02:45:00,1699237800,64.2,207.91,0.73,0.0,7529.13,7032.88,-7528.31,-7032.88,0.0
TARABA_DG1_And_DG2_1699238700_OFFICE-00980AA1,2023-11-06 02:45:00,2023-11-06 03:00:00,1699238700,63.11,207.91,1.45,0.0,7529.13,7033.14,-7528.31,-7033.14,0.0
TARABA_DG1_And_DG2_1699239600_OFFICE-00980AA1,2023-11-06 03:00:00,2023-11-06 03:15:00,1699239600,61.66,207.91,1.44,0.0,7529.13,7033.38,-7528.31,-7033.38,0.0
TARABA_DG1_And_DG2_1699240500_OFFICE-00980AA1,2023-11-06 03:15:00,2023-11-06 03:30:00,1699240500,60.94,207.91,0.36,0.0,7529.13,7033.64,-7528.31,-7033.64,0.0
TARABA_DG1_And_DG2_1699241400_OFFICE-00980AA1,2023-11-06 03:30:00,2023-11-06 03:45:00,1699241400,60.58,207.91,0.72,0.0,7529.13,7033.88,-7528.31,-7033.88,0.0
TARABA_DG1_And_DG2_1699242300_OFFICE-00980AA1,2023-11-06 03:45:00,2023-11-06 04:00:00,1699242300,59.12,207.91,1.46,0.0,7529.13,7034.14,-7528.31,-7034.14,0.0
TARABA_DG1_And_DG2_1699243200_OFFICE-00980AA1,2023-11-06 04:00:00,2023-11-06 04:15:00,1699243200,58.04,207.91,0.72,0.0,7529.13,7034.39,-7528.31,-7034.39,0.0
TARABA_DG1_And_DG2_1699244100_OFFICE-00980AA1,2023-11-06 04:15:00,2023-11-06 04:30:00,1699244100,56.95,207.91,1.44,0.0,7529.13,7034.64,-7528.31,-7034.64,0.0
TARABA_DG1_And_DG2_1699245000_OFFICE-00980AA1,2023-11-06 04:30:00,2023-11-06 04:45:00,1699245000,56.22,207.91,0.73,0.0,7529.13,7034.89,-7528.31,-7034.89,0.0
TARABA_DG1_And_DG2_1699245900_OFFICE-00980AA1,2023-11-06 04:45:00,2023-11-06 05:00:00,1699245900,54.78,207.91,1.44,0.0,7529.13,7035.14,-7528.31,-7035.14,0.0
TARABA_DG1_And_DG2_1699246800_OFFICE-00980AA1,2023-11-06 05:00:00,2023-11-06 05:15:00,1699246800,54.05,207.91,0.73,0.0,7529.13,7035.39,-7528.31,-7035.39,0.0
TARABA_DG1_And_DG2_1699247700_OFFICE-00980AA1,2023-11-06 05:15:00,2023-11-06 05:30:00,1699247700,53.32,207.91,0.73,0.0,7529.13,7035.64,-7528.31,-7035.64,0.0
TARABA_DG1_And_DG2_1699248600_OFFICE-00980AA1,2023-11-06 05:30:00,2023-11-06 05:45:00,1699248600,52.6,207.91,0.72,0.0,7529.13,7035.89,-7528.31,-7035.89,0.0
TARABA_DG1_And_DG2_1699249500_OFFICE-00980AA1,2023-11-06 05:45:00,2023-11-06 06:00:00,1699249500,51.51,207.91,1.08,0.0,7529.13,7036.14,-7528.31,-7036.14,0.0
TARABA_DG1_And_DG2_1699250400_OFFICE-00980AA1,2023-11-06 06:00:00,2023-11-06 06:15:00,1699250400,50.06,207.91,1.44,0.0,7529.13,7036.39,-7528.31,-7036.39,0.0
TARABA_DG1_And_DG2_1699251300_OFFICE-00980AA1,2023-11-06 06:15:00,2023-11-06 06:30:00,1699251300,48.98,207.91,1.08,0.0,7529.13,7036.64,-7528.31,-7036.64,0.0
TARABA_DG1_And_DG2_1699252200_OFFICE-00980AA1,2023-11-06 06:30:00,2023-11-06 06:45:00,1699252200,48.25,207.91,0.73,0.0,7529.13,7036.89,-7528.31,-7036.89,0.0
TARABA_DG1_And_DG2_1699253100_OFFICE-00980AA1,2023-11-06 06:45:00,2023-11-06 07:00:00,1699253100,46.44,207.91,1.44,0.0,7529.13,7037.14,-7528.31,-7037.14,0.0
TARABA_DG1_And_DG2_1699254000_OFFICE-00980AA1,2023-11-06 07:00:00,2023-11-06 07:15:00,1699254000,44.99,207.91,1.80,0.0,7529.13,7037.39,-7528.31,-7037.39,0.0
TARABA_DG1_And_DG2_1699254900_OFFICE-00980AA1,2023-11-06 07:15:00,2023-11-06 07:30:00,1699254900,43.54,207.91,1.08,0.0,7529.13,7037.64,-7528.31,-7037.64,0.0
TARABA_DG1_And_DG2_1699255800_OFFICE-00980AA1,2023-11-06 07:30:00,2023-11-06 07:45:00,1699255800,42.09,207.91,1.80,0.0,7529.13,7037.89,-7528.31,-7037.89,0.0
TARABA_DG1_And_DG2_1699256700_OFFICE-00980AA1,2023-11-06 07:45:00,2023-11-06 08:00:00,1699256700,41,207.91,1.08,0.0,7529.13,7038.14,-7528.31,-7038.14,0.0
TARABA_DG1_And_DG2_1699257600_OFFICE-00980AA1,2023-11-06 08:00:00,2023-11-06 08:15:00,1699257600,41,207.91,0.0,0.0,7529.13,7038.39,-7528.31,-7038.39,0.0
TARABA_DG1_And_DG2_1699258500_OFFICE-00980AA1,2023-11-06 08:15:00,2023-11-06 08:30:00,1699258500,41,207.91,0.0,0.0,7529.13,7038.64,-7528.31,-7038.64,0.0
TARABA_DG1_And_DG2_1699259400_OFFICE-00980AA1,2023-11-06 08:30:00,2023-11-06 08:45:00,1699259400,41,207.91,0.0,0.0,7529.13,7038.89,-7528.31,-7038.89,0.0
TARABA_DG1_And_DG2_1699260300_OFFICE-00980AA1,2023-11-06 08:45:00,2023-11-06 09:00:00,1699260300,41,207.91,0.0,0.0,7529.13,7039.14,-7528.31,-7039.14,0.0
TARABA_DG1_And_DG2_1699261200_OFFICE-00980AA1,2023-11-06 09:00:00,2023-11-06 09:15:00,1699261200,41,207.91,0.0,0.0,7529.13,7039.39,-7528.31,-7039.39,0.0
