key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ABUJA_OFFICE_DG1_and_DG2_1699833600_OFFICE-00980785,2023-11-13 00:00:00,2023-11-13 00:15:00,1699833600,121.67,130.1,0.0,0.84,8845.6,8854.67,-8837.6,-8286.09,0.0
ABUJA_OFFICE_DG1_and_DG2_1699834500_OFFICE-00980785,2023-11-13 00:15:00,2023-11-13 00:30:00,1699834500,121.67,128.07,0.0,1.99,8845.6,8854.92,-8837.6,-8286.34,0.0
ABUJA_OFFICE_DG1_and_DG2_1699835400_OFFICE-00980785,2023-11-13 00:30:00,2023-11-13 00:45:00,1699835400,121.67,127.16,0.0,0.95,8845.6,8855.17,-8837.6,-8286.59,0.0
ABUJA_OFFICE_DG1_and_DG2_1699836300_OFFICE-00980785,2023-11-13 00:45:00,2023-11-13 01:00:00,1699836300,121.67,125.76,0.0,1.48,8845.6,8855.42,-8837.6,-8286.84,0.0
ABUJA_OFFICE_DG1_and_DG2_1699837200_OFFICE-00980785,2023-11-13 01:00:00,2023-11-13 01:15:00,1699837200,121.67,124.21,0.0,1.47,8845.65,8855.66,-8837.65,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699838100_OFFICE-00980785,2023-11-13 01:15:00,2023-11-13 01:30:00,1699838100,120.02,124.21,1.65,0.16,8845.9,8855.66,-8837.9,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699839000_OFFICE-00980785,2023-11-13 01:30:00,2023-11-13 01:45:00,1699839000,118.78,124.21,0.83,0.0,8846.15,8855.66,-8838.15,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699839900_OFFICE-00980785,2023-11-13 01:45:00,2023-11-13 02:00:00,1699839900,117.13,124.21,2.06,0.0,8846.4,8855.66,-8838.4,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699840800_OFFICE-00980785,2023-11-13 02:00:00,2023-11-13 02:15:00,1699840800,114.23,124.21,2.9,0.0,8846.66,8855.66,-8838.66,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699841700_OFFICE-00980785,2023-11-13 02:15:00,2023-11-13 02:30:00,1699841700,112.99,124.21,1.24,0.0,8846.91,8855.66,-8838.91,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699842600_OFFICE-00980785,2023-11-13 02:30:00,2023-11-13 02:45:00,1699842600,111.75,124.21,1.24,0.0,8847.16,8855.66,-8839.16,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699843500_OFFICE-00980785,2023-11-13 02:45:00,2023-11-13 03:00:00,1699843500,110.1,124.21,1.24,0.0,8847.39,8855.66,-8839.39,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699844400_OFFICE-00980785,2023-11-13 03:00:00,2023-11-13 03:15:00,1699844400,108.45,124.21,2.06,0.0,8847.64,8855.66,-8839.64,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699845300_OFFICE-00980785,2023-11-13 03:15:00,2023-11-13 03:30:00,1699845300,106.8,124.21,1.24,0.0,8847.89,8855.66,-8839.89,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699846200_OFFICE-00980785,2023-11-13 03:30:00,2023-11-13 03:45:00,1699846200,105.14,124.21,2.07,0.0,8848.14,8855.66,-8840.14,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699847100_OFFICE-00980785,2023-11-13 03:45:00,2023-11-13 04:00:00,1699847100,103.9,124.21,1.24,0.0,8848.39,8855.66,-8840.39,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699848000_OFFICE-00980785,2023-11-13 04:00:00,2023-11-13 04:15:00,1699848000,102.25,124.21,1.23,0.0,8848.64,8855.66,-8840.64,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699848900_OFFICE-00980785,2023-11-13 04:15:00,2023-11-13 04:30:00,1699848900,100.6,124.21,1.66,0.0,8848.89,8855.66,-8840.89,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699849800_OFFICE-00980785,2023-11-13 04:30:00,2023-11-13 04:45:00,1699849800,99.36,124.21,1.65,0.0,8849.14,8855.66,-8841.14,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699850700_OFFICE-00980785,2023-11-13 04:45:00,2023-11-13 05:00:00,1699850700,97.29,124.21,2.07,0.0,8849.39,8855.66,-8841.39,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699851600_OFFICE-00980785,2023-11-13 05:00:00,2023-11-13 05:15:00,1699851600,95.23,124.21,2.06,0.0,8849.64,8855.66,-8841.64,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699852500_OFFICE-00980785,2023-11-13 05:15:00,2023-11-13 05:30:00,1699852500,93.58,124.21,1.65,0.0,8849.89,8855.66,-8841.89,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699853400_OFFICE-00980785,2023-11-13 05:30:00,2023-11-13 05:45:00,1699853400,91.92,124.21,1.66,0.0,8850.14,8855.66,-8842.14,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699854300_OFFICE-00980785,2023-11-13 05:45:00,2023-11-13 06:00:00,1699854300,89.03,124.21,2.48,0.0,8850.39,8855.66,-8842.39,-8287.08,0.0
ABUJA_OFFICE_DG1_and_DG2_1699855200_OFFICE-00980785,2023-11-13 06:00:00,2023-11-13 06:15:00,1699855200,86.97,124.21,2.06,0.0,8850.64,8855.66,-8842.64,-8287.08,0.0
