key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
OGOJA_GUEST_HOUSE_1700265600_HOUSE-00980AA3,2023-11-18 00:00:00,2023-11-18 00:15:00,1700265600,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.265
OGOJA_GUEST_HOUSE_1700266500_HOUSE-00980AA3,2023-11-18 00:15:00,2023-11-18 00:30:00,1700266500,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.332
OGOJA_GUEST_HOUSE_1700267400_HOUSE-00980AA3,2023-11-18 00:30:00,2023-11-18 00:45:00,1700267400,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.183
OGOJA_GUEST_HOUSE_1700268300_HOUSE-00980AA3,2023-11-18 00:45:00,2023-11-18 01:00:00,1700268300,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.139
OGOJA_GUEST_HOUSE_1700269200_HOUSE-00980AA3,2023-11-18 01:00:00,2023-11-18 01:15:00,1700269200,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.883
OGOJA_GUEST_HOUSE_1700270100_HOUSE-00980AA3,2023-11-18 01:15:00,2023-11-18 01:30:00,1700270100,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.026
OGOJA_GUEST_HOUSE_1700271000_HOUSE-00980AA3,2023-11-18 01:30:00,2023-11-18 01:45:00,1700271000,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.953
OGOJA_GUEST_HOUSE_1700271900_HOUSE-00980AA3,2023-11-18 01:45:00,2023-11-18 02:00:00,1700271900,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.981
OGOJA_GUEST_HOUSE_1700272800_HOUSE-00980AA3,2023-11-18 02:00:00,2023-11-18 02:15:00,1700272800,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.034
OGOJA_GUEST_HOUSE_1700273700_HOUSE-00980AA3,2023-11-18 02:15:00,2023-11-18 02:30:00,1700273700,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.09
OGOJA_GUEST_HOUSE_1700274600_HOUSE-00980AA3,2023-11-18 02:30:00,2023-11-18 02:45:00,1700274600,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.998
OGOJA_GUEST_HOUSE_1700275500_HOUSE-00980AA3,2023-11-18 02:45:00,2023-11-18 03:00:00,1700275500,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.954
OGOJA_GUEST_HOUSE_1700276400_HOUSE-00980AA3,2023-11-18 03:00:00,2023-11-18 03:15:00,1700276400,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.818
OGOJA_GUEST_HOUSE_1700277300_HOUSE-00980AA3,2023-11-18 03:15:00,2023-11-18 03:30:00,1700277300,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.928
OGOJA_GUEST_HOUSE_1700278200_HOUSE-00980AA3,2023-11-18 03:30:00,2023-11-18 03:45:00,1700278200,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.908
OGOJA_GUEST_HOUSE_1700279100_HOUSE-00980AA3,2023-11-18 03:45:00,2023-11-18 04:00:00,1700279100,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.931
OGOJA_GUEST_HOUSE_1700280000_HOUSE-00980AA3,2023-11-18 04:00:00,2023-11-18 04:15:00,1700280000,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.204
OGOJA_GUEST_HOUSE_1700280900_HOUSE-00980AA3,2023-11-18 04:15:00,2023-11-18 04:30:00,1700280900,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.906
OGOJA_GUEST_HOUSE_1700281800_HOUSE-00980AA3,2023-11-18 04:30:00,2023-11-18 04:45:00,1700281800,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.828
OGOJA_GUEST_HOUSE_1700282700_HOUSE-00980AA3,2023-11-18 04:45:00,2023-11-18 05:00:00,1700282700,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.852
OGOJA_GUEST_HOUSE_1700283600_HOUSE-00980AA3,2023-11-18 05:00:00,2023-11-18 05:15:00,1700283600,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.764
OGOJA_GUEST_HOUSE_1700284500_HOUSE-00980AA3,2023-11-18 05:15:00,2023-11-18 05:30:00,1700284500,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.959
OGOJA_GUEST_HOUSE_1700285400_HOUSE-00980AA3,2023-11-18 05:30:00,2023-11-18 05:45:00,1700285400,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.724
OGOJA_GUEST_HOUSE_1700286300_HOUSE-00980AA3,2023-11-18 05:45:00,2023-11-18 06:00:00,1700286300,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.989
OGOJA_GUEST_HOUSE_1700287200_HOUSE-00980AA3,2023-11-18 06:00:00,2023-11-18 06:15:00,1700287200,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.131
OGOJA_GUEST_HOUSE_1700288100_HOUSE-00980AA3,2023-11-18 06:15:00,2023-11-18 06:30:00,1700288100,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.774
OGOJA_GUEST_HOUSE_1700289000_HOUSE-00980AA3,2023-11-18 06:30:00,2023-11-18 06:45:00,1700289000,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.702
OGOJA_GUEST_HOUSE_1700289900_HOUSE-00980AA3,2023-11-18 06:45:00,2023-11-18 07:00:00,1700289900,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,1.854
OGOJA_GUEST_HOUSE_1700290800_HOUSE-00980AA3,2023-11-18 07:00:00,2023-11-18 07:15:00,1700290800,105.38,175.18,0.0,0.0,21413.3,8976.47,-21393.3,-8799.63,2.1
OGOJA_GUEST_HOUSE_1700291700_HOUSE-00980AA3,2023-11-18 07:15:00,2023-11-18 07:30:00,1700291700,184.6,175.18,0.0,0.0,21413.36,8976.47,-21393.36,-8799.63,1.907
