key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700265600_OFFICE-00980AA5,2023-11-18 00:00:00,2023-11-18 00:15:00,1700265600,130.54,89.23,2.53,0.0,20203.52,10874.95,-1047.41,-2420.25,2.79
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700266500_OFFICE-00980AA5,2023-11-18 00:15:00,2023-11-18 00:30:00,1700266500,127.27,89.23,2.53,0.0,20203.77,10874.95,-1047.66,-2420.25,2.773
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700267400_OFFICE-00980AA5,2023-11-18 00:30:00,2023-11-18 00:45:00,1700267400,125.1,89.23,2.89,0.0,20204.02,10874.95,-1047.91,-2420.25,2.78
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700268300_OFFICE-00980AA5,2023-11-18 00:45:00,2023-11-18 01:00:00,1700268300,120.74,89.23,4.35,0.0,20204.27,10874.95,-1048.16,-2420.25,2.674
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700269200_OFFICE-00980AA5,2023-11-18 01:00:00,2023-11-18 01:15:00,1700269200,115.3,89.23,5.43,0.0,20204.52,10874.95,-1048.41,-2420.25,2.864
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700270100_OFFICE-00980AA5,2023-11-18 01:15:00,2023-11-18 01:30:00,1700270100,120.74,89.23,0.0,0.0,20204.77,10874.95,-1048.66,-2420.25,2.77
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700271000_OFFICE-00980AA5,2023-11-18 01:30:00,2023-11-18 01:45:00,1700271000,123.65,89.23,0.0,0.0,20205.02,10874.95,-1048.91,-2420.25,2.731
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700271900_OFFICE-00980AA5,2023-11-18 01:45:00,2023-11-18 02:00:00,1700271900,119.65,89.23,6.89,0.0,20205.27,10874.95,-1049.16,-2420.25,2.831
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700272800_OFFICE-00980AA5,2023-11-18 02:00:00,2023-11-18 02:15:00,1700272800,122.19,89.23,0.73,0.0,20205.52,10874.95,-1049.41,-2420.25,2.701
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700273700_OFFICE-00980AA5,2023-11-18 02:15:00,2023-11-18 02:30:00,1700273700,129.45,89.23,1.08,0.0,20205.77,10874.95,-1049.66,-2420.25,2.723
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700274600_OFFICE-00980AA5,2023-11-18 02:30:00,2023-11-18 02:45:00,1700274600,133.08,89.23,1.45,0.0,20206.02,10874.95,-1049.91,-2420.25,2.749
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700275500_OFFICE-00980AA5,2023-11-18 02:45:00,2023-11-18 03:00:00,1700275500,125.46,89.23,7.98,0.0,20206.27,10874.95,-1050.16,-2420.25,2.688
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700276400_OFFICE-00980AA5,2023-11-18 03:00:00,2023-11-18 03:15:00,1700276400,129.81,89.23,1.08,0.0,20206.52,10874.95,-1050.41,-2420.25,2.74
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700277300_OFFICE-00980AA5,2023-11-18 03:15:00,2023-11-18 03:30:00,1700277300,136.71,89.23,0.0,0.0,20206.77,10874.95,-1050.66,-2420.25,2.701
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700278200_OFFICE-00980AA5,2023-11-18 03:30:00,2023-11-18 03:45:00,1700278200,141.06,89.23,0.0,0.0,20207.02,10874.95,-1050.91,-2420.25,2.668
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700279100_OFFICE-00980AA5,2023-11-18 03:45:00,2023-11-18 04:00:00,1700279100,147.96,89.23,1.46,0.0,20207.27,10874.95,-1051.16,-2420.25,2.712
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700280000_OFFICE-00980AA5,2023-11-18 04:00:00,2023-11-18 04:15:00,1700280000,159.94,89.23,6.53,0.0,20207.52,10874.95,-1051.41,-2420.25,2.958
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700280900_OFFICE-00980AA5,2023-11-18 04:15:00,2023-11-18 04:30:00,1700280900,143.6,89.23,15.2,0.0,20207.77,10874.95,-1051.66,-2420.25,2.515
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700281800_OFFICE-00980AA5,2023-11-18 04:30:00,2023-11-18 04:45:00,1700281800,134.9,89.23,9.43,0.0,20208.02,10874.95,-1051.91,-2420.25,2.621
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700282700_OFFICE-00980AA5,2023-11-18 04:45:00,2023-11-18 05:00:00,1700282700,132.72,89.23,2.17,0.0,20208.27,10874.95,-1052.16,-2420.25,2.642
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700283600_OFFICE-00980AA5,2023-11-18 05:00:00,2023-11-18 05:15:00,1700283600,128.36,89.23,4.35,0.0,20208.52,10874.95,-1052.41,-2420.25,2.677
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700284500_OFFICE-00980AA5,2023-11-18 05:15:00,2023-11-18 05:30:00,1700284500,120.38,89.23,7.63,0.0,20208.77,10874.95,-1052.66,-2420.25,2.592
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700285400_OFFICE-00980AA5,2023-11-18 05:30:00,2023-11-18 05:45:00,1700285400,117.84,89.23,2.54,0.0,20209.02,10874.95,-1052.91,-2420.25,2.566
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700286300_OFFICE-00980AA5,2023-11-18 05:45:00,2023-11-18 06:00:00,1700286300,117.84,89.23,3.62,0.0,20209.27,10874.95,-1053.16,-2420.25,2.576
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700287200_OFFICE-00980AA5,2023-11-18 06:00:00,2023-11-18 06:15:00,1700287200,112.76,89.23,4.35,0.0,20209.52,10874.95,-1053.41,-2420.25,2.84
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700288100_OFFICE-00980AA5,2023-11-18 06:15:00,2023-11-18 06:30:00,1700288100,106.59,89.23,6.17,0.0,20209.78,10874.95,-1053.67,-2420.25,2.839
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700289000_OFFICE-00980AA5,2023-11-18 06:30:00,2023-11-18 06:45:00,1700289000,104.05,89.23,2.9,0.0,20210.03,10874.95,-1053.92,-2420.25,2.8
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700289900_OFFICE-00980AA5,2023-11-18 06:45:00,2023-11-18 07:00:00,1700289900,98.6,89.23,5.44,0.0,20210.28,10874.95,-1054.17,-2420.25,2.76
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700290800_OFFICE-00980AA5,2023-11-18 07:00:00,2023-11-18 07:15:00,1700290800,92.8,89.23,5.08,0.0,20210.53,10874.95,-1054.42,-2420.25,2.667
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700291700_OFFICE-00980AA5,2023-11-18 07:15:00,2023-11-18 07:30:00,1700291700,84.81,89.23,7.99,0.0,20210.78,10874.95,-1054.67,-2420.25,2.852
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700292600_OFFICE-00980AA5,2023-11-18 07:30:00,2023-11-18 07:45:00,1700292600,72.84,89.23,12.3,0.0,20211.03,10874.95,-1054.92,-2420.25,2.946
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700293500_OFFICE-00980AA5,2023-11-18 07:45:00,2023-11-18 08:00:00,1700293500,60.5,187.54,13.0,0.0,20211.24,10875,-1055.13,-2420.3,2.649
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700294400_OFFICE-00980AA5,2023-11-18 08:00:00,2023-11-18 08:15:00,1700294400,218,185.12,0.0,2.42,20211.24,10875.25,-1055.13,-2420.55,2.374
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700295300_OFFICE-00980AA5,2023-11-18 08:15:00,2023-11-18 08:30:00,1700295300,218,183.73,0.0,1.39,20211.24,10875.5,-1055.13,-2420.8,2.426
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700296200_OFFICE-00980AA5,2023-11-18 08:30:00,2023-11-18 08:45:00,1700296200,218,181.65,0.0,2.08,20211.24,10875.75,-1055.13,-2421.05,2.577
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700297100_OFFICE-00980AA5,2023-11-18 08:45:00,2023-11-18 09:00:00,1700297100,206.75,180.27,10.1,1.38,20211.24,10876,-1055.13,-2421.3,2.551
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700298000_OFFICE-00980AA5,2023-11-18 09:00:00,2023-11-18 09:15:00,1700298000,192.23,179.23,14.5,1.04,20211.24,10876.25,-1055.13,-2421.55,2.833
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700298900_OFFICE-00980AA5,2023-11-18 09:15:00,2023-11-18 09:30:00,1700298900,176.99,176.46,15.6,2.77,20211.24,10876.5,-1055.13,-2421.8,2.939
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700299800_OFFICE-00980AA5,2023-11-18 09:30:00,2023-11-18 09:45:00,1700299800,166.47,174.38,10.8,2.08,20211.24,10876.75,-1055.13,-2422.05,2.839
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700300700_OFFICE-00980AA5,2023-11-18 09:45:00,2023-11-18 10:00:00,1700300700,158.48,172.65,7.61,1.38,20211.24,10877,-1055.13,-2422.3,3.154
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700301600_OFFICE-00980AA5,2023-11-18 10:00:00,2023-11-18 10:15:00,1700301600,147.96,169.88,10.5,2.42,20211.24,10877.25,-1055.13,-2422.55,3.261
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700302500_OFFICE-00980AA5,2023-11-18 10:15:00,2023-11-18 10:30:00,1700302500,143.97,168.5,4.72,2.08,20211.24,10877.5,-1055.13,-2422.8,3.546
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700303400_OFFICE-00980AA5,2023-11-18 10:30:00,2023-11-18 10:45:00,1700303400,143.97,166.77,0.0,1.38,20211.24,10877.75,-1055.13,-2423.05,3.584
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700304300_OFFICE-00980AA5,2023-11-18 10:45:00,2023-11-18 11:00:00,1700304300,143.24,164.69,0.73,2.08,20211.24,10878,-1055.13,-2423.3,3.662
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700305200_OFFICE-00980AA5,2023-11-18 11:00:00,2023-11-18 11:15:00,1700305200,143.24,162.62,0.0,2.08,20211.24,10878.25,-1055.13,-2423.55,3.928
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700306100_OFFICE-00980AA5,2023-11-18 11:15:00,2023-11-18 11:30:00,1700306100,143.24,160.54,0.0,2.08,20211.24,10878.49,-1055.13,-2423.79,4.383
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700307000_OFFICE-00980AA5,2023-11-18 11:30:00,2023-11-18 11:45:00,1700307000,143.24,158.81,0.0,2.07,20211.24,10878.74,-1055.13,-2424.04,4.3
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700307900_OFFICE-00980AA5,2023-11-18 11:45:00,2023-11-18 12:00:00,1700307900,143.24,156.73,0.0,2.08,20211.24,10878.99,-1055.13,-2424.29,4.302
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700308800_OFFICE-00980AA5,2023-11-18 12:00:00,2023-11-18 12:15:00,1700308800,143.24,154.31,0.0,2.42,20211.24,10879.24,-1055.13,-2424.54,4.344
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700309700_OFFICE-00980AA5,2023-11-18 12:15:00,2023-11-18 12:30:00,1700309700,143.24,152.23,0.0,1.73,20211.24,10879.49,-1055.13,-2424.79,4.328
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700310600_OFFICE-00980AA5,2023-11-18 12:30:00,2023-11-18 12:45:00,1700310600,143.24,150.15,0.0,2.43,20211.24,10879.74,-1055.13,-2425.04,4.53
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700311500_OFFICE-00980AA5,2023-11-18 12:45:00,2023-11-18 13:00:00,1700311500,143.24,148.08,0.0,1.73,20211.24,10879.99,-1055.13,-2425.29,4.195
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700312400_OFFICE-00980AA5,2023-11-18 13:00:00,2023-11-18 13:15:00,1700312400,143.24,146,0.0,2.42,20211.24,10880.24,-1055.13,-2425.54,4.208
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700313300_OFFICE-00980AA5,2023-11-18 13:15:00,2023-11-18 13:30:00,1700313300,143.24,143.58,0.0,2.08,20211.24,10880.49,-1055.13,-2425.79,4.297
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700314200_OFFICE-00980AA5,2023-11-18 13:30:00,2023-11-18 13:45:00,1700314200,143.24,141.85,0.0,2.07,20211.24,10880.74,-1055.13,-2426.04,4.281
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700315100_OFFICE-00980AA5,2023-11-18 13:45:00,2023-11-18 14:00:00,1700315100,146.87,139.42,0.0,2.08,20211.24,10880.99,-1055.13,-2426.29,4.325
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700316000_OFFICE-00980AA5,2023-11-18 14:00:00,2023-11-18 14:15:00,1700316000,146.87,137.69,0.0,2.08,20211.24,10881.24,-1055.13,-2426.54,4.256
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700316900_OFFICE-00980AA5,2023-11-18 14:15:00,2023-11-18 14:30:00,1700316900,151.23,135.27,0.0,2.07,20211.24,10881.49,-1055.13,-2426.79,4.208
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700317800_OFFICE-00980AA5,2023-11-18 14:30:00,2023-11-18 14:45:00,1700317800,151.23,133.54,0.0,2.08,20211.24,10881.74,-1055.13,-2427.04,4.245
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700318700_OFFICE-00980AA5,2023-11-18 14:45:00,2023-11-18 15:00:00,1700318700,157.03,131.46,0.0,2.08,20211.24,10881.99,-1055.13,-2427.29,4.276
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700319600_OFFICE-00980AA5,2023-11-18 15:00:00,2023-11-18 15:15:00,1700319600,165.74,129.38,0.0,2.08,20211.24,10882.24,-1055.13,-2427.54,4.02
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700320500_OFFICE-00980AA5,2023-11-18 15:15:00,2023-11-18 15:30:00,1700320500,174.45,126.96,0.0,2.07,20211.24,10882.49,-1055.13,-2427.79,4.074
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700321400_OFFICE-00980AA5,2023-11-18 15:30:00,2023-11-18 15:45:00,1700321400,178.81,125.23,0.0,2.08,20211.24,10882.74,-1055.13,-2428.04,3.713
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700322300_OFFICE-00980AA5,2023-11-18 15:45:00,2023-11-18 16:00:00,1700322300,186.06,123.5,0.0,1.73,20211.24,10882.99,-1055.13,-2428.29,3.53
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700323200_OFFICE-00980AA5,2023-11-18 16:00:00,2023-11-18 16:15:00,1700323200,194.77,121.77,0.0,1.73,20211.24,10883.24,-1055.13,-2428.54,3.522
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700324100_OFFICE-00980AA5,2023-11-18 16:15:00,2023-11-18 16:30:00,1700324100,204.21,119.69,0.0,1.73,20211.24,10883.49,-1055.13,-2428.79,3.624
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700325000_OFFICE-00980AA5,2023-11-18 16:30:00,2023-11-18 16:45:00,1700325000,210.74,118.31,0.0,1.73,20211.24,10883.74,-1055.13,-2429.04,3.385
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700325900_OFFICE-00980AA5,2023-11-18 16:45:00,2023-11-18 17:00:00,1700325900,218,116.92,0.0,1.39,20211.24,10883.99,-1055.13,-2429.29,3.266
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700326800_OFFICE-00980AA5,2023-11-18 17:00:00,2023-11-18 17:15:00,1700326800,218,115.19,0.0,1.38,20211.24,10884.24,-1055.13,-2429.54,2.743
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700327700_OFFICE-00980AA5,2023-11-18 17:15:00,2023-11-18 17:30:00,1700327700,218,112.77,0.0,2.42,20211.24,10884.49,-1055.13,-2429.79,2.486
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700328600_OFFICE-00980AA5,2023-11-18 17:30:00,2023-11-18 17:45:00,1700328600,218,112.77,0.0,0.35,20211.24,10884.49,-1055.13,-2429.79,0.526
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700329500_OFFICE-00980AA5,2023-11-18 17:45:00,2023-11-18 18:00:00,1700329500,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700330400_OFFICE-00980AA5,2023-11-18 18:00:00,2023-11-18 18:15:00,1700330400,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700331300_OFFICE-00980AA5,2023-11-18 18:15:00,2023-11-18 18:30:00,1700331300,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700332200_OFFICE-00980AA5,2023-11-18 18:30:00,2023-11-18 18:45:00,1700332200,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700333100_OFFICE-00980AA5,2023-11-18 18:45:00,2023-11-18 19:00:00,1700333100,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700334000_OFFICE-00980AA5,2023-11-18 19:00:00,2023-11-18 19:15:00,1700334000,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700334900_OFFICE-00980AA5,2023-11-18 19:15:00,2023-11-18 19:30:00,1700334900,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700335800_OFFICE-00980AA5,2023-11-18 19:30:00,2023-11-18 19:45:00,1700335800,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700336700_OFFICE-00980AA5,2023-11-18 19:45:00,2023-11-18 20:00:00,1700336700,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1700337600_OFFICE-00980AA5,2023-11-18 20:00:00,2023-11-18 20:15:00,1700337600,218,112.77,0.0,0.0,20211.24,10884.49,-1055.13,-2429.79,0.0
