key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh
CALABAR_DG1_And_DG2_1701475200_GEN-00980B76_GRID-00980A9C,2023-12-01 23:00:00,2023-12-01 23:15:00,1701475200,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.005,0.504
CALABAR_DG1_And_DG2_1701476100_GEN-00980B76_GRID-00980A9C,2023-12-01 23:15:00,2023-12-01 23:30:00,1701476100,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.002,0.5
CALABAR_DG1_And_DG2_1701477000_GEN-00980B76_GRID-00980A9C,2023-12-01 23:30:00,2023-12-01 23:45:00,1701477000,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.002,0.489
CALABAR_DG1_And_DG2_1701477900_GEN-00980B76_GRID-00980A9C,2023-12-01 23:45:00,2023-12-02 00:00:00,1701477900,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.002,0.499
CALABAR_DG1_And_DG2_1701478800_GEN-00980B76_GRID-00980A9C,2023-12-02 00:00:00,2023-12-02 00:15:00,1701478800,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.002,0.468
CALABAR_DG1_And_DG2_1701479700_GEN-00980B76_GRID-00980A9C,2023-12-02 00:15:00,2023-12-02 00:30:00,1701479700,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.002,0.466
CALABAR_DG1_And_DG2_1701480600_GEN-00980B76_GRID-00980A9C,2023-12-02 00:30:00,2023-12-02 00:45:00,1701480600,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.003,0.476
CALABAR_DG1_And_DG2_1701481500_GEN-00980B76_GRID-00980A9C,2023-12-02 00:45:00,2023-12-02 01:00:00,1701481500,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.003,0.466
CALABAR_DG1_And_DG2_1701482400_GEN-00980B76_GRID-00980A9C,2023-12-02 01:00:00,2023-12-02 01:15:00,1701482400,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.003,0.475
CALABAR_DG1_And_DG2_1701483300_GEN-00980B76_GRID-00980A9C,2023-12-02 01:15:00,2023-12-02 01:30:00,1701483300,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.003,0.466
CALABAR_DG1_And_DG2_1701484200_GEN-00980B76_GRID-00980A9C,2023-12-02 01:30:00,2023-12-02 01:45:00,1701484200,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.003,0.462
CALABAR_DG1_And_DG2_1701485100_GEN-00980B76_GRID-00980A9C,2023-12-02 01:45:00,2023-12-02 02:00:00,1701485100,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.003,0.472
CALABAR_DG1_And_DG2_1701486000_GEN-00980B76_GRID-00980A9C,2023-12-02 02:00:00,2023-12-02 02:15:00,1701486000,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.004,0.468
CALABAR_DG1_And_DG2_1701486900_GEN-00980B76_GRID-00980A9C,2023-12-02 02:15:00,2023-12-02 02:30:00,1701486900,44.66,41.71,0.0,0.0,15,46.33,-15,-46.33,0.004,0.302
CALABAR_DG1_And_DG2_1701487800_GEN-00980B76_GRID-00980A9C,2023-12-02 02:30:00,2023-12-02 02:45:00,1701487800,44.66,41.43,0.0,0.19,15,46.33,-15,-46.33,0.071,0.025
CALABAR_DG1_And_DG2_1701488700_GEN-00980B76_GRID-00980A9C,2023-12-02 02:45:00,2023-12-02 03:00:00,1701488700,44.66,40.96,0.0,0.55,15,46.33,-15,-46.33,0.095,0.0
CALABAR_DG1_And_DG2_1701489600_GEN-00980B76_GRID-00980A9C,2023-12-02 03:00:00,2023-12-02 03:15:00,1701489600,44.66,40.21,0.0,0.74,15,46.33,-15,-46.33,0.093,0.0
CALABAR_DG1_And_DG2_1701490500_GEN-00980B76_GRID-00980A9C,2023-12-02 03:15:00,2023-12-02 03:30:00,1701490500,44.66,39.56,0.0,0.55,15,46.33,-15,-46.33,0.098,0.0
CALABAR_DG1_And_DG2_1701491400_GEN-00980B76_GRID-00980A9C,2023-12-02 03:30:00,2023-12-02 03:45:00,1701491400,44.66,38.91,0.0,0.64,15,46.33,-15,-46.33,0.093,0.0
CALABAR_DG1_And_DG2_1701492300_GEN-00980B76_GRID-00980A9C,2023-12-02 03:45:00,2023-12-02 04:00:00,1701492300,44.66,38.35,0.0,0.64,15,46.33,-15,-46.33,0.097,0.0
CALABAR_DG1_And_DG2_1701493200_GEN-00980B76_GRID-00980A9C,2023-12-02 04:00:00,2023-12-02 04:15:00,1701493200,44.66,37.60,0.0,0.64,15,46.33,-15,-46.33,0.095,0.0
CALABAR_DG1_And_DG2_1701494100_GEN-00980B76_GRID-00980A9C,2023-12-02 04:15:00,2023-12-02 04:30:00,1701494100,44.66,37.14,0.0,0.47,15,46.33,-15,-46.33,0.094,0.0
