key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ABUJA_OFFICE_DG1_and_DG2_1690765200,2023-07-31 00:00:00,2023-07-31 00:15:00,1690761600,121.26,153.05,1.65,0.0,8457.0,8427.0,0.0,0.0,2.713
ABUJA_OFFICE_DG1_and_DG2_1690766100,2023-07-31 00:15:00,2023-07-31 00:30:00,1690762500,119.19,153.05,1.66,0.0,8457.0,8427.0,0.0,0.0,2.796
ABUJA_OFFICE_DG1_and_DG2_1690767000,2023-07-31 00:30:00,2023-07-31 00:45:00,1690763400,117.95,153.05,1.65,0.0,8457.0,8427.0,0.0,0.0,2.74
ABUJA_OFFICE_DG1_and_DG2_1690767900,2023-07-31 00:45:00,2023-07-31 01:00:00,1690764300,116.71,153.05,1.24,0.0,8457.0,8427.0,0.0,0.0,2.816
ABUJA_OFFICE_DG1_and_DG2_1690768800,2023-07-31 01:00:00,2023-07-31 01:15:00,1690765200,115.89,153.05,0.82,0.0,8457.0,8427.0,0.0,0.0,2.82
ABUJA_OFFICE_DG1_and_DG2_1690769700,2023-07-31 01:15:00,2023-07-31 01:30:00,1690766100,115.06,152.18,0.83,0.87,8457.0,8427.0,0.0,0.0,2.814
ABUJA_OFFICE_DG1_and_DG2_1690770600,2023-07-31 01:30:00,2023-07-31 01:45:00,1690767000,115.06,150.62,0.0,1.36,8457.0,8427.0,0.0,0.0,2.797
ABUJA_OFFICE_DG1_and_DG2_1690771500,2023-07-31 01:45:00,2023-07-31 02:00:00,1690767900,115.06,149.31,0.0,1.31,8457.0,8427.0,0.0,0.0,2.766
ABUJA_OFFICE_DG1_and_DG2_1690772400,2023-07-31 02:00:00,2023-07-31 02:15:00,1690768800,115.06,147.12,0.0,1.87,8457.0,8427.0,0.0,0.0,2.927
ABUJA_OFFICE_DG1_and_DG2_1690773300,2023-07-31 02:15:00,2023-07-31 02:30:00,1690769700,115.06,146.24,0.0,1.40,8457.0,8427.0,0.0,0.0,2.728
