key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692234000,2023-08-17 00:00:00,2023-08-17 00:15:00,1692230400,136.71,79.88,1.81,0.0,19156.11,8454.7,0.0,0.0,2.033
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692234900,2023-08-17 00:15:00,2023-08-17 00:30:00,1692231300,135.62,79.88,1.08,0.0,19156.11,8454.7,0.0,0.0,1.718
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692235800,2023-08-17 00:30:00,2023-08-17 00:45:00,1692232200,134.17,79.88,1.44,0.0,19156.11,8454.7,0.0,0.0,1.824
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692236700,2023-08-17 00:45:00,2023-08-17 01:00:00,1692233100,133.44,79.88,0.73,0.0,19156.11,8454.7,0.0,0.0,1.87
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692237600,2023-08-17 01:00:00,2023-08-17 01:15:00,1692234000,131.99,79.88,1.44,0.0,19156.11,8454.7,0.0,0.0,1.42
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692238500,2023-08-17 01:15:00,2023-08-17 01:30:00,1692234900,130.18,79.88,1.80,0.0,19156.11,8454.7,0.0,0.0,1.641
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692239400,2023-08-17 01:30:00,2023-08-17 01:45:00,1692235800,129.45,79.88,0.73,0.0,19156.11,8454.7,0.0,0.0,1.536
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692240300,2023-08-17 01:45:00,2023-08-17 02:00:00,1692236700,128.0,81.62,1.44,0.69,19156.11,8454.7,0.0,0.0,1.488
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692241200,2023-08-17 02:00:00,2023-08-17 02:15:00,1692237600,126.91,81.27,1.08,0.0,19156.11,8454.7,0.0,0.0,1.726
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692242100,2023-08-17 02:15:00,2023-08-17 02:30:00,1692238500,125.46,81.27,1.44,0.35,19156.11,8454.7,0.0,0.0,1.477
