key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,kwh
ABUJA_OFFICE_DG1_and_DG2_1692666000,2023-08-22 00:00:00,2023-08-22 00:15:00,1692662400,295.19,302.43,0,0,8457.0,8427.0,0.0,0.0,2.745
ABUJA_OFFICE_DG1_and_DG2_1692666900,2023-08-22 00:15:00,2023-08-22 00:30:00,1692663300,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.737
ABUJA_OFFICE_DG1_and_DG2_1692667800,2023-08-22 00:30:00,2023-08-22 00:45:00,1692664200,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.769
ABUJA_OFFICE_DG1_and_DG2_1692668700,2023-08-22 00:45:00,2023-08-22 01:00:00,1692665100,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.717
ABUJA_OFFICE_DG1_and_DG2_1692669600,2023-08-22 01:00:00,2023-08-22 01:15:00,1692666000,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.71
ABUJA_OFFICE_DG1_and_DG2_1692670500,2023-08-22 01:15:00,2023-08-22 01:30:00,1692666900,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.665
ABUJA_OFFICE_DG1_and_DG2_1692671400,2023-08-22 01:30:00,2023-08-22 01:45:00,1692667800,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.704
ABUJA_OFFICE_DG1_and_DG2_1692672300,2023-08-22 01:45:00,2023-08-22 02:00:00,1692668700,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.553
ABUJA_OFFICE_DG1_and_DG2_1692673200,2023-08-22 02:00:00,2023-08-22 02:15:00,1692669600,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.57
ABUJA_OFFICE_DG1_and_DG2_1692674100,2023-08-22 02:15:00,2023-08-22 02:30:00,1692670500,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.54
ABUJA_OFFICE_DG1_and_DG2_1692675000,2023-08-22 02:30:00,2023-08-22 02:45:00,1692671400,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.448
ABUJA_OFFICE_DG1_and_DG2_1692675900,2023-08-22 02:45:00,2023-08-22 03:00:00,1692672300,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.408
ABUJA_OFFICE_DG1_and_DG2_1692676800,2023-08-22 03:00:00,2023-08-22 03:15:00,1692673200,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.527
ABUJA_OFFICE_DG1_and_DG2_1692677700,2023-08-22 03:15:00,2023-08-22 03:30:00,1692674100,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.515
ABUJA_OFFICE_DG1_and_DG2_1692678600,2023-08-22 03:30:00,2023-08-22 03:45:00,1692675000,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.471
ABUJA_OFFICE_DG1_and_DG2_1692679500,2023-08-22 03:45:00,2023-08-22 04:00:00,1692675900,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.572
ABUJA_OFFICE_DG1_and_DG2_1692680400,2023-08-22 04:00:00,2023-08-22 04:15:00,1692676800,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.561
ABUJA_OFFICE_DG1_and_DG2_1692681300,2023-08-22 04:15:00,2023-08-22 04:30:00,1692677700,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.451
ABUJA_OFFICE_DG1_and_DG2_1692682200,2023-08-22 04:30:00,2023-08-22 04:45:00,1692678600,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.568
ABUJA_OFFICE_DG1_and_DG2_1692683100,2023-08-22 04:45:00,2023-08-22 05:00:00,1692679500,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.47
ABUJA_OFFICE_DG1_and_DG2_1692684000,2023-08-22 05:00:00,2023-08-22 05:15:00,1692680400,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.899
ABUJA_OFFICE_DG1_and_DG2_1692684900,2023-08-22 05:15:00,2023-08-22 05:30:00,1692681300,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,2.857
ABUJA_OFFICE_DG1_and_DG2_1692685800,2023-08-22 05:30:00,2023-08-22 05:45:00,1692682200,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,3.809
ABUJA_OFFICE_DG1_and_DG2_1692686700,2023-08-22 05:45:00,2023-08-22 06:00:00,1692683100,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,5.619
ABUJA_OFFICE_DG1_and_DG2_1692687600,2023-08-22 06:00:00,2023-08-22 06:15:00,1692684000,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,6.275
ABUJA_OFFICE_DG1_and_DG2_1692688500,2023-08-22 06:15:00,2023-08-22 06:30:00,1692684900,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,6.901
ABUJA_OFFICE_DG1_and_DG2_1692689400,2023-08-22 06:30:00,2023-08-22 06:45:00,1692685800,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,7.801
ABUJA_OFFICE_DG1_and_DG2_1692690300,2023-08-22 06:45:00,2023-08-22 07:00:00,1692686700,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,8.294
ABUJA_OFFICE_DG1_and_DG2_1692691200,2023-08-22 07:00:00,2023-08-22 07:15:00,1692687600,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,8.574
ABUJA_OFFICE_DG1_and_DG2_1692692100,2023-08-22 07:15:00,2023-08-22 07:30:00,1692688500,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,9.51
ABUJA_OFFICE_DG1_and_DG2_1692693000,2023-08-22 07:30:00,2023-08-22 07:45:00,1692689400,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,9.728
ABUJA_OFFICE_DG1_and_DG2_1692693900,2023-08-22 07:45:00,2023-08-22 08:00:00,1692690300,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,11.114
ABUJA_OFFICE_DG1_and_DG2_1692694800,2023-08-22 08:00:00,2023-08-22 08:15:00,1692691200,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,10.567
ABUJA_OFFICE_DG1_and_DG2_1692695700,2023-08-22 08:15:00,2023-08-22 08:30:00,1692692100,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,10.568
ABUJA_OFFICE_DG1_and_DG2_1692696600,2023-08-22 08:30:00,2023-08-22 08:45:00,1692693000,295.19,302.43,0.0,0.0,8457.0,8427.0,0.0,0.0,10.521
