key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,kwh
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693443600,2023-08-31 00:00:00,2023-08-31 00:15:00,1693440000,88.81,195.85,0,0,19156.11,8454.7,0.0,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693444500,2023-08-31 00:15:00,2023-08-31 00:30:00,1693440900,88.81,195.85,0.0,0.0,19156.11,8454.7,0.0,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693445400,2023-08-31 00:30:00,2023-08-31 00:45:00,1693441800,88.81,195.85,0.0,0.0,19156.11,8454.7,0.0,0.0,0.564
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693446300,2023-08-31 00:45:00,2023-08-31 01:00:00,1693442700,88.81,192.38,0.0,2.77,19156.11,8454.7,0.0,0.0,1.42
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693447200,2023-08-31 01:00:00,2023-08-31 01:15:00,1693443600,88.81,192.04,0.0,1.04,19156.11,8454.7,0.0,0.0,1.332
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693448100,2023-08-31 01:15:00,2023-08-31 01:30:00,1693444500,88.81,189.62,0.0,2.42,19156.11,8454.7,0.0,0.0,1.359
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693449000,2023-08-31 01:30:00,2023-08-31 01:45:00,1693445400,88.81,188.58,0.0,1.04,19156.11,8454.7,0.0,0.0,1.361
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693449900,2023-08-31 01:45:00,2023-08-31 02:00:00,1693446300,88.81,185.81,0.0,2.43,19156.11,8454.7,0.0,0.0,1.405
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693450800,2023-08-31 02:00:00,2023-08-31 02:15:00,1693447200,88.81,185.81,0.0,0.34,19156.11,8454.7,0.0,0.0,1.342
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693451700,2023-08-31 02:15:00,2023-08-31 02:30:00,1693448100,88.81,183.04,0.0,2.77,19156.11,8454.7,0.0,0.0,1.33
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693452600,2023-08-31 02:30:00,2023-08-31 02:45:00,1693449000,88.81,181.31,0.0,1.73,19156.11,8454.7,0.0,0.0,1.295
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1693453500,2023-08-31 02:45:00,2023-08-31 03:00:00,1693449900,88.81,179.92,0.0,1.39,19156.11,8454.7,0.0,0.0,1.314
