key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,kwh
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693789200,2023-09-04 00:00:00,2023-09-04 00:15:00,1693785600,77.01,23.4,0,0,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693790100,2023-09-04 00:15:00,2023-09-04 00:30:00,1693786500,77.01,22.9,0.0,0.5,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693791000,2023-09-04 00:30:00,2023-09-04 00:45:00,1693787400,77.01,22.57,0.0,0.33,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693791900,2023-09-04 00:45:00,2023-09-04 01:00:00,1693788300,77.01,22.15,0.0,0.33,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693792800,2023-09-04 01:00:00,2023-09-04 01:15:00,1693789200,77.01,21.58,0.0,0.65,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693793700,2023-09-04 01:15:00,2023-09-04 01:30:00,1693790100,77.01,21.24,0.0,0.33,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693794600,2023-09-04 01:30:00,2023-09-04 01:45:00,1693791000,77.01,20.91,0.0,0.32,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693795500,2023-09-04 01:45:00,2023-09-04 02:00:00,1693791900,77.01,20.42,0.0,0.41,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693796400,2023-09-04 02:00:00,2023-09-04 02:15:00,1693792800,77.01,19.92,0.0,0.58,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693797300,2023-09-04 02:15:00,2023-09-04 02:30:00,1693793700,77.01,19.59,0.0,0.33,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693798200,2023-09-04 02:30:00,2023-09-04 02:45:00,1693794600,77.01,19.01,0.0,0.5,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693799100,2023-09-04 02:45:00,2023-09-04 03:00:00,1693795500,77.01,18.6,0.0,0.49,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693800000,2023-09-04 03:00:00,2023-09-04 03:15:00,1693796400,77.01,18.27,0.0,0.33,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693800900,2023-09-04 03:15:00,2023-09-04 03:30:00,1693797300,77.01,17.85,0.0,0.33,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693801800,2023-09-04 03:30:00,2023-09-04 03:45:00,1693798200,77.01,17.27,0.0,0.66,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693802700,2023-09-04 03:45:00,2023-09-04 04:00:00,1693799100,77.01,16.94,0.0,0.32,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693803600,2023-09-04 04:00:00,2023-09-04 04:15:00,1693800000,77.01,16.53,0.0,0.33,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693804500,2023-09-04 04:15:00,2023-09-04 04:30:00,1693800900,77.01,16.28,0.0,0.33,2094.0,9946.0,0.0,0.0,0.0
UNHCR_LAGOS_OFFICE_DG1_and_DG2_1693805400,2023-09-04 04:30:00,2023-09-04 04:45:00,1693801800,77.01,16.28,0.0,0.0,2094.0,9946.0,0.0,0.0,0.0
