key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,kwh
CALABAR_BASE_TANK_1693875600,2023-09-05 00:00:00,2023-09-05 00:15:00,1693872000,55.66,74.35,0,0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693876500,2023-09-05 00:15:00,2023-09-05 00:30:00,1693872900,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693877400,2023-09-05 00:30:00,2023-09-05 00:45:00,1693873800,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693878300,2023-09-05 00:45:00,2023-09-05 01:00:00,1693874700,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693879200,2023-09-05 01:00:00,2023-09-05 01:15:00,1693875600,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693880100,2023-09-05 01:15:00,2023-09-05 01:30:00,1693876500,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693881000,2023-09-05 01:30:00,2023-09-05 01:45:00,1693877400,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693881900,2023-09-05 01:45:00,2023-09-05 02:00:00,1693878300,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693882800,2023-09-05 02:00:00,2023-09-05 02:15:00,1693879200,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.0
CALABAR_BASE_TANK_1693883700,2023-09-05 02:15:00,2023-09-05 02:30:00,1693880100,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.006
CALABAR_BASE_TANK_1693884600,2023-09-05 02:30:00,2023-09-05 02:45:00,1693881000,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.007
CALABAR_BASE_TANK_1693885500,2023-09-05 02:45:00,2023-09-05 03:00:00,1693881900,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.009
CALABAR_BASE_TANK_1693886400,2023-09-05 03:00:00,2023-09-05 03:15:00,1693882800,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.006
CALABAR_BASE_TANK_1693887300,2023-09-05 03:15:00,2023-09-05 03:30:00,1693883700,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.005
CALABAR_BASE_TANK_1693888200,2023-09-05 03:30:00,2023-09-05 03:45:00,1693884600,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.006
CALABAR_BASE_TANK_1693889100,2023-09-05 03:45:00,2023-09-05 04:00:00,1693885500,55.66,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.008
CALABAR_BASE_TANK_1693890000,2023-09-05 04:00:00,2023-09-05 04:15:00,1693886400,55.49,74.35,0.16,0.0,24.62,47.21,0.0,0.0,0.01
CALABAR_BASE_TANK_1693890900,2023-09-05 04:15:00,2023-09-05 04:30:00,1693887300,55.4,74.35,0.09,0.0,24.62,47.21,0.0,0.0,0.008
CALABAR_BASE_TANK_1693891800,2023-09-05 04:30:00,2023-09-05 04:45:00,1693888200,55.31,74.35,0.09,0.0,24.62,47.21,0.0,0.0,0.005
CALABAR_BASE_TANK_1693892700,2023-09-05 04:45:00,2023-09-05 05:00:00,1693889100,55.31,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.005
CALABAR_BASE_TANK_1693893600,2023-09-05 05:00:00,2023-09-05 05:15:00,1693890000,55.31,74.35,0.0,0.0,24.62,47.21,0.0,0.0,0.049
CALABAR_BASE_TANK_1693894500,2023-09-05 05:15:00,2023-09-05 05:30:00,1693890900,55.14,74.35,0.0,0.0,24.69,47.21,-0.07000000000000028,0.0,0.341
