key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,kwh
OGOJA_GUEST_HOUSE_1693962000,2023-09-06 00:00:00,2023-09-06 00:15:00,1693958400,136.43,188.65,0,0,200084.12,8974.66,0.0,0.0,0.0
OGOJA_GUEST_HOUSE_1693962900,2023-09-06 00:15:00,2023-09-06 00:30:00,1693959300,135.35,188.65,1.08,0.0,200084.37,8974.66,-0.25,0.0,0.0
OGOJA_GUEST_HOUSE_1693963800,2023-09-06 00:30:00,2023-09-06 00:45:00,1693960200,133.93,188.65,1.42,0.0,200084.62,8974.66,-0.5,0.0,0.0
OGOJA_GUEST_HOUSE_1693964700,2023-09-06 00:45:00,2023-09-06 01:00:00,1693961100,132.5,188.65,1.06,0.0,200084.87,8974.66,-0.75,0.0,0.0
OGOJA_GUEST_HOUSE_1693965600,2023-09-06 01:00:00,2023-09-06 01:15:00,1693962000,131.43,188.65,1.42,0.0,200085.12,8974.66,-1.0,0.0,0.0
OGOJA_GUEST_HOUSE_1693966500,2023-09-06 01:15:00,2023-09-06 01:30:00,1693962900,129.65,188.65,1.77,0.0,200085.37,8974.66,-1.25,0.0,0.0
OGOJA_GUEST_HOUSE_1693967400,2023-09-06 01:30:00,2023-09-06 01:45:00,1693963800,128.57,188.65,1.08,0.0,200085.62,8974.66,-1.5,0.0,0.0
OGOJA_GUEST_HOUSE_1693968300,2023-09-06 01:45:00,2023-09-06 02:00:00,1693964700,127.15,188.65,1.42,0.0,200085.87,8974.66,-1.75,0.0,0.0
OGOJA_GUEST_HOUSE_1693969200,2023-09-06 02:00:00,2023-09-06 02:15:00,1693965600,125.36,188.65,1.78,0.0,200086.12,8974.66,-2.0,0.0,0.0
OGOJA_GUEST_HOUSE_1693970100,2023-09-06 02:15:00,2023-09-06 02:30:00,1693966500,123.94,188.65,1.42,0.0,200086.37,8974.66,-2.25,0.0,0.0
OGOJA_GUEST_HOUSE_1693971000,2023-09-06 02:30:00,2023-09-06 02:45:00,1693967400,122.86,188.65,0.72,0.0,200086.62,8974.66,-2.5,0.0,0.0
OGOJA_GUEST_HOUSE_1693971900,2023-09-06 02:45:00,2023-09-06 03:00:00,1693968300,121.08,188.65,2.13,0.0,200086.87,8974.66,-2.75,0.0,0.0
OGOJA_GUEST_HOUSE_1693972800,2023-09-06 03:00:00,2023-09-06 03:15:00,1693969200,119.65,188.65,1.42,0.0,200087.12,8974.66,-3.0,0.0,0.294
OGOJA_GUEST_HOUSE_1693973700,2023-09-06 03:15:00,2023-09-06 03:30:00,1693970100,118.23,188.65,1.42,0.0,200087.37,8974.66,-3.25,0.0,2.084
OGOJA_GUEST_HOUSE_1693974600,2023-09-06 03:30:00,2023-09-06 03:45:00,1693971000,117.16,188.65,0.72,0.0,200087.62,8974.66,-3.5,0.0,2.145
OGOJA_GUEST_HOUSE_1693975500,2023-09-06 03:45:00,2023-09-06 04:00:00,1693971900,116.08,188.65,1.06,0.0,200087.87,8974.66,-3.75,0.0,1.943
OGOJA_GUEST_HOUSE_1693976400,2023-09-06 04:00:00,2023-09-06 04:15:00,1693972800,115.01,188.65,1.42,0.0,200088.12,8974.66,-4.0,0.0,2.03
OGOJA_GUEST_HOUSE_1693977300,2023-09-06 04:15:00,2023-09-06 04:30:00,1693973700,112.87,188.65,2.13,0.0,200088.37,8974.66,-4.25,0.0,2.115
OGOJA_GUEST_HOUSE_1693978200,2023-09-06 04:30:00,2023-09-06 04:45:00,1693974600,111.8,188.65,1.06,0.0,200088.62,8974.66,-4.5,0.0,2.045
OGOJA_GUEST_HOUSE_1693979100,2023-09-06 04:45:00,2023-09-06 05:00:00,1693975500,110.37,188.65,1.42,0.0,200088.87,8974.66,-4.75,0.0,2.01
OGOJA_GUEST_HOUSE_1693980000,2023-09-06 05:00:00,2023-09-06 05:15:00,1693976400,108.95,188.65,1.42,0.0,200089.12,8974.66,-5.0,0.0,2.075
OGOJA_GUEST_HOUSE_1693980900,2023-09-06 05:15:00,2023-09-06 05:30:00,1693977300,107.52,188.65,1.42,0.0,200089.37,8974.66,-5.25,0.0,1.842
OGOJA_GUEST_HOUSE_1693981800,2023-09-06 05:30:00,2023-09-06 05:45:00,1693978200,106.81,188.65,0.71,0.0,200089.62,8974.66,-5.5,0.0,2.148
OGOJA_GUEST_HOUSE_1693982700,2023-09-06 05:45:00,2023-09-06 06:00:00,1693979100,105.02,188.65,1.42,0.0,200089.87,8974.66,-5.75,0.0,2.63
OGOJA_GUEST_HOUSE_1693983600,2023-09-06 06:00:00,2023-09-06 06:15:00,1693980000,137.5,188.65,1.42,0.0,200090.12,8974.66,-6.0,0.0,2.654
OGOJA_GUEST_HOUSE_1693984500,2023-09-06 06:15:00,2023-09-06 06:30:00,1693980900,179.25,188.65,0.71,0.0,200090.37,8974.66,-6.25,0.0,4.491
OGOJA_GUEST_HOUSE_1693985400,2023-09-06 06:30:00,2023-09-06 06:45:00,1693981800,176.39,188.65,2.85,0.0,200090.62,8974.66,-6.5,0.0,4.268
OGOJA_GUEST_HOUSE_1693986300,2023-09-06 06:45:00,2023-09-06 07:00:00,1693982700,174.25,188.65,2.13,0.0,200090.87,8974.66,-6.75,0.0,4.086
OGOJA_GUEST_HOUSE_1693987200,2023-09-06 07:00:00,2023-09-06 07:15:00,1693983600,171.04,188.65,3.20,0.0,200091.12,8974.66,-7.0,0.0,3.156
OGOJA_GUEST_HOUSE_1693988100,2023-09-06 07:15:00,2023-09-06 07:30:00,1693984500,169.26,188.65,1.42,0.0,200091.37,8974.66,-7.25,0.0,3.124
