key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,kwh
TARABA_DG1_And_DG2_1693962000,2023-09-06 00:00:00,2023-09-06 00:15:00,1693958400,161.71,68.07,0,0,6945.13,6566.36,0.0,0.0,0.0
TARABA_DG1_And_DG2_1693962900,2023-09-06 00:15:00,2023-09-06 00:30:00,1693959300,160.99,68.07,0.0,0.0,6945.13,6566.61,0.0,-0.25,0.0
TARABA_DG1_And_DG2_1693963800,2023-09-06 00:30:00,2023-09-06 00:45:00,1693960200,159.9,68.07,1.81,0.0,6945.13,6566.86,0.0,-0.5,0.0
TARABA_DG1_And_DG2_1693964700,2023-09-06 00:45:00,2023-09-06 01:00:00,1693961100,158.81,68.07,1.08,0.0,6945.13,6567.11,0.0,-0.75,0.0
TARABA_DG1_And_DG2_1693965600,2023-09-06 01:00:00,2023-09-06 01:15:00,1693962000,157.72,68.07,1.08,0.0,6945.13,6567.36,0.0,-1.0,0.0
TARABA_DG1_And_DG2_1693966500,2023-09-06 01:15:00,2023-09-06 01:30:00,1693962900,157.0,68.07,0.72,0.0,6945.13,6567.61,0.0,-1.25,0.0
TARABA_DG1_And_DG2_1693967400,2023-09-06 01:30:00,2023-09-06 01:45:00,1693963800,156.28,68.07,0.72,0.0,6945.13,6567.86,0.0,-1.5,0.0
TARABA_DG1_And_DG2_1693968300,2023-09-06 01:45:00,2023-09-06 02:00:00,1693964700,155.55,68.07,0.73,0.0,6945.13,6568.11,0.0,-1.75,0.0
TARABA_DG1_And_DG2_1693969200,2023-09-06 02:00:00,2023-09-06 02:15:00,1693965600,155.19,68.07,0.36,0.0,6945.13,6568.36,0.0,-2.0,0.0
TARABA_DG1_And_DG2_1693970100,2023-09-06 02:15:00,2023-09-06 02:30:00,1693966500,153.38,68.07,1.81,0.0,6945.13,6568.61,0.0,-2.25,0.0
TARABA_DG1_And_DG2_1693971000,2023-09-06 02:30:00,2023-09-06 02:45:00,1693967400,152.65,68.07,0.73,0.0,6945.13,6568.86,0.0,-2.5,0.0
TARABA_DG1_And_DG2_1693971900,2023-09-06 02:45:00,2023-09-06 03:00:00,1693968300,151.56,68.07,1.08,0.0,6945.13,6569.11,0.0,-2.75,0.0
TARABA_DG1_And_DG2_1693972800,2023-09-06 03:00:00,2023-09-06 03:15:00,1693969200,150.84,68.07,0.36,0.0,6945.13,6569.36,0.0,-3.0,0.0
TARABA_DG1_And_DG2_1693973700,2023-09-06 03:15:00,2023-09-06 03:30:00,1693970100,150.11,68.07,1.08,0.0,6945.13,6569.61,0.0,-3.25,0.0
TARABA_DG1_And_DG2_1693974600,2023-09-06 03:30:00,2023-09-06 03:45:00,1693971000,149.02,68.07,0.72,0.0,6945.13,6569.86,0.0,-3.5,0.0
TARABA_DG1_And_DG2_1693975500,2023-09-06 03:45:00,2023-09-06 04:00:00,1693971900,148.3,68.07,0.73,0.0,6945.13,6570.11,0.0,-3.75,0.0
TARABA_DG1_And_DG2_1693976400,2023-09-06 04:00:00,2023-09-06 04:15:00,1693972800,147.57,68.07,0.72,0.0,6945.13,6570.36,0.0,-4.0,0.0
TARABA_DG1_And_DG2_1693977300,2023-09-06 04:15:00,2023-09-06 04:30:00,1693973700,146.12,68.07,1.81,0.0,6945.13,6570.61,0.0,-4.25,0.0
TARABA_DG1_And_DG2_1693978200,2023-09-06 04:30:00,2023-09-06 04:45:00,1693974600,145.04,68.07,1.08,0.0,6945.13,6570.86,0.0,-4.5,0.0
TARABA_DG1_And_DG2_1693979100,2023-09-06 04:45:00,2023-09-06 05:00:00,1693975500,144.31,68.07,0.73,0.0,6945.13,6571.11,0.0,-4.75,0.0
TARABA_DG1_And_DG2_1693980000,2023-09-06 05:00:00,2023-09-06 05:15:00,1693976400,143.22,68.07,1.08,0.0,6945.13,6571.36,0.0,-5.0,0.0
TARABA_DG1_And_DG2_1693980900,2023-09-06 05:15:00,2023-09-06 05:30:00,1693977300,142.14,68.07,1.08,0.0,6945.13,6571.61,0.0,-5.25,0.0
TARABA_DG1_And_DG2_1693981800,2023-09-06 05:30:00,2023-09-06 05:45:00,1693978200,141.41,68.07,0.73,0.0,6945.13,6571.86,0.0,-5.5,0.0
TARABA_DG1_And_DG2_1693982700,2023-09-06 05:45:00,2023-09-06 06:00:00,1693979100,141.05,68.07,0.36,0.0,6945.13,6572.11,0.0,-5.75,0.0
TARABA_DG1_And_DG2_1693983600,2023-09-06 06:00:00,2023-09-06 06:15:00,1693980000,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693984500,2023-09-06 06:15:00,2023-09-06 06:30:00,1693980900,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693985400,2023-09-06 06:30:00,2023-09-06 06:45:00,1693981800,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693986300,2023-09-06 06:45:00,2023-09-06 07:00:00,1693982700,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693987200,2023-09-06 07:00:00,2023-09-06 07:15:00,1693983600,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693988100,2023-09-06 07:15:00,2023-09-06 07:30:00,1693984500,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693989000,2023-09-06 07:30:00,2023-09-06 07:45:00,1693985400,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693989900,2023-09-06 07:45:00,2023-09-06 08:00:00,1693986300,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693990800,2023-09-06 08:00:00,2023-09-06 08:15:00,1693987200,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693991700,2023-09-06 08:15:00,2023-09-06 08:30:00,1693988100,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693992600,2023-09-06 08:30:00,2023-09-06 08:45:00,1693989000,141.05,68.07,0.0,0.0,6945.13,6572.14,0.0,-5.780000000000655,0.0
TARABA_DG1_And_DG2_1693993500,2023-09-06 08:45:00,2023-09-06 09:00:00,1693989900,141.05,68.07,0.0,0.0,6945.13,6572.19,0.0,-5.829999999999927,0.0
TARABA_DG1_And_DG2_1693994400,2023-09-06 09:00:00,2023-09-06 09:15:00,1693990800,140.69,68.07,0.36,0.0,6945.13,6572.34,0.0,-5.980000000000473,0.0
TARABA_DG1_And_DG2_1693995300,2023-09-06 09:15:00,2023-09-06 09:30:00,1693991700,140.69,68.07,0.0,0.0,6945.13,6572.34,0.0,-5.980000000000473,0.0
TARABA_DG1_And_DG2_1693996200,2023-09-06 09:30:00,2023-09-06 09:45:00,1693992600,140.69,68.07,0.0,0.0,6945.13,6572.34,0.0,-5.980000000000473,0.0
TARABA_DG1_And_DG2_1693997100,2023-09-06 09:45:00,2023-09-06 10:00:00,1693993500,140.69,68.07,0.0,0.0,6945.13,6572.34,0.0,-5.980000000000473,0.0
TARABA_DG1_And_DG2_1693998000,2023-09-06 10:00:00,2023-09-06 10:15:00,1693994400,140.69,68.07,0.0,0.0,6945.13,6572.34,0.0,-5.980000000000473,0.0
TARABA_DG1_And_DG2_1693998900,2023-09-06 10:15:00,2023-09-06 10:30:00,1693995300,140.69,68.07,0.0,0.0,6945.13,6572.34,0.0,-5.980000000000473,0.0
TARABA_DG1_And_DG2_1693999800,2023-09-06 10:30:00,2023-09-06 10:45:00,1693996200,140.69,68.07,0.0,0.0,6945.13,6572.34,0.0,-5.980000000000473,0.0
TARABA_DG1_And_DG2_1694000700,2023-09-06 10:45:00,2023-09-06 11:00:00,1693997100,140.69,68.07,0.0,0.0,6945.13,6572.34,0.0,-5.980000000000473,0.0
