key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,kwh
ADIKPO_1694048400,2023-09-07 00:00:00,2023-09-07 00:15:00,1694044800,79.83,159.27,0,0,11179.68,10063.05,0.0,0.0,1.018
ADIKPO_1694049300,2023-09-07 00:15:00,2023-09-07 00:30:00,1694045700,79.83,159.27,0.0,0.0,11179.68,10063.05,0.0,0.0,1.049
ADIKPO_1694050200,2023-09-07 00:30:00,2023-09-07 00:45:00,1694046600,79.83,159.27,0.0,0.0,11179.68,10063.05,0.0,0.0,1.036
ADIKPO_1694051100,2023-09-07 00:45:00,2023-09-07 01:00:00,1694047500,79.83,159.27,0.0,0.0,11179.68,10063.05,0.0,0.0,1.175
ADIKPO_1694052000,2023-09-07 01:00:00,2023-09-07 01:15:00,1694048400,79.83,159.27,0.0,0.0,11179.68,10063.05,0.0,0.0,1.087
ADIKPO_1694052900,2023-09-07 01:15:00,2023-09-07 01:30:00,1694049300,79.83,159.27,0.0,0.0,11179.68,10063.05,0.0,0.0,1.048
ADIKPO_1694053800,2023-09-07 01:30:00,2023-09-07 01:45:00,1694050200,79.83,159.27,0.0,0.0,11179.68,10063.05,0.0,0.0,1.068
ADIKPO_1694054700,2023-09-07 01:45:00,2023-09-07 02:00:00,1694051100,79.83,159.27,0.0,0.0,11179.68,10063.05,0.0,0.0,1.01
ADIKPO_1694055600,2023-09-07 02:00:00,2023-09-07 02:15:00,1694052000,79.83,159.27,0.0,0.0,11179.68,10063.05,0.0,0.0,0.995
ADIKPO_1694056500,2023-09-07 02:15:00,2023-09-07 02:30:00,1694052900,79.83,159.27,0.0,0.0,11179.78,10063.05,-0.1000000000003638,0.0,0.981
ADIKPO_1694057400,2023-09-07 02:30:00,2023-09-07 02:45:00,1694053800,79.83,159.27,0.0,0.0,11179.82,10063.05,-0.13999999999941792,0.0,0.985
ADIKPO_1694058300,2023-09-07 02:45:00,2023-09-07 03:00:00,1694054700,79.83,159.27,0.0,0.0,11179.82,10063.05,-0.13999999999941792,0.0,1.052
ADIKPO_1694059200,2023-09-07 03:00:00,2023-09-07 03:15:00,1694055600,79.83,159.27,0.0,0.0,11179.82,10063.05,-0.13999999999941792,0.0,1.001
ADIKPO_1694060100,2023-09-07 03:15:00,2023-09-07 03:30:00,1694056500,79.83,159.27,0.0,0.0,11179.82,10063.05,-0.13999999999941792,0.0,1.042
ADIKPO_1694061000,2023-09-07 03:30:00,2023-09-07 03:45:00,1694057400,79.83,159.27,0.0,0.0,11179.82,10063.05,-0.13999999999941792,0.0,1.024
ADIKPO_1694061900,2023-09-07 03:45:00,2023-09-07 04:00:00,1694058300,79.83,159.27,0.0,0.0,11179.82,10063.05,-0.13999999999941792,0.0,0.996
ADIKPO_1694062800,2023-09-07 04:00:00,2023-09-07 04:15:00,1694059200,79.83,159.27,0.0,0.0,11179.82,10063.05,-0.13999999999941792,0.0,1.019
ADIKPO_1694063700,2023-09-07 04:15:00,2023-09-07 04:30:00,1694060100,79.83,159.27,0.0,0.0,11179.82,10063.05,-0.13999999999941792,0.0,1.02
