key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ADIKPO_1694307600,2023-09-10 00:00:00,2023-09-10 00:15:00,1694304000,88.3,108.14,1.83,0.34,11220.98,10085.21,-2.219999999999345,-0.05999999999949068,0.897
ADIKPO_1694308500,2023-09-10 00:15:00,2023-09-10 00:30:00,1694304900,88.3,107.8,0.0,2.05,11220.98,10085.46,-2.219999999999345,-0.3099999999994907,0.85
ADIKPO_1694309400,2023-09-10 00:30:00,2023-09-10 00:45:00,1694305800,88.3,106.43,0.0,2.05,11220.98,10085.71,-2.219999999999345,-0.5599999999994907,0.929
ADIKPO_1694310300,2023-09-10 00:45:00,2023-09-10 01:00:00,1694306700,87.93,106.43,0.37,0.0,11221.22,10085.73,-2.459999999999127,-0.5799999999999272,0.89
ADIKPO_1694311200,2023-09-10 01:00:00,2023-09-10 01:15:00,1694307600,86.83,106.43,0.74,0.0,11221.47,10085.73,-2.709999999999127,-0.5799999999999272,0.947
ADIKPO_1694312100,2023-09-10 01:15:00,2023-09-10 01:30:00,1694308500,86.09,106.43,1.1,0.0,11221.72,10085.73,-2.959999999999127,-0.5799999999999272,0.963
ADIKPO_1694313000,2023-09-10 01:30:00,2023-09-10 01:45:00,1694309400,85.35,106.43,0.74,0.0,11221.97,10085.73,-3.209999999999127,-0.5799999999999272,0.941
ADIKPO_1694313900,2023-09-10 01:45:00,2023-09-10 02:00:00,1694310300,83.51,106.43,1.1,0.0,11222.22,10085.73,-3.459999999999127,-0.5799999999999272,0.952
ADIKPO_1694314800,2023-09-10 02:00:00,2023-09-10 02:15:00,1694311200,83.14,106.43,2.58,0.0,11222.47,10085.73,-3.709999999999127,-0.5799999999999272,0.964
ADIKPO_1694315700,2023-09-10 02:15:00,2023-09-10 02:30:00,1694312100,82.77,106.43,0.37,0.0,11222.72,10085.73,-3.959999999999127,-0.5799999999999272,0.993
ADIKPO_1694316600,2023-09-10 02:30:00,2023-09-10 02:45:00,1694313000,82.04,106.43,0.73,0.0,11222.97,10085.73,-4.209999999999127,-0.5799999999999272,0.921
ADIKPO_1694317500,2023-09-10 02:45:00,2023-09-10 03:00:00,1694313900,80.93,106.43,1.10,0.0,11223.22,10085.73,-4.459999999999127,-0.5799999999999272,0.962
ADIKPO_1694318400,2023-09-10 03:00:00,2023-09-10 03:15:00,1694314800,80.56,106.43,0.37,0.0,11223.45,10085.78,-4.690000000000509,-0.6300000000010186,0.909
ADIKPO_1694319300,2023-09-10 03:15:00,2023-09-10 03:30:00,1694315700,79.83,106.43,0.73,0.0,11223.45,10086.03,-4.690000000000509,-0.8800000000010186,0.911
ADIKPO_1694320200,2023-09-10 03:30:00,2023-09-10 03:45:00,1694316600,79.83,105.07,0.0,1.36,11223.45,10086.28,-4.690000000000509,-1.1300000000010186,0.935
ADIKPO_1694321100,2023-09-10 03:45:00,2023-09-10 04:00:00,1694317500,79.83,104.39,0.0,0.68,11223.45,10086.53,-4.690000000000509,-1.3800000000010186,0.92
ADIKPO_1694322000,2023-09-10 04:00:00,2023-09-10 04:15:00,1694318400,79.83,103.02,0.0,1.37,11223.45,10086.78,-4.690000000000509,-1.6300000000010186,0.989
ADIKPO_1694322900,2023-09-10 04:15:00,2023-09-10 04:30:00,1694319300,79.83,103.02,0.0,0.0,11223.45,10087.03,-4.690000000000509,-1.8800000000010186,0.942
ADIKPO_1694323800,2023-09-10 04:30:00,2023-09-10 04:45:00,1694320200,79.83,102.0,0.0,1.02,11223.45,10087.28,-4.690000000000509,-2.1300000000010186,0.973
ADIKPO_1694324700,2023-09-10 04:45:00,2023-09-10 05:00:00,1694321100,79.83,101.66,0.0,0.34,11223.45,10087.53,-4.690000000000509,-2.3800000000010186,0.944
ADIKPO_1694325600,2023-09-10 05:00:00,2023-09-10 05:15:00,1694322000,79.83,100.64,0.0,1.02,11223.45,10087.78,-4.690000000000509,-2.6300000000010186,0.914
ADIKPO_1694326500,2023-09-10 05:15:00,2023-09-10 05:30:00,1694322900,79.83,99.27,0.0,1.37,11223.45,10088.03,-4.690000000000509,-2.8800000000010186,0.873
ADIKPO_1694327400,2023-09-10 05:30:00,2023-09-10 05:45:00,1694323800,79.83,98.93,0.0,0.0,11223.45,10088.27,-4.690000000000509,-3.1200000000008004,0.779
ADIKPO_1694328300,2023-09-10 05:45:00,2023-09-10 06:00:00,1694324700,79.83,98.25,0.0,1.02,11223.45,10088.52,-4.690000000000509,-3.3700000000008004,0.983
ADIKPO_1694329200,2023-09-10 06:00:00,2023-09-10 06:15:00,1694325600,79.83,97.91,0.0,0.34,11223.45,10088.78,-4.690000000000509,-3.6300000000010186,0.907
ADIKPO_1694330100,2023-09-10 06:15:00,2023-09-10 06:30:00,1694326500,79.83,96.89,0.0,1.02,11223.45,10089.02,-4.690000000000509,-3.8700000000008004,0.856
ADIKPO_1694331000,2023-09-10 06:30:00,2023-09-10 06:45:00,1694327400,79.83,96.55,0.0,0.34,11223.45,10089.28,-4.690000000000509,-4.130000000001019,0.923
ADIKPO_1694331900,2023-09-10 06:45:00,2023-09-10 07:00:00,1694328300,79.83,95.52,0.0,1.03,11223.45,10089.52,-4.690000000000509,-4.3700000000008,1.005
ADIKPO_1694332800,2023-09-10 07:00:00,2023-09-10 07:15:00,1694329200,79.83,94.84,0.0,0.34,11223.45,10089.78,-4.690000000000509,-4.630000000001019,1.247
ADIKPO_1694333700,2023-09-10 07:15:00,2023-09-10 07:30:00,1694330100,79.83,93.14,0.0,2.04,11223.45,10090.02,-4.690000000000509,-4.8700000000008,1.29
ADIKPO_1694334600,2023-09-10 07:30:00,2023-09-10 07:45:00,1694331000,79.83,93.14,0.0,0.0,11223.45,10090.28,-4.690000000000509,-5.130000000001019,1.237
ADIKPO_1694335500,2023-09-10 07:45:00,2023-09-10 08:00:00,1694331900,79.83,91.77,0.0,1.37,11223.45,10090.52,-4.690000000000509,-5.3700000000008,1.299
ADIKPO_1694336400,2023-09-10 08:00:00,2023-09-10 08:15:00,1694332800,79.83,91.43,0.0,0.34,11223.45,10090.78,-4.690000000000509,-5.630000000001019,1.226
ADIKPO_1694337300,2023-09-10 08:15:00,2023-09-10 08:30:00,1694333700,79.83,90.75,0.0,0.68,11223.45,10091.02,-4.690000000000509,-5.8700000000008,1.291
ADIKPO_1694338200,2023-09-10 08:30:00,2023-09-10 08:45:00,1694334600,79.83,89.73,0.0,1.02,11223.45,10091.28,-4.690000000000509,-6.130000000001019,1.338
ADIKPO_1694339100,2023-09-10 08:45:00,2023-09-10 09:00:00,1694335500,79.83,88.36,0.0,1.03,11223.45,10091.52,-4.690000000000509,-6.3700000000008,1.277
ADIKPO_1694340000,2023-09-10 09:00:00,2023-09-10 09:15:00,1694336400,79.46,88.36,0.37,2.73,11223.6,10091.65,-4.8400000000001455,-6.5,1.164
ADIKPO_1694340900,2023-09-10 09:15:00,2023-09-10 09:30:00,1694337300,79.46,88.36,0.0,0.0,11223.85,10091.65,-5.0900000000001455,-6.5,1.38
ADIKPO_1694341800,2023-09-10 09:30:00,2023-09-10 09:45:00,1694338200,77.62,88.36,1.46,0.0,11224.1,10091.65,-5.3400000000001455,-6.5,1.373
ADIKPO_1694342700,2023-09-10 09:45:00,2023-09-10 10:00:00,1694339100,76.51,88.36,1.48,0.0,11224.35,10091.65,-5.5900000000001455,-6.5,1.611
ADIKPO_1694343600,2023-09-10 10:00:00,2023-09-10 10:15:00,1694340000,75.41,88.36,1.1,0.0,11224.6,10091.65,-5.8400000000001455,-6.5,1.539
ADIKPO_1694344500,2023-09-10 10:15:00,2023-09-10 10:30:00,1694340900,74.67,88.36,0.74,0.0,11224.85,10091.65,-6.0900000000001455,-6.5,1.539
ADIKPO_1694345400,2023-09-10 10:30:00,2023-09-10 10:45:00,1694341800,73.94,88.36,0.37,0.0,11225.1,10091.67,-6.3400000000001455,-6.520000000000437,1.698
ADIKPO_1694346300,2023-09-10 10:45:00,2023-09-10 11:00:00,1694342700,72.46,88.36,1.84,0.0,11225.35,10091.67,-6.5900000000001455,-6.520000000000437,1.776
ADIKPO_1694347200,2023-09-10 11:00:00,2023-09-10 11:15:00,1694343600,71.36,88.36,0.73,0.0,11225.6,10091.67,-6.8400000000001455,-6.520000000000437,1.757
