key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh
CALABAR_BASE_TANK_1694394000,2023-09-11 00:00:00,2023-09-11 00:15:00,1694390400,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.224
CALABAR_BASE_TANK_1694394900,2023-09-11 00:15:00,2023-09-11 00:30:00,1694391300,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694395800,2023-09-11 00:30:00,2023-09-11 00:45:00,1694392200,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694396700,2023-09-11 00:45:00,2023-09-11 01:00:00,1694393100,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694397600,2023-09-11 01:00:00,2023-09-11 01:15:00,1694394000,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694398500,2023-09-11 01:15:00,2023-09-11 01:30:00,1694394900,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694399400,2023-09-11 01:30:00,2023-09-11 01:45:00,1694395800,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694400300,2023-09-11 01:45:00,2023-09-11 02:00:00,1694396700,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694401200,2023-09-11 02:00:00,2023-09-11 02:15:00,1694397600,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694402100,2023-09-11 02:15:00,2023-09-11 02:30:00,1694398500,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694403000,2023-09-11 02:30:00,2023-09-11 02:45:00,1694399400,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.257
CALABAR_BASE_TANK_1694403900,2023-09-11 02:45:00,2023-09-11 03:00:00,1694400300,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.215
CALABAR_BASE_TANK_1694404800,2023-09-11 03:00:00,2023-09-11 03:15:00,1694401200,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.236
CALABAR_BASE_TANK_1694405700,2023-09-11 03:15:00,2023-09-11 03:30:00,1694402100,44.68,63.25,0.0,0.0,41.77,89.44,0.0,-0.21999999999999886,0.0,0.265
