key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
TARABA_DG1_And_DG2_1695603600,2023-09-25 00:00:00,2023-09-25 00:15:00,1695600000,73.26,230.47,1.44,0.0,7002.21,6847.29,0.0,-2.25,0.0
TARABA_DG1_And_DG2_1695604500,2023-09-25 00:15:00,2023-09-25 00:30:00,1695600900,72.54,230.47,0.72,0.0,7002.21,6847.54,0.0,-2.5,0.0
TARABA_DG1_And_DG2_1695605400,2023-09-25 00:30:00,2023-09-25 00:45:00,1695601800,71.09,230.47,1.45,0.0,7002.21,6847.79,0.0,-2.75,0.0
TARABA_DG1_And_DG2_1695606300,2023-09-25 00:45:00,2023-09-25 01:00:00,1695602700,70.36,230.47,0.73,0.0,7002.21,6848.04,0.0,-3.0,0.0
TARABA_DG1_And_DG2_1695607200,2023-09-25 01:00:00,2023-09-25 01:15:00,1695603600,69.64,230.47,0.72,0.0,7002.21,6848.29,0.0,-3.25,0.0
TARABA_DG1_And_DG2_1695608100,2023-09-25 01:15:00,2023-09-25 01:30:00,1695604500,68.55,230.47,1.08,0.0,7002.21,6848.54,0.0,-3.5,0.0
TARABA_DG1_And_DG2_1695609000,2023-09-25 01:30:00,2023-09-25 01:45:00,1695605400,67.46,230.47,1.08,0.0,7002.21,6848.79,0.0,-3.75,0.0
TARABA_DG1_And_DG2_1695609900,2023-09-25 01:45:00,2023-09-25 02:00:00,1695606300,67.1,230.47,0.36,0.0,7002.21,6849.04,0.0,-4.0,0.0
TARABA_DG1_And_DG2_1695610800,2023-09-25 02:00:00,2023-09-25 02:15:00,1695607200,66.01,230.47,1.08,0.0,7002.21,6849.29,0.0,-4.25,0.0
TARABA_DG1_And_DG2_1695611700,2023-09-25 02:15:00,2023-09-25 02:30:00,1695608100,64.92,230.47,1.08,0.0,7002.21,6849.54,0.0,-4.5,0.0
TARABA_DG1_And_DG2_1695612600,2023-09-25 02:30:00,2023-09-25 02:45:00,1695609000,63.84,230.47,0.72,0.0,7002.21,6849.79,0.0,-4.75,0.0
TARABA_DG1_And_DG2_1695613500,2023-09-25 02:45:00,2023-09-25 03:00:00,1695609900,63.48,230.47,0.72,0.0,7002.21,6850.04,0.0,-5.0,0.0
TARABA_DG1_And_DG2_1695614400,2023-09-25 03:00:00,2023-09-25 03:15:00,1695610800,62.02,230.47,1.46,0.0,7002.21,6850.29,0.0,-5.25,0.0
TARABA_DG1_And_DG2_1695615300,2023-09-25 03:15:00,2023-09-25 03:30:00,1695611700,61.3,230.47,0.72,0.0,7002.21,6850.54,0.0,-5.5,0.0
TARABA_DG1_And_DG2_1695616200,2023-09-25 03:30:00,2023-09-25 03:45:00,1695612600,60.58,230.47,0.36,0.0,7002.21,6850.79,0.0,-5.75,0.0
TARABA_DG1_And_DG2_1695617100,2023-09-25 03:45:00,2023-09-25 04:00:00,1695613500,59.85,230.47,1.08,0.0,7002.21,6851.04,0.0,-6.0,0.0
TARABA_DG1_And_DG2_1695618000,2023-09-25 04:00:00,2023-09-25 04:15:00,1695614400,59.49,230.47,0.36,0.0,7002.21,6851.29,0.0,-6.25,0.0
TARABA_DG1_And_DG2_1695618900,2023-09-25 04:15:00,2023-09-25 04:30:00,1695615300,58.04,230.47,1.44,0.0,7002.21,6851.54,0.0,-6.5,0.0
TARABA_DG1_And_DG2_1695619800,2023-09-25 04:30:00,2023-09-25 04:45:00,1695616200,57.31,230.47,0.36,0.0,7002.21,6851.79,0.0,-6.75,0.0
TARABA_DG1_And_DG2_1695620700,2023-09-25 04:45:00,2023-09-25 05:00:00,1695617100,56.59,230.47,1.08,0.0,7002.21,6851.92,0.0,-6.880000000000109,0.0
TARABA_DG1_And_DG2_1695621600,2023-09-25 05:00:00,2023-09-25 05:15:00,1695618000,56.59,230.47,0.0,0.0,7002.21,6851.92,0.0,-6.880000000000109,0.0
TARABA_DG1_And_DG2_1695622500,2023-09-25 05:15:00,2023-09-25 05:30:00,1695618900,56.59,230.47,0.0,0.0,7002.21,6851.92,0.0,-6.880000000000109,0.0
TARABA_DG1_And_DG2_1695623400,2023-09-25 05:30:00,2023-09-25 05:45:00,1695619800,56.59,230.47,0.0,0.0,7002.21,6851.92,0.0,-6.880000000000109,0.0
TARABA_DG1_And_DG2_1695624300,2023-09-25 05:45:00,2023-09-25 06:00:00,1695620700,56.59,230.47,0.0,0.0,7002.21,6851.92,0.0,-6.880000000000109,0.0
TARABA_DG1_And_DG2_1695625200,2023-09-25 06:00:00,2023-09-25 06:15:00,1695621600,56.59,230.47,0.0,0.0,7002.21,6851.92,0.0,-6.880000000000109,0.0
TARABA_DG1_And_DG2_1695626100,2023-09-25 06:15:00,2023-09-25 06:30:00,1695622500,56.59,230.47,0.0,0.0,7002.21,6851.92,0.0,-6.880000000000109,0.0
TARABA_DG1_And_DG2_1695627000,2023-09-25 06:30:00,2023-09-25 06:45:00,1695623400,56.59,230.47,0.0,0.0,7002.21,6851.92,0.0,-6.880000000000109,0.0
