key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ADIKPO_1698710400_OFFICE-00980AAF,2023-10-31 00:00:00,2023-10-31 00:15:00,1698710400,43,130.64,0.0,0.0,11,870.42,-11,-870.42,1.027
ADIKPO_1698711300_OFFICE-00980AAF,2023-10-31 00:15:00,2023-10-31 00:30:00,1698711300,43,130.64,0.0,0.0,11,870.67,-11,-870.67,1.022
ADIKPO_1698712200_OFFICE-00980AAF,2023-10-31 00:30:00,2023-10-31 00:45:00,1698712200,43,130.64,0.0,0.0,11,870.92,-11,-870.92,0.998
ADIKPO_1698713100_OFFICE-00980AAF,2023-10-31 00:45:00,2023-10-31 01:00:00,1698713100,43,130.64,0.0,0.0,11,871.17,-11,-871.17,1.009
ADIKPO_1698714000_OFFICE-00980AAF,2023-10-31 01:00:00,2023-10-31 01:15:00,1698714000,43,130.64,0.0,0.0,11,871.42,-11,-871.42,0.986
ADIKPO_1698714900_OFFICE-00980AAF,2023-10-31 01:15:00,2023-10-31 01:30:00,1698714900,43,130.64,0.0,0.0,11,871.67,-11,-871.67,1.008
ADIKPO_1698715800_OFFICE-00980AAF,2023-10-31 01:30:00,2023-10-31 01:45:00,1698715800,43,130.64,0.0,0.0,11,871.92,-11,-871.92,0.989
ADIKPO_1698716700_OFFICE-00980AAF,2023-10-31 01:45:00,2023-10-31 02:00:00,1698716700,43,130.64,0.0,0.0,11,872.17,-11,-872.17,1.011
ADIKPO_1698717600_OFFICE-00980AAF,2023-10-31 02:00:00,2023-10-31 02:15:00,1698717600,43,130.64,0.0,0.0,11,872.42,-11,-872.42,0.996
ADIKPO_1698718500_OFFICE-00980AAF,2023-10-31 02:15:00,2023-10-31 02:30:00,1698718500,43,130.64,0.0,0.0,11,872.67,-11,-872.67,0.79
ADIKPO_1698719400_OFFICE-00980AAF,2023-10-31 02:30:00,2023-10-31 02:45:00,1698719400,43,130.64,0.0,0.0,11,872.92,-11,-872.92,0.0
ADIKPO_1698720300_OFFICE-00980AAF,2023-10-31 02:45:00,2023-10-31 03:00:00,1698720300,44.1,130.64,0.0,0.0,11,873.17,-11,-873.17,0.0
ADIKPO_1698721200_OFFICE-00980AAF,2023-10-31 03:00:00,2023-10-31 03:15:00,1698721200,44.1,130.64,0.37,0.0,11,873.44,-11,-873.44,0.0
ADIKPO_1698722100_OFFICE-00980AAF,2023-10-31 03:15:00,2023-10-31 03:30:00,1698722100,43.37,130.64,0.73,0.0,11,873.68,-11,-873.68,0.0
ADIKPO_1698723000_OFFICE-00980AAF,2023-10-31 03:30:00,2023-10-31 03:45:00,1698723000,44.1,130.64,0.74,0.0,11,873.94,-11,-873.94,0.0
ADIKPO_1698723900_OFFICE-00980AAF,2023-10-31 03:45:00,2023-10-31 04:00:00,1698723900,44.1,130.64,0.0,0.0,11,874.18,-11,-874.18,0.0
ADIKPO_1698724800_OFFICE-00980AAF,2023-10-31 04:00:00,2023-10-31 04:15:00,1698724800,44.1,130.64,0.0,0.0,11,874.44,-11,-874.44,0.0
ADIKPO_1698725700_OFFICE-00980AAF,2023-10-31 04:15:00,2023-10-31 04:30:00,1698725700,44.1,130.64,0.0,0.0,11,874.68,-11,-874.68,0.0
ADIKPO_1698726600_OFFICE-00980AAF,2023-10-31 04:30:00,2023-10-31 04:45:00,1698726600,44.1,130.64,0.0,0.0,11,874.94,-11,-874.94,0.0
ADIKPO_1698727500_OFFICE-00980AAF,2023-10-31 04:45:00,2023-10-31 05:00:00,1698727500,44.1,130.64,0.0,0.0,11,875.19,-11,-875.19,0.0
ADIKPO_1698728400_OFFICE-00980AAF,2023-10-31 05:00:00,2023-10-31 05:15:00,1698728400,45.21,130.64,0.37,0.0,11,875.44,-11,-875.44,0.0
ADIKPO_1698729300_OFFICE-00980AAF,2023-10-31 05:15:00,2023-10-31 05:30:00,1698729300,44.47,130.64,0.74,0.0,11,875.69,-11,-875.69,0.0
ADIKPO_1698730200_OFFICE-00980AAF,2023-10-31 05:30:00,2023-10-31 05:45:00,1698730200,44.47,130.64,0.0,0.0,11,875.94,-11,-875.94,0.0
ADIKPO_1698731100_OFFICE-00980AAF,2023-10-31 05:45:00,2023-10-31 06:00:00,1698731100,44.47,130.64,0.0,0.0,11,876.19,-11,-876.19,0.383
ADIKPO_1698732000_OFFICE-00980AAF,2023-10-31 06:00:00,2023-10-31 06:15:00,1698732000,103.77,129.95,0.0,0.69,11,876.29,-11,-876.29,0.924
ADIKPO_1698732900_OFFICE-00980AAF,2023-10-31 06:15:00,2023-10-31 06:30:00,1698732900,139.12,129.95,2.58,2.38,11,876.35,-11,-876.35,3.171
ADIKPO_1698733800_OFFICE-00980AAF,2023-10-31 06:30:00,2023-10-31 06:45:00,1698733800,135.81,129.27,4.78,1.03,11,876.60,-11,-876.60,3.178
ADIKPO_1698734700_OFFICE-00980AAF,2023-10-31 06:45:00,2023-10-31 07:00:00,1698734700,133.6,129.27,2.21,0.0,11,876.85,-11,-876.85,2.93
ADIKPO_1698735600_OFFICE-00980AAF,2023-10-31 07:00:00,2023-10-31 07:15:00,1698735600,132.86,129.27,0.74,0.0,11,877.10,-11,-877.10,4.203
ADIKPO_1698736500_OFFICE-00980AAF,2023-10-31 07:15:00,2023-10-31 07:30:00,1698736500,130.28,129.27,1.84,0.0,11,877.35,-11,-877.35,4.139
ADIKPO_1698737400_OFFICE-00980AAF,2023-10-31 07:30:00,2023-10-31 07:45:00,1698737400,128.81,129.27,2.21,0.0,11,877.60,-11,-877.60,3.333
ADIKPO_1698738300_OFFICE-00980AAF,2023-10-31 07:45:00,2023-10-31 08:00:00,1698738300,125.86,129.27,2.21,0.0,11,877.85,-11,-877.85,3.624
ADIKPO_1698739200_OFFICE-00980AAF,2023-10-31 08:00:00,2023-10-31 08:15:00,1698739200,125.13,129.27,1.46,0.0,11,878.10,-11,-878.10,3.637
ADIKPO_1698740100_OFFICE-00980AAF,2023-10-31 08:15:00,2023-10-31 08:30:00,1698740100,122.55,129.27,2.58,0.0,11,878.35,-11,-878.35,3.398
ADIKPO_1698741000_OFFICE-00980AAF,2023-10-31 08:30:00,2023-10-31 08:45:00,1698741000,121.44,129.27,1.10,0.0,11,878.60,-11,-878.60,3.627
ADIKPO_1698741900_OFFICE-00980AAF,2023-10-31 08:45:00,2023-10-31 09:00:00,1698741900,119.23,129.27,2.21,0.0,11,878.85,-11,-878.85,3.563
ADIKPO_1698742800_OFFICE-00980AAF,2023-10-31 09:00:00,2023-10-31 09:15:00,1698742800,118.5,129.27,0.73,0.0,11,879.10,-11,-879.10,3.442
ADIKPO_1698743700_OFFICE-00980AAF,2023-10-31 09:15:00,2023-10-31 09:30:00,1698743700,116.29,129.27,2.21,0.0,11,879.36,-11,-879.36,2.934
ADIKPO_1698744600_OFFICE-00980AAF,2023-10-31 09:30:00,2023-10-31 09:45:00,1698744600,115.18,129.27,1.10,0.0,11,879.60,-11,-879.60,4.051
ADIKPO_1698745500_OFFICE-00980AAF,2023-10-31 09:45:00,2023-10-31 10:00:00,1698745500,112.97,129.27,2.21,0.0,11,879.86,-11,-879.86,4.486
ADIKPO_1698746400_OFFICE-00980AAF,2023-10-31 10:00:00,2023-10-31 10:15:00,1698746400,111.5,129.27,1.47,0.0,11,880.10,-11,-880.10,4.398
ADIKPO_1698747300_OFFICE-00980AAF,2023-10-31 10:15:00,2023-10-31 10:30:00,1698747300,109.66,129.27,1.47,0.0,11,880.36,-11,-880.36,4.26
ADIKPO_1698748200_OFFICE-00980AAF,2023-10-31 10:30:00,2023-10-31 10:45:00,1698748200,108.55,129.27,1.48,0.0,11,880.61,-11,-880.61,3.642
ADIKPO_1698749100_OFFICE-00980AAF,2023-10-31 10:45:00,2023-10-31 11:00:00,1698749100,107.08,129.27,1.47,0.0,11,880.86,-11,-880.86,4.0
ADIKPO_1698750000_OFFICE-00980AAF,2023-10-31 11:00:00,2023-10-31 11:15:00,1698750000,106.34,129.27,0.74,0.0,11,881.11,-11,-881.11,3.485
ADIKPO_1698750900_OFFICE-00980AAF,2023-10-31 11:15:00,2023-10-31 11:30:00,1698750900,103.77,129.27,2.57,0.0,11,881.36,-11,-881.36,3.751
ADIKPO_1698751800_OFFICE-00980AAF,2023-10-31 11:30:00,2023-10-31 11:45:00,1698751800,102.66,129.27,1.10,0.0,11,881.61,-11,-881.61,4.154
ADIKPO_1698752700_OFFICE-00980AAF,2023-10-31 11:45:00,2023-10-31 12:00:00,1698752700,100.82,129.27,1.83,0.0,11,881.86,-11,-881.86,1.209
ADIKPO_1698753600_OFFICE-00980AAF,2023-10-31 12:00:00,2023-10-31 12:15:00,1698753600,98.98,129.27,1.84,0.0,11,882.11,-11,-882.11,0.318
