key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh
CALABAR_1698710400_GEN-00980B76_GRID-00980A9C,2023-10-31 00:00:00,2023-10-31 00:15:00,1698710400,56,37.98,0.0,0.73,14758.23,13659.46,-14758.23,-13659.46,0.096,0.001
CALABAR_1698711300_GEN-00980B76_GRID-00980A9C,2023-10-31 00:15:00,2023-10-31 00:30:00,1698711300,56,37.32,0.0,0.55,14758.23,13659.71,-14758.23,-13659.71,0.088,0.002
CALABAR_1698712200_GEN-00980B76_GRID-00980A9C,2023-10-31 00:30:00,2023-10-31 00:45:00,1698712200,56,36.86,0.0,0.55,14758.23,13659.96,-14758.23,-13659.96,0.088,0.003
CALABAR_1698713100_GEN-00980B76_GRID-00980A9C,2023-10-31 00:45:00,2023-10-31 01:00:00,1698713100,56,36.11,0.0,0.65,14758.23,13660.21,-14758.23,-13660.21,0.095,0.001
CALABAR_1698714000_GEN-00980B76_GRID-00980A9C,2023-10-31 01:00:00,2023-10-31 01:15:00,1698714000,56,35.74,0.0,0.45,14758.23,13660.46,-14758.23,-13660.46,0.083,0.004
CALABAR_1698714900_GEN-00980B76_GRID-00980A9C,2023-10-31 01:15:00,2023-10-31 01:30:00,1698714900,56,35.09,0.0,0.55,14758.23,13660.71,-14758.23,-13660.71,0.094,0.001
CALABAR_1698715800_GEN-00980B76_GRID-00980A9C,2023-10-31 01:30:00,2023-10-31 01:45:00,1698715800,56,34.62,0.0,0.55,14758.23,13660.96,-14758.23,-13660.96,0.089,0.001
CALABAR_1698716700_GEN-00980B76_GRID-00980A9C,2023-10-31 01:45:00,2023-10-31 02:00:00,1698716700,56,33.87,0.0,0.64,14758.23,13661.21,-14758.23,-13661.21,0.087,0.004
CALABAR_1698717600_GEN-00980B76_GRID-00980A9C,2023-10-31 02:00:00,2023-10-31 02:15:00,1698717600,56,33.31,0.0,0.55,14758.23,13661.46,-14758.23,-13661.46,0.096,0.001
CALABAR_1698718500_GEN-00980B76_GRID-00980A9C,2023-10-31 02:15:00,2023-10-31 02:30:00,1698718500,56,32.75,0.0,0.65,14758.23,13661.71,-14758.23,-13661.71,0.085,0.005
CALABAR_1698719400_GEN-00980B76_GRID-00980A9C,2023-10-31 02:30:00,2023-10-31 02:45:00,1698719400,56,32.01,0.0,0.73,14758.23,13661.96,-14758.23,-13661.96,0.093,0.003
CALABAR_1698720300_GEN-00980B76_GRID-00980A9C,2023-10-31 02:45:00,2023-10-31 03:00:00,1698720300,56,31.63,0.0,0.38,14758.23,13662.21,-14758.23,-13662.21,0.092,0.005
CALABAR_1698721200_GEN-00980B76_GRID-00980A9C,2023-10-31 03:00:00,2023-10-31 03:15:00,1698721200,56,30.89,0.0,0.64,14758.23,13662.46,-14758.23,-13662.46,0.085,0.005
CALABAR_1698722100_GEN-00980B76_GRID-00980A9C,2023-10-31 03:15:00,2023-10-31 03:30:00,1698722100,56,30.42,0.0,0.45,14758.23,13662.71,-14758.23,-13662.71,0.096,0.0
