key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
ABUJA_OFFICE_DG1_and_DG2_1698796800_OFFICE-00980785,2023-11-01 00:00:00,2023-11-01 00:15:00,1698796800,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698797700_OFFICE-00980785,2023-11-01 00:15:00,2023-11-01 00:30:00,1698797700,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698798600_OFFICE-00980785,2023-11-01 00:30:00,2023-11-01 00:45:00,1698798600,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698799500_OFFICE-00980785,2023-11-01 00:45:00,2023-11-01 01:00:00,1698799500,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698800400_OFFICE-00980785,2023-11-01 01:00:00,2023-11-01 01:15:00,1698800400,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698801300_OFFICE-00980785,2023-11-01 01:15:00,2023-11-01 01:30:00,1698801300,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698802200_OFFICE-00980785,2023-11-01 01:30:00,2023-11-01 01:45:00,1698802200,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698803100_OFFICE-00980785,2023-11-01 01:45:00,2023-11-01 02:00:00,1698803100,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698804000_OFFICE-00980785,2023-11-01 02:00:00,2023-11-01 02:15:00,1698804000,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698804900_OFFICE-00980785,2023-11-01 02:15:00,2023-11-01 02:30:00,1698804900,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698805800_OFFICE-00980785,2023-11-01 02:30:00,2023-11-01 02:45:00,1698805800,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698806700_OFFICE-00980785,2023-11-01 02:45:00,2023-11-01 03:00:00,1698806700,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698807600_OFFICE-00980785,2023-11-01 03:00:00,2023-11-01 03:15:00,1698807600,196.03,251.99,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698808500_OFFICE-00980785,2023-11-01 03:15:00,2023-11-01 03:30:00,1698808500,196.03,256.41,0.0,0.04,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698809400_OFFICE-00980785,2023-11-01 03:30:00,2023-11-01 03:45:00,1698809400,196.03,256.41,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698810300_OFFICE-00980785,2023-11-01 03:45:00,2023-11-01 04:00:00,1698810300,196.03,256.41,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698811200_OFFICE-00980785,2023-11-01 04:00:00,2023-11-01 04:15:00,1698811200,196.03,256.41,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
ABUJA_OFFICE_DG1_and_DG2_1698812100_OFFICE-00980785,2023-11-01 04:15:00,2023-11-01 04:30:00,1698812100,196.03,256.41,0.0,0.0,8763.25,8771.83,-8755.25,-8203.25,0.0
