key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
TARABA_DG1_And_DG2_1698796800_OFFICE-00980AA1,2023-11-01 00:00:00,2023-11-01 00:15:00,1698796800,161.35,203.78,0.0,2.25,7468.67,7010.26,-7467.85,-7010.26,0.0
TARABA_DG1_And_DG2_1698797700_OFFICE-00980AA1,2023-11-01 00:15:00,2023-11-01 00:30:00,1698797700,161.35,204.34,0.0,1.99,7468.92,7010.26,-7468.10,-7010.26,0.0
TARABA_DG1_And_DG2_1698798600_OFFICE-00980AA1,2023-11-01 00:30:00,2023-11-01 00:45:00,1698798600,161.35,201.9,0.0,2.53,7469.17,7010.26,-7468.35,-7010.26,0.0
TARABA_DG1_And_DG2_1698799500_OFFICE-00980AA1,2023-11-01 00:45:00,2023-11-01 01:00:00,1698799500,161.35,200.77,0.0,1.13,7469.42,7010.26,-7468.60,-7010.26,0.0
TARABA_DG1_And_DG2_1698800400_OFFICE-00980AA1,2023-11-01 01:00:00,2023-11-01 01:15:00,1698800400,161.35,198.51,0.0,2.26,7469.67,7010.26,-7468.85,-7010.26,0.0
TARABA_DG1_And_DG2_1698801300_OFFICE-00980AA1,2023-11-01 01:15:00,2023-11-01 01:30:00,1698801300,161.35,196.26,0.0,2.25,7469.92,7010.26,-7469.10,-7010.26,0.0
TARABA_DG1_And_DG2_1698802200_OFFICE-00980AA1,2023-11-01 01:30:00,2023-11-01 01:45:00,1698802200,161.35,194.38,0.0,1.88,7470.17,7010.26,-7469.35,-7010.26,0.0
TARABA_DG1_And_DG2_1698803100_OFFICE-00980AA1,2023-11-01 01:45:00,2023-11-01 02:00:00,1698803100,161.35,193.25,0.0,1.13,7470.42,7010.26,-7469.60,-7010.26,0.0
TARABA_DG1_And_DG2_1698804000_OFFICE-00980AA1,2023-11-01 02:00:00,2023-11-01 02:15:00,1698804000,161.35,193.25,0.0,0.0,7470.67,7010.26,-7469.85,-7010.26,0.0
TARABA_DG1_And_DG2_1698804900_OFFICE-00980AA1,2023-11-01 02:15:00,2023-11-01 02:30:00,1698804900,161.35,190.62,0.0,2.63,7470.92,7010.26,-7470.10,-7010.26,0.0
