key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698796800_OFFICE-00980AA5,2023-11-01 00:00:00,2023-11-01 00:15:00,1698796800,190.42,69.85,0.0,0.0,19981.86,10758.56,-825.75,-2303.86,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698797700_OFFICE-00980AA5,2023-11-01 00:15:00,2023-11-01 00:30:00,1698797700,190.42,69.85,0.0,0.0,19981.86,10758.56,-825.75,-2303.86,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698798600_OFFICE-00980AA5,2023-11-01 00:30:00,2023-11-01 00:45:00,1698798600,190.42,69.85,0.0,0.0,19981.86,10758.56,-825.75,-2303.86,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698799500_OFFICE-00980AA5,2023-11-01 00:45:00,2023-11-01 01:00:00,1698799500,190.42,69.85,0.0,0.0,19981.86,10758.56,-825.75,-2303.86,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698800400_OFFICE-00980AA5,2023-11-01 01:00:00,2023-11-01 01:15:00,1698800400,190.42,69.85,0.0,0.0,19981.86,10758.56,-825.75,-2303.86,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698801300_OFFICE-00980AA5,2023-11-01 01:15:00,2023-11-01 01:30:00,1698801300,190.42,69.85,0.0,0.0,19981.86,10758.56,-825.75,-2303.86,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698802200_OFFICE-00980AA5,2023-11-01 01:30:00,2023-11-01 01:45:00,1698802200,185.34,69.85,5.08,0.0,19981.96,10758.56,-825.85,-2303.86,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698803100_OFFICE-00980AA5,2023-11-01 01:45:00,2023-11-01 02:00:00,1698803100,184.61,69.85,0.73,0.0,19982.21,10758.56,-826.10,-2303.86,1.016
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698804000_OFFICE-00980AA5,2023-11-01 02:00:00,2023-11-01 02:15:00,1698804000,184.98,69.85,0.72,0.0,19982.46,10758.56,-826.35,-2303.86,1.218
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1698804900_OFFICE-00980AA5,2023-11-01 02:15:00,2023-11-01 02:30:00,1698804900,182.8,69.85,2.54,0.0,19982.71,10758.56,-826.60,-2303.86,1.233
