key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh
OGOJA_GUEST_HOUSE_1698969600_HOUSE-00980AA3,2023-11-03 00:00:00,2023-11-03 00:15:00,1698969600,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.273
OGOJA_GUEST_HOUSE_1698970500_HOUSE-00980AA3,2023-11-03 00:15:00,2023-11-03 00:30:00,1698970500,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.055
OGOJA_GUEST_HOUSE_1698971400_HOUSE-00980AA3,2023-11-03 00:30:00,2023-11-03 00:45:00,1698971400,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.247
OGOJA_GUEST_HOUSE_1698972300_HOUSE-00980AA3,2023-11-03 00:45:00,2023-11-03 01:00:00,1698972300,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.285
OGOJA_GUEST_HOUSE_1698973200_HOUSE-00980AA3,2023-11-03 01:00:00,2023-11-03 01:15:00,1698973200,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.243
OGOJA_GUEST_HOUSE_1698974100_HOUSE-00980AA3,2023-11-03 01:15:00,2023-11-03 01:30:00,1698974100,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.192
OGOJA_GUEST_HOUSE_1698975000_HOUSE-00980AA3,2023-11-03 01:30:00,2023-11-03 01:45:00,1698975000,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.973
OGOJA_GUEST_HOUSE_1698975900_HOUSE-00980AA3,2023-11-03 01:45:00,2023-11-03 02:00:00,1698975900,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.093
OGOJA_GUEST_HOUSE_1698976800_HOUSE-00980AA3,2023-11-03 02:00:00,2023-11-03 02:15:00,1698976800,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.022
OGOJA_GUEST_HOUSE_1698977700_HOUSE-00980AA3,2023-11-03 02:15:00,2023-11-03 02:30:00,1698977700,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.723
OGOJA_GUEST_HOUSE_1698978600_HOUSE-00980AA3,2023-11-03 02:30:00,2023-11-03 02:45:00,1698978600,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.543
OGOJA_GUEST_HOUSE_1698979500_HOUSE-00980AA3,2023-11-03 02:45:00,2023-11-03 03:00:00,1698979500,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.748
OGOJA_GUEST_HOUSE_1698980400_HOUSE-00980AA3,2023-11-03 03:00:00,2023-11-03 03:15:00,1698980400,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.62
OGOJA_GUEST_HOUSE_1698981300_HOUSE-00980AA3,2023-11-03 03:15:00,2023-11-03 03:30:00,1698981300,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.366
OGOJA_GUEST_HOUSE_1698982200_HOUSE-00980AA3,2023-11-03 03:30:00,2023-11-03 03:45:00,1698982200,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.441
OGOJA_GUEST_HOUSE_1698983100_HOUSE-00980AA3,2023-11-03 03:45:00,2023-11-03 04:00:00,1698983100,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.356
OGOJA_GUEST_HOUSE_1698984000_HOUSE-00980AA3,2023-11-03 04:00:00,2023-11-03 04:15:00,1698984000,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.414
OGOJA_GUEST_HOUSE_1698984900_HOUSE-00980AA3,2023-11-03 04:15:00,2023-11-03 04:30:00,1698984900,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.335
OGOJA_GUEST_HOUSE_1698985800_HOUSE-00980AA3,2023-11-03 04:30:00,2023-11-03 04:45:00,1698985800,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.389
OGOJA_GUEST_HOUSE_1698986700_HOUSE-00980AA3,2023-11-03 04:45:00,2023-11-03 05:00:00,1698986700,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.555
OGOJA_GUEST_HOUSE_1698987600_HOUSE-00980AA3,2023-11-03 05:00:00,2023-11-03 05:15:00,1698987600,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.287
OGOJA_GUEST_HOUSE_1698988500_HOUSE-00980AA3,2023-11-03 05:15:00,2023-11-03 05:30:00,1698988500,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.421
OGOJA_GUEST_HOUSE_1698989400_HOUSE-00980AA3,2023-11-03 05:30:00,2023-11-03 05:45:00,1698989400,95.39,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,2.465
OGOJA_GUEST_HOUSE_1698990300_HOUSE-00980AA3,2023-11-03 05:45:00,2023-11-03 06:00:00,1698990300,158.19,175.18,0.0,0.0,21293.34,8976.47,-21273.34,-8799.63,3.22
OGOJA_GUEST_HOUSE_1698991200_HOUSE-00980AA3,2023-11-03 06:00:00,2023-11-03 06:15:00,1698991200,182.46,175.18,0.43,0.0,21293.6,8976.47,-21273.6,-8799.63,3.057
OGOJA_GUEST_HOUSE_1698992100_HOUSE-00980AA3,2023-11-03 06:15:00,2023-11-03 06:30:00,1698992100,179.6,175.18,2.76,0.0,21293.84,8976.47,-21273.84,-8799.63,3.482
OGOJA_GUEST_HOUSE_1698993000_HOUSE-00980AA3,2023-11-03 06:30:00,2023-11-03 06:45:00,1698993000,176.39,175.18,3.56,0.0,21294.1,8976.47,-21274.1,-8799.63,4.272
OGOJA_GUEST_HOUSE_1698993900_HOUSE-00980AA3,2023-11-03 06:45:00,2023-11-03 07:00:00,1698993900,174.97,175.18,1.06,0.0,21294.34,8976.47,-21274.34,-8799.63,4.393
OGOJA_GUEST_HOUSE_1698994800_HOUSE-00980AA3,2023-11-03 07:00:00,2023-11-03 07:15:00,1698994800,172.11,175.18,3.20,0.0,21294.6,8976.47,-21274.6,-8799.63,3.983
OGOJA_GUEST_HOUSE_1698995700_HOUSE-00980AA3,2023-11-03 07:15:00,2023-11-03 07:30:00,1698995700,169.97,175.18,1.77,0.0,21294.86,8976.47,-21274.86,-8799.63,3.363
OGOJA_GUEST_HOUSE_1698996600_HOUSE-00980AA3,2023-11-03 07:30:00,2023-11-03 07:45:00,1698996600,168.9,175.18,1.06,0.0,21295.11,8976.47,-21275.11,-8799.63,2.488
OGOJA_GUEST_HOUSE_1698997500_HOUSE-00980AA3,2023-11-03 07:45:00,2023-11-03 08:00:00,1698997500,167.11,175.18,2.15,0.0,21295.34,8976.47,-21275.34,-8799.63,2.156
