key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925200,2023-08-25T02:00:00,2023-08-25T02:01:00,1692925200,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925260,2023-08-25T02:01:00,2023-08-25T02:02:00,1692925260,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925320,2023-08-25T02:02:00,2023-08-25T02:03:00,1692925320,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925380,2023-08-25T02:03:00,2023-08-25T02:04:00,1692925380,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925440,2023-08-25T02:04:00,2023-08-25T02:05:00,1692925440,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925500,2023-08-25T02:05:00,2023-08-25T02:06:00,1692925500,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925560,2023-08-25T02:06:00,2023-08-25T02:07:00,1692925560,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925620,2023-08-25T02:07:00,2023-08-25T02:08:00,1692925620,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925680,2023-08-25T02:08:00,2023-08-25T02:09:00,1692925680,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692925740,2023-08-25T02:09:00,2023-08-25T02:10:00,1692925740,93.16,175.08,0.0,0.0,19156.11,8454.7,0.0,0.0
