key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543300,2023-10-29T01:35:00:00,2023-10-29T01:36:00:00,1698543300,132.5,175.18,0,0,21,266.56,-1,-89.72
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543360,2023-10-29T01:36:00:00,2023-10-29T01:37:00:00,1698543360,132.5,175.18,0,0,21,266.58,-1,-89.74
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543420,2023-10-29T01:37:00:00,2023-10-29T01:38:00:00,1698543420,132.5,175.18,0,0,21,266.59,-1,-89.75
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543480,2023-10-29T01:38:00:00,2023-10-29T01:39:00:00,1698543480,132.5,175.18,0,0,21,266.61,-1,-89.77
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543540,2023-10-29T01:39:00:00,2023-10-29T01:40:00:00,1698543540,132.14,175.18,0.36,0,21,266.62,-1,-89.78
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543600,2023-10-29T01:40:00:00,2023-10-29T01:41:00:00,1698543600,132.14,175.18,0,0,21,266.64,-1,-89.8
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543660,2023-10-29T01:41:00:00,2023-10-29T01:42:00:00,1698543660,131.79,175.18,0.35,0,21,266.66,-1,-89.82
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543720,2023-10-29T01:42:00:00,2023-10-29T01:43:00:00,1698543720,131.79,175.18,0,0,21,266.68,-1,-89.84
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543780,2023-10-29T01:43:00:00,2023-10-29T01:44:00:00,1698543780,131.79,175.18,0,0,21,266.69,-1,-89.85
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543840,2023-10-29T01:44:00:00,2023-10-29T01:45:00:00,1698543840,131.79,175.18,0,0,21,266.71,-1,-89.87
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543900,2023-10-29T01:45:00:00,2023-10-29T01:46:00:00,1698543900,131.79,175.18,0,0,21,266.72,-1,-89.88
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698543960,2023-10-29T01:46:00:00,2023-10-29T01:47:00:00,1698543960,131.43,175.18,0.36,0,21,266.74,-1,-89.9
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544020,2023-10-29T01:47:00:00,2023-10-29T01:48:00:00,1698544020,131.43,175.18,0,0,21,266.76,-1,-89.92
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544080,2023-10-29T01:48:00:00,2023-10-29T01:49:00:00,1698544080,131.07,175.18,0.36,0,21,266.78,-1,-89.94
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544140,2023-10-29T01:49:00:00,2023-10-29T01:50:00:00,1698544140,131.07,175.18,0,0,21,266.79,-1,-89.95
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544200,2023-10-29T01:50:00:00,2023-10-29T01:51:00:00,1698544200,131.07,175.18,0,0,21,266.81,-1,-89.97
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544260,2023-10-29T01:51:00:00,2023-10-29T01:52:00:00,1698544260,131.07,175.18,0,0,21,266.82,-1,-89.98
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544320,2023-10-29T01:52:00:00,2023-10-29T01:53:00:00,1698544320,131.07,175.18,0,0,21,266.84,-1,-90
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544380,2023-10-29T01:53:00:00,2023-10-29T01:54:00:00,1698544380,131.07,175.18,0,0,21,266.86,-1,-90.02
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544440,2023-10-29T01:54:00:00,2023-10-29T01:55:00:00,1698544440,131.07,175.18,0,0,21,266.88,-1,-90.04
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544500,2023-10-29T01:55:00:00,2023-10-29T01:56:00:00,1698544500,131.07,175.18,0,0,21,266.89,-1,-90.05
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544560,2023-10-29T01:56:00:00,2023-10-29T01:57:00:00,1698544560,130.72,175.18,0.35,0,21,266.91,-1,-90.07
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544620,2023-10-29T01:57:00:00,2023-10-29T01:58:00:00,1698544620,130.36,175.18,0.36,0,21,266.92,-1,-90.08
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544680,2023-10-29T01:58:00:00,2023-10-29T01:59:00:00,1698544680,130,175.18,0.36,0,21,266.94,-1,-90.1
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544740,2023-10-29T01:59:00:00,2023-10-29T02:00:00:00,1698544740,130,175.18,0,0,21,266.96,-1,-90.12
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544800,2023-10-29T02:00:00:00,2023-10-29T02:01:00:00,1698544800,130,175.18,0,0,21,266.98,-1,-90.14
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544860,2023-10-29T02:01:00:00,2023-10-29T02:02:00:00,1698544860,130,175.18,0,0,21,266.99,-1,-90.15
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544920,2023-10-29T02:02:00:00,2023-10-29T02:03:00:00,1698544920,130,175.18,0,0,21,267.01,-1,-90.17
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698544980,2023-10-29T02:03:00:00,2023-10-29T02:04:00:00,1698544980,130,175.18,0,0,21,267.02,-1,-90.18
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545040,2023-10-29T02:04:00:00,2023-10-29T02:05:00:00,1698545040,130,175.18,0,0,21,267.04,-1,-90.2
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545100,2023-10-29T02:05:00:00,2023-10-29T02:06:00:00,1698545100,130,175.18,0,0,21,267.06,-1,-90.22
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545160,2023-10-29T02:06:00:00,2023-10-29T02:07:00:00,1698545160,129.65,175.18,0.35,0,21,267.08,-1,-90.24
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545220,2023-10-29T02:07:00:00,2023-10-29T02:08:00:00,1698545220,129.65,175.18,0,0,21,267.09,-1,-90.25
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545280,2023-10-29T02:08:00:00,2023-10-29T02:09:00:00,1698545280,129.65,175.18,0,0,21,267.11,-1,-90.27
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545340,2023-10-29T02:09:00:00,2023-10-29T02:10:00:00,1698545340,129.65,175.18,0,0,21,267.12,-1,-90.28
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545400,2023-10-29T02:10:00:00,2023-10-29T02:11:00:00,1698545400,129.65,175.18,0,0,21,267.14,-1,-90.3
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545460,2023-10-29T02:11:00:00,2023-10-29T02:12:00:00,1698545460,129.65,175.18,0,0,21,267.16,-1,-90.32
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545520,2023-10-29T02:12:00:00,2023-10-29T02:13:00:00,1698545520,129.29,175.18,0.36,0,21,267.18,-1,-90.34
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545580,2023-10-29T02:13:00:00,2023-10-29T02:14:00:00,1698545580,129.29,175.18,0,0,21,267.19,-1,-90.35
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545640,2023-10-29T02:14:00:00,2023-10-29T02:15:00:00,1698545640,129.29,175.18,0,0,21,267.21,-1,-90.37
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545700,2023-10-29T02:15:00:00,2023-10-29T02:16:00:00,1698545700,129.29,175.18,0,0,21,267.22,-1,-90.38
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545760,2023-10-29T02:16:00:00,2023-10-29T02:17:00:00,1698545760,129.29,175.18,0,0,21,267.24,-1,-90.4
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545820,2023-10-29T02:17:00:00,2023-10-29T02:18:00:00,1698545820,129.29,175.18,0,0,21,267.26,-1,-90.42
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545880,2023-10-29T02:18:00:00,2023-10-29T02:19:00:00,1698545880,129.29,175.18,0,0,21,267.28,-1,-90.44
BIOHENRY - UNHCR OGOJA GUEST HOUSE DG1 AND DG21698545940,2023-10-29T02:19:00:00,2023-10-29T02:20:00:00,1698545940,128.93,175.18,0.36,0,21,267.29,-1,-90.45
