external_id,building_code,name,latitude,longitude,status,country,type,serial_number,serial_numbers
Afghanistan_AFGBAMOFU01_FU Bamyan 01,AFGBAMOFU01,FU Bamyan 01,34.815055,67.831365,Active,Afghanistan,office,009-80849,009-80849
Afghanistan_AFGGRDOFO01_FO Gardez 01,AFGGRDOFO01,FO Gardez 01,33.599847,69.216024,Active,Afghanistan,office,009-80E18,009-80E18
Afghanistan_AFGHEROFO01_FO Herat 01,AFGHEROFO01,FO Herat 01,34.34551,62.22412,Active,Afghanistan,office,009-80845,009-80845
Afghanistan_AFGJALOSO01_SO Jalalabad 01,AFGJALOSO01,SO Jalalabad 01,34.43507,70.438659,Active,Afghanistan,office,009-80E29,"009-8087B,009-8087C,009-80DCD,009-80E1F,009-80E29,009-80E2A"
Afghanistan_AFGKABGGH01_GH Kabul 01,AFGKABGGH01,GH Kabul 01,34.551667,69.232139,Active,Afghanistan,guest house,009-80892,009-80892
Afghanistan_AFGKABOCO01_CO Kabul 01,AFGKABOCO01,CO Kabul 01,34.551667,69.232139,Active,Afghanistan,office,009-80891,"009-80890,009-80891"
Afghanistan_AFGKANGGH01_GH Kandahar 01,AFGKANGGH01,GH Kandahar 01,31.61959,65.68341,Open,Afghanistan,guest house,009-80890,"009-80890,009-80891"
Afghanistan_AFGKANOSO01_SO Kandahar 01,AFGKANOSO01,SO Kandahar 01,31.61931,65.68305,Active,Afghanistan,office,009-80DAA,"009-80848,009-80DAA"
Afghanistan_AFGKUNOFU01_FU Kunduz 01,AFGKUNOFU01,FU Kunduz 01,36.73249,68.87118,Active,Afghanistan,office,009-80981,009-80981
Afghanistan_AFGMAZOSO01_SO Mazar i Sharif 01,AFGMAZOSO01,SO Mazar i Sharif 01,36.69793,67.10373,Active,Afghanistan,office,009-80893,"009-80893,009-80894"
Albania_ALBGJROFU01_FU Gjirokastra 01,ALBGJROFU01,FU Gjirokastra 01,40.083497,20.142355,Open,Albania,office,009-80757,009-80757
Albania_ALBKOCOFU01_FU Korca 01,ALBKOCOFU01,FU Korca 01,40.622504,20.782155,Open,Albania,office,009-80757,009-80757
Albania_ALBTIROCO01_CO Tirana 01,ALBTIROCO01,CO Tirana 01,41.327538,19.808572,Open,Albania,office,009-80757,009-80757
Algeria_DZAALGOCO01_CO Algiers 01,DZAALGOCO01,CO Algiers 01,36.760475,3.034483,Active,Algeria,office,009-80A69,009-80A69
Algeria_DZARABOFU01_FU Rabouni 01,DZARABOFU01,FU Rabouni 01,27.480264,-8.085898,Active,Algeria,office,009-80A67,009-80A67
Algeria_DZATINOFO01_FO Tindouf 01,DZATINOFO01,FO Tindouf 01,27.666303,-8.143616,Active,Algeria,office,009-80A68,009-80A68
Algeria_DZATINOSO01_SO Tindouf 01,DZATINOSO01,SO Tindouf 01,27.667828,-8.149159,Active,Algeria,office,009-80A66,009-80A66
Angola_AGODUNOFO01_FO Dundo 01,AGODUNOFO01,FO Dundo 01,-7.354621,20.810151,Active,Angola,office,009-80741,009-80741
Angola_AGOLUAOCO01_CO Luanda 01,AGOLUAOCO01,CO Luanda 01,-8.86124,13.20504,Active,Angola,office,009-80757,009-80757
Argentina_ARGBUEOMC01_MC Buenos Aires 01,ARGBUEOMC01,MC Buenos Aires 01,-34.59868,-58.38261,Active,Argentina,office,009-8086F,009-8086F
