external_id,building_code,name,latitude,longitude,status,country,type,serial_numbers
Ethiopia_ETHDILOFU01_FU Dilla 01,ETHDILOFU01,FU Dilla 01,6.419117,38.304412,Open,Ethiopia,office,"009-807D4,009-8082B"
Ethiopia_ETHDIMOFU01_FU Dimma 01,ETHDIMOFU01,FU Dimma 01,6.511493,35.179778,Open,Ethiopia,office,009-807C4
Ethiopia_ETHDIROFO01_FO Dire Dawa 01,ETHDIROFO01,FO Dire Dawa 01,9.60289,41.85854,Open,Ethiopia,office,009-80828
Ethiopia_ETHGAMGGH01_GH Gambella 01,ETHGAMGGH01,GH Gambella 01,8.272276,34.580689,Open,Ethiopia,office,009-807D5
Ethiopia_ETHGNDOFO01_FO Gondar 01,ETHGNDOFO01,FO Gondar 01,12.613444,37.458083,Open,Ethiopia,office,009-80B85
Guatemala_GTMGUCOCO02_CO Guatemala city 02,GTMGUCOCO02,CO Guatemala city 02,14.599122,-90.508452,Open,Guatemala,office,"009-80AB9,009-80ADF"
Zimbabwe_ZWEHRAOCO01_CO Harare 01,ZWEHRAOCO01,CO Harare 01,-17.7695,31.0393,Open,Zimbabwe,office,009-8084D
Ethiopia_ETHDEBOFU01_FU Debre Birhan 01,ETHDEBOFU01,FU Debre Birhan 01,9.66696,39.518475,Open,Ethiopia,office,"009-807D4,009-8082B"
Ecuador_ECUIBAOSO01_SO Ibarra 01,ECUIBAOSO01,SO Ibarra 01,0.367762,-78.088158,Open,Ecuador,office,"009-80957,009-80959"
Zambia_ZMBSOLOFO01_FO Solwezi 01,ZMBSOLOFO01,FO Solwezi 01,-12.1858,26.4122,Open,Zambia,office,009-8084D
Bosnia and Herzegovina_BIHBHCOFU01_FU Bihac 01,BIHBHCOFU01,FU Bihac 01,44.811326,15.872439,Open,Bosnia and Herzegovina,office,009-809AE
Ethiopia_ETHDBTOFO01_FO Dabat 01,ETHDBTOFO01,FO Dabat 01,12.980833,37.76,Open,Ethiopia,office,"009-807D4,009-8082B"
Ethiopia_ETHDBKOFO01_FO Debark 01,ETHDBKOFO01,FO Debark 01,13.152768,37.898698,Open,Ethiopia,office,"009-807D4,009-8082B"
Afghanistan_AFGKABGGH01_GH Kabul 01,AFGKABGGH01,GH Kabul 01,34.551667,69.232139,Open,Afghanistan,office,009-80892
Bosnia and Herzegovina_BIHSAROCO01_CO Sarajevo 01,BIHSAROCO01,CO Sarajevo 01,43.857367,18.406742,Open,Bosnia and Herzegovina,office,"009-808B6,009-80B64"
Ethiopia_ETHBUROSO01_SO Buramino 01,ETHBUROSO01,SO Buramino 01,4.301911,41.91575,Open,Ethiopia,office,"009-807D4,009-8082B"
United Arab Emirates_AREABDOCO01_CO Abu Dhabi 01,AREABDOCO01,CO Abu Dhabi 01,24.470462,54.38213,Open,United Arab Emirates,office,009-8083F
Ethiopia_ETHBRHOFU01_FU Barahle  01,ETHBRHOFU01,FU Barahle  01,13.842355,40.01281,Planned,Ethiopia,office,"009-807D4,009-8082B"
Afghanistan_AFGKUNOFU01_FU Kunduz 01,AFGKUNOFU01,FU Kunduz 01,36,68,Open,Afghanistan,office,009-80981
Afghanistan_AFGMAZOSO01_SO Mazar i Sharif 01,AFGMAZOSO01,SO Mazar i Sharif 01,36.69793,67.10373,Open,Afghanistan,office,"009-80893,009-80894"
Angola_AGODUNOFO01_FO Dundo 01,AGODUNOFO01,FO Dundo 01,-7.354621,20.810151,Open,Angola,office,009-80741
Albania_ALBKOCOFU01_FU Korca 01,ALBKOCOFU01,FU Korca 01,40.622504,20.782155,Open,Albania,office,009-80757
Ethiopia_ETHBOKOSO01_SO Bokolmayo 01,ETHBOKOSO01,SO Bokolmayo 01,4.547914,41.536389,Open,Ethiopia,office,"009-807D4,009-8082B"
Australia_AUSCNBOMC01_MC Canberra 01,AUSCNBOMC01,MC Canberra 01,-35.2848,149.1243,Open,Australia,office,009-80DC6
Zambia_ZMBLUSOCO01_CO Lusaka 01,ZMBLUSOCO01,CO Lusaka 01,-15.37333,28.39212,Closed,Zambia,office,009-8084D
Ethiopia_ETHBMBOFU01_FU Bambasi 01,ETHBMBOFU01,FU Bambasi 01,9.77886,34.779297,Open,Ethiopia,office,"009-807D4,009-8082B"
Colombia_COLBOGOFO01_FO Bogota 01,COLBOGOFO01,FO Bogota 01,4.656685,-74.060654,Open,Colombia,office,009-80DD8
Georgia_GEOSUKOFO01_FO Sukhumi 01,GEOSUKOFO01,FO Sukhumi 01,43.00711,41.00916,Open,Georgia,office,009-807DB
Zambia_ZMBLUSOCO01_CO Lusaka 01,ZMBLUSOCO01,CO Lusaka 01,-15.37333,28.39212,Open,Zambia,office,009-8084D
